,symbol1,symbol2,balance
7219,IUSG,IWF,1.3086600627931688
7212,IUSG,QQQ,1.30846123039184
5167,SCHG,SOXX,1.3078242896726897
9852,DGRW,XLK,1.307407767673412
7239,IUSG,IVW,1.306003319426972
7330,IUSG,VOOG,1.3059722304554457
6190,MGK,SOXX,1.3058870974841712
9954,DGRW,IWO,1.3055474888840453
638,QQQ,IYW,1.305480934651205
126,SPY,FTEC,1.305199478906624
9849,DGRW,VGT,1.3051033383102708
10882,OEF,SOXX,1.3041419360555715
403,IVV,FTEC,1.3037796177535819
3196,VCIT,GBTC,1.303510685115246
3337,SPLG,FTEC,1.3021740601414524
9197,EMXC,SMH,1.302007996282393
1781,VXUS,GBTC,1.299999424251701
9883,DGRW,SCHG,1.2986529055822023
8680,VHT,SMH,1.298546716301687
4068,IWB,SMH,1.2985124449704133
5515,SPYG,SOXX,1.2984983917304065
262,VOO,FTEC,1.2977678181758021
3623,XLV,SMH,1.2972228291190542
19,SPY,XLK,1.2970555746532813
13035,VTWO,SMH,1.2966281146964012
292,IVV,XLK,1.2954167539405284
11535,GSLC,IYW,1.2950272166645054
52,SPY,SCHG,1.29488942292876
763,VUG,IYW,1.294084387098388
326,IVV,SCHG,1.293992140383771
16,SPY,VGT,1.293898592911081
11243,ESGU,IYW,1.2924870778074304
289,IVV,VGT,1.291774640577349
3232,SPLG,XLK,1.2913417743481543
9953,DGRW,IWY,1.2910626090543376
9075,XLP,SMH,1.2908576561279244
9895,DGRW,VONG,1.28991267889655
3229,SPLG,VGT,1.2896478585545474
4112,IWB,SOXX,1.289061251124942
189,VOO,SCHG,1.2881526342017722
1300,VIG,IYW,1.288029069234213
156,VOO,XLK,1.2878174439516508
153,VOO,VGT,1.2859170891481773
127,SPY,IWY,1.2857502692157154
404,IVV,IWY,1.28527866481189
65,SPY,VONG,1.2851048461706456
2984,SCHX,IYW,1.285025050955587
9543,MOAT,SOXX,1.2846757145096024
341,IVV,VONG,1.283341386632331
3264,SPLG,SCHG,1.2821160049404345
9702,GDX,SOXX,1.2818019903528577
8825,FNDX,SMH,1.2814923184417328
9940,DGRW,AVUV,1.2813449679044926
9127,XLP,SOXX,1.2800613643360355
12052,IWY,IYW,1.2799188094975515
13080,VTWO,SOXX,1.279144304182813
3893,VV,IYW,1.2789234413915003
9763,IWV,SMH,1.2785024749437512
4649,QQQM,FTEC,1.2777125678622239
263,VOO,IWY,1.2776641067697627
3277,SPLG,VONG,1.2775381819273919
501,VTI,IYW,1.2772430351284485
7124,XLY,SMH,1.2771006230489494
339,IVV,MGK,1.276807853330865
8872,FNDX,SOXX,1.2768036508552167
63,SPY,MGK,1.2764434346049023
9893,DGRW,MGK,1.2764307290502177
11364,VOOG,IYW,1.275694204764897
3338,SPLG,IWY,1.2755237299932467
8034,IYW,SOXX,1.275412123075674
7738,ACWI,SOXX,1.2746276386586441
9138,XLP,IWO,1.2745947116715697
6736,USHY,IYW,1.2743875804299625
681,QQQ,FTEC,1.2738292919669292
9026,XLP,IJH,1.2733998924426715
9904,DGRW,IUSG,1.2733904655908006
202,VOO,VONG,1.2728090158945817
11861,RDVY,GBTC,1.2715018585352207
11576,GSLC,FTEC,1.2712232541467783
2885,IVW,SOXX,1.2706477321137186
3538,VT,IYW,1.2705252472048865
3133,QUAL,SOXX,1.2705197064944858
9135,XLP,RDVY,1.2701710298014721
621,QQQ,MGK,1.269653921090787
200,VOO,MGK,1.2688922173251995
4856,IAU,GBTC,1.268682210228932
609,QQQ,SCHG,1.2684623580794774
11281,ESGU,FTEC,1.2683144232009518
7897,XLC,IYW,1.2680562243638236
5486,SPYG,IYW,1.2676584546337637
11478,GSLC,XLK,1.2676352711595293
3275,SPLG,MGK,1.2673313840685643
9070,XLP,VBR,1.2662632915971588
9144,XLP,SPMD,1.2662593748696447
10,SPY,IWF,1.2661643158093943
277,IVV,VUG,1.2657963199389166
4,SPY,VUG,1.2656156624670782
1940,XLK,IYW,1.26552166803225
623,QQQ,VONG,1.2654286115541722
1145,IWF,SOXX,1.2652851160520127
9810,IWV,SOXX,1.2652779929155527
8749,TIP,SLV,1.2652447991738365
283,IVV,IWF,1.2649409167419263
6352,VONG,IYW,1.2645464896806398
4576,QQQM,SCHG,1.2642724934834977
4587,QQQM,MGK,1.264096994901767
9841,DGRW,VUG,1.2640801042475733
4538,QQQM,VGT,1.2629587682541559
4541,QQQM,XLK,1.2628980743467637
3027,SCHX,FTEC,1.2628275070316026
4589,QQQM,VONG,1.2623591217206303
9049,XLP,XLF,1.26229593942629
11475,GSLC,VGT,1.2621132650410298
3339,SPLG,IWO,1.262028076442169
3719,VEU,GBTC,1.2616856424424707
9885,DGRW,SPYG,1.2616558471646342
1331,VIG,FTEC,1.2614017931628545
9078,XLP,MDY,1.2610499908156632
9028,XLP,IJR,1.2609158376975609
11182,ESGU,XLK,1.2603364102147303
9844,DGRW,IWF,1.2601696392209256
9145,XLP,VTWO,1.2600725767884708
1260,VIG,XLK,1.259864622245746
3217,SPLG,VUG,1.2597986808573214
76,SPY,IUSG,1.2597851011340506
801,VUG,FTEC,1.2597505684902532
571,QQQ,VGT,1.259655846757525
1717,VGT,IYW,1.2595897135234357
682,QQQ,IWY,1.2593493493973003
2918,SCHX,XLK,1.2591995995896177
48,SPY,QQQM,1.2591003938967564
433,VTI,XLK,1.259038047557583
9853,DGRW,IWM,1.2583016258510504
54,SPY,SPYG,1.2582510544317564
9357,SLV,IWO,1.2581960941342456
352,IVV,IUSG,1.2578870549689305
544,VTI,FTEC,1.2578288124597323
3661,XLV,SOXX,1.2575604450305682
9960,DGRW,VTWO,1.2573292652433472
9914,DGRW,VBK,1.2572834735332117
329,IVV,SPYG,1.2572581564655336
574,QQQ,XLK,1.257123139165722
321,IVV,QQQM,1.2570403928625447
559,QQQ,VUG,1.2568646664954188
141,VOO,VUG,1.256704805610224
9946,DGRW,VOOG,1.2565506589784756
6162,MGK,IYW,1.256419649966899
3223,SPLG,IWF,1.2563959507669604
7325,IUSG,OEF,1.2561768088099532
10853,OEF,IYW,1.2561528638777564
4650,QQQM,IWY,1.2561194545764227
8352,EEM,GBTC,1.2559332806585373
3266,SPLG,SPYG,1.2559244709426796
147,VOO,IWF,1.2556596979026742
6680,USHY,XLK,1.2555747401518496
12095,IWY,FTEC,1.2554983227156127
1114,IWF,IYW,1.2553087932027758
