Fri Jun 18 01:13:09 2021    output.dat

         298323675 function calls (280643773 primitive calls) in 290.736 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68499    0.103    0.000    0.626    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:499(is_interval_dtype)
    66906    0.069    0.000    0.101    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:285(issubclass_)
    63720    0.126    0.000    0.476    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\dtypes.py:923(is_dtype)
    63720    0.132    0.000    0.507    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\dtypes.py:1132(is_dtype)
    58941    0.181    0.000    0.181    0.000 {built-in method numpy.empty}
    57348    0.099    0.000    0.140    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
54162/44604    0.149    0.000    0.517    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    52569    0.150    0.000    0.286    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:231(is_sparse)
    52569    0.074    0.000    0.366    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:388(is_datetime64tz_dtype)
    52569    0.403    0.000    2.648    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2672(get_block_type)
    50976    0.466    0.000    1.945    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1379(maybe_cast_to_datetime)
    49383    0.031    0.000    0.031    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
    49383    0.076    0.000    0.270    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
    49383    0.237    0.000    0.595    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
    47790    0.025    0.000    0.025    0.000 {pandas._libs.lib.is_scalar}
    45775    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
    43011    0.034    0.000    0.047    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\range.py:747(__len__)
    41418    0.015    0.000    0.015    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\multiarray.py:1054(copyto)
    41418    0.117    0.000    0.245    0.000 <__array_function__ internals>:2(copyto)
    41418    0.052    0.000    0.085    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1769(pandas_dtype)
    38232    0.148    0.000    0.597    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:288(full)
    38232    0.068    0.000    0.080    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:573(is_string_dtype)
    38232    0.012    0.000    0.012    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1551(_is_dtype)
    38232    0.188    0.000    0.707    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1257(maybe_castable)
    38232    0.039    0.000    0.222    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:354(extract_array)
    38232    0.396    0.000    3.074    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:423(sanitize_array)
    38232    0.122    0.000    1.507    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:554(_try_cast)
    38232    0.034    0.000    0.050    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\common.py:129(cast_scalar_indexer)
    38232    0.131    0.000    0.200    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:4279(__getitem__)
    38232    0.055    0.000    0.168    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1863(_asarray_compat)
    38232    0.149    0.000    5.737    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:730(convert)
    38232    0.016    0.000    0.016    0.000 {pandas._libs.lib.is_float}
    38232    3.528    0.000    4.126    0.000 {pandas._libs.lib.maybe_convert_objects}
    36639    0.024    0.000    0.034    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:195(<lambda>)
    36639    0.019    0.000    0.019    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:190(classes_and_not_datetimelike)
    35167    0.046    0.000    0.046    0.000 {method 'format' of 'str' objects}
    33453    0.086    0.000    0.194    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:359(issubdtype)
    33453    0.015    0.000    0.015    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1847(<lambda>)
    31860    0.103    0.000    0.177    0.000 {pandas._libs.lib.is_list_like}
30852/29995    0.036    0.000    0.044    0.000 {method 'encode' of 'str' objects}
    28674    0.072    0.000    2.226    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:5836(ensure_index)
    28674    0.012    0.000    0.012    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:265(mgr_locs)
    27081    0.148    0.000    1.448    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\cast.py:1273(maybe_infer_to_datetimelike)
    23996    0.010    0.000    0.010    0.000 {method 'partition' of 'str' objects}
    23139    0.014    0.000    0.014    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\structures.py:60(<genexpr>)
    22270    0.007    0.000    0.007    0.000 {method '__exit__' of '_thread.lock' objects}
    21630    0.026    0.000    0.026    0.000 {built-in method __new__ of type object at 0x00007FFDEFA85C60}
    21505    0.055    0.000    0.055    0.000 {method 'match' of 're.Pattern' objects}
    21425    0.006    0.000    0.006    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:100(_noop)
    21425    0.035    0.000    0.041    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:111(_coerce_args)
    20568    0.030    0.000    0.037    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\structures.py:48(__setitem__)
    19758    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
    19711    0.015    0.000    0.023    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\threading.py:256(__enter__)
    19711    0.015    0.000    0.020    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\threading.py:259(__exit__)
    19711    0.011    0.000    0.016    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\util\queue.py:15(_qsize)
    19711    0.008    0.000    0.008    0.000 {method '__enter__' of '_thread.lock' objects}
    19116    0.017    0.000    0.025    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
    19116    0.044    0.000    0.067    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:429(is_timedelta64_dtype)
    19116    0.020    0.000    0.029    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:912(is_datetime64_any_dtype)
    19116    0.036    0.000    0.112    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:5953(maybe_extract_name)
    19116    0.019    0.000    0.029    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:320(<genexpr>)
    19116    0.008    0.000    0.008    0.000 {built-in method builtins.hash}
    18855    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
    18854    0.014    0.000    0.024    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\threading.py:271(_is_owned)
    18854    0.036    0.000    0.060    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\threading.py:351(notify)
    18854    0.010    0.000    0.010    0.000 {method 'acquire' of '_thread.lock' objects}
    17523    0.039    0.000    0.090    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:703(is_integer_dtype)
