da,strategy_name,code,weight
2022-11-21,cot,QQQ,0.5
2022-11-21,cot,GLD,0.4425
2022-11-21,cot,SHY,0.0575
2022-11-22,cot,QQQ,0.5
2022-11-22,cot,GLD,0.4425
2022-11-22,cot,SHY,0.0575
2022-11-23,cot,QQQ,0.5
2022-11-23,cot,GLD,0.4425
2022-11-23,cot,SHY,0.0575
2022-11-25,cot,QQQ,0.5
2022-11-25,cot,GLD,0.4425
2022-11-25,cot,SHY,0.0575
2022-11-28,cot,QQQ,1.0
2022-11-29,cot,QQQ,1.0
2022-11-30,cot,QQQ,1.0
2022-12-01,cot,QQQ,1.0
2022-12-02,cot,QQQ,1.0
2022-12-05,cot,QQQ,1.0
2022-12-06,cot,QQQ,1.0
2022-12-07,cot,QQQ,1.0
2022-12-08,cot,QQQ,1.0
2022-12-09,cot,QQQ,1.0
2022-12-12,cot,QQQ,1.0
2022-12-13,cot,QQQ,1.0
2022-12-14,cot,QQQ,1.0
2022-12-15,cot,QQQ,1.0
2022-12-16,cot,QQQ,1.0
2022-12-19,cot,QQQ,1.0
2022-12-20,cot,QQQ,1.0
2022-12-21,cot,QQQ,1.0
2022-12-22,cot,QQQ,1.0
2022-12-23,cot,QQQ,1.0
2022-12-27,cot,QQQ,1.0
2022-12-28,cot,QQQ,1.0
2022-12-29,cot,QQQ,1.0
2022-12-30,cot,QQQ,1.0
2023-01-03,cot,QQQ,0.5
2023-01-03,cot,GLD,0.4425
2023-01-03,cot,SHY,0.0575
2023-01-04,cot,QQQ,0.5
2023-01-04,cot,GLD,0.4425
2023-01-04,cot,SHY,0.0575
2023-01-05,cot,QQQ,0.5
2023-01-05,cot,GLD,0.4425
2023-01-05,cot,SHY,0.0575
2023-01-06,cot,QQQ,0.5
2023-01-06,cot,GLD,0.4425
2023-01-06,cot,SHY,0.0575
2023-01-09,cot,QQQ,1.0
2023-01-10,cot,QQQ,1.0
2023-01-11,cot,QQQ,1.0
2023-01-12,cot,QQQ,1.0
2023-01-13,cot,QQQ,1.0
2023-01-17,cot,QQQ,0.5
2023-01-17,cot,GLD,0.4425
2023-01-17,cot,SHY,0.0575
2023-01-18,cot,QQQ,0.5
