,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor,sqn
0,SPY,0.9397199999997684,3.868411073785798,inf,,4.927850898970143,,29.799100224962185
1,IVV,1.9062699999996984,5.532143515003949,inf,,10.198602393511758,,61.302752455031
2,VOO,1.7774999999999561,5.008167562225722,inf,,9.48434030948575,,138.78885286216095
3,VTI,-0.20453000000011526,0.0,0.0,0.0,-1.0474216657092583,0.9357448176069432,-0.06083873977650881
4,QQQ,1.529280000000057,4.453367847230388,inf,22.309972225979244,8.118035768645138,,61.039691260305986
5,VEA,-0.7690799999999872,0.0,0.0,0.0,-3.8927630085181186,0.9255007933359708,-0.06537194381827487
6,VUG,0.9574199999998818,3.122772986497211,inf,11.471952098112224,5.022510388517976,,37.1958041955859
7,VTV,-7.435879999999787,0.0,0.0,0.0,-32.792230828624,0.22287440112215007,-1.0971126285436748
8,IEFA,-5.689770000000018,0.0,0.0,0.0,-26.012293789185858,0.2938673355738746,-0.8110137515166718
9,AGG,-3.3988400000000842,0.0,0.0,0.0,-16.292122941820065,0.0,-2.093758470295475
10,BND,-1.1843100000000413,0.0,0.0,0.0,-5.943160470198727,0.0,
11,IWF,-1.57191000000012,0.0,0.0,0.0,-7.82518031655699,0.4883042440819867,-0.45223196272725785
12,IJH,2.7877800000000863,0.9174748543309496,1.7177697271011265,2.1919263625165413,15.189623341402037,1.7620139860025075,0.3773594474330329
13,IJR,-15.756400000000054,0.0,0.0,0.0,-58.59555156216285,0.08734074459842431,-2.1471295003388238
14,VIG,-8.800239999999992,0.0,0.0,0.0,-37.73366686488511,0.0,-2.4909535563053553
15,IEMG,-7.631999999999928,0.0,0.0,0.0,-33.521347707040725,0.0,
16,VWO,7.835879999999946,2.597425554337324,inf,11.165542335605815,47.39980308992686,,11.863198691941864
17,VXUS,3.185580000000031,1.3494328080321418,3.048936340863709,4.287590828549931,17.500745236708724,2.2969891154473294,0.595381468548013
18,VGT,1.2301800000000949,4.48742963375793,inf,5.718173078719656,6.489948774150811,,50.502967464633365
19,GLD,3.052389999999912,3.4466970023064083,inf,16.069748150383433,16.72282241997072,,4.10026142188405
20,VO,1.4281199999999372,3.0838549088446254,inf,24.037763053405094,7.565164788166356,,120.21212121326204
21,XLK,3.2956199999999956,4.255917865604303,inf,83.25292096608308,18.146601737460657,,97.55266176226343
22,IWM,-4.656020000000003,0.0,0.0,0.0,-21.745687266923486,0.4218482371626955,-0.7123845962800073
23,RSP,-5.344889999999883,0.0,0.0,0.0,-24.610245022217857,0.1614977475839013,-1.1862932040985448
24,SCHD,-9.250489999999758,0.0,0.0,0.0,-39.29853128142563,0.3127514159188941,-1.3650787417626464
25,ITOT,-3.9066600000000324,0.0,0.0,0.0,-18.530686514165872,0.26999859481454724,-0.9520741213850713
26,TLT,5.517360000000059,2.334512144643264,9.053733513720609,20.744709574291598,31.810974896698664,,3448.6194342180706
27,BNDX,3.549779999999999,2.017203675422257,inf,33.21210043345739,19.649274979447085,,
28,IWD,1.9506599999999163,3.0400250040048995,inf,11.444450427856093,10.44569323901805,,109.46464646370036
29,VB,0.0,,,,0.0,,
30,VYM,4.719179999999993,1.9064208154002562,5.81879185765653,10.749037903813134,26.762867426312752,3.354126281737947,0.9630642726295731
31,EFA,-5.6159200000002745,0.0,0.0,0.0,-25.713851632686545,0.4554610756595717,-0.45808410091769025
32,IVW,11.398540000000313,2.5459367398421326,16.04008120358789,20.67324926306577,74.2186187143457,,3.395188996076017
33,VCIT,-2.0085900000000256,0.0,0.0,0.0,-9.909047675002602,0.0,-20.968681490748065
34,QUAL,1.253699999999939,0.6383454443275134,0.9238901891319673,1.794256790940819,6.617254930125505,1.4268739586435735,0.26359156439727466
35,SCHX,5.518439999999988,2.763365275449623,inf,35.803304855979036,31.817913388502195,,247.24193548145595
36,SPLG,11.964799999999624,3.4004559241429004,225.69495297792392,52.42260177581023,78.82127513860048,,16.69059921369544
37,SCHF,12.381960000000007,2.213799853743951,inf,58.25103179722061,82.2742762492875,,3.0965892891977305
38,XLF,3.952079999999987,1.9932972730069785,inf,5.427227281822889,22.059239230100136,,
39,XLV,-1.7332899999999498,0.0,0.0,0.0,-8.59977134844242,0.5925881195204848,-0.37380606004464556
40,VEU,-3.318779999999897,0.0,0.0,0.0,-15.934727006864325,0.48205969584148967,-0.36207901024448663
41,VT,11.901309999999983,1.526394924473165,14.441661912203562,18.916027739255636,78.30039554522037,6.051864230881559,0.9377717911918322
42,IXUS,4.206159999999902,0.7555282659403956,1.6271440534222619,3.2202929161311045,23.60133486497107,1.75471383102255,0.3118841479537092
43,MUB,-1.2808600000000006,0.0,0.0,0.0,-6.4148347988577825,0.0,
44,VV,0.6768000000000319,2.1987815947462876,inf,6.7056044485013135,3.5298301816922395,,
45,VNQ,5.631659999999931,3.4297131073678724,inf,28.246415782876152,32.54693258581902,,84.50978058167209
46,IWB,-2.205719999999899,0.0,0.0,0.0,-10.837245714088063,0.0,
47,IWR,6.580609999999957,2.1730000447704723,14.287594799228817,18.251860964649172,38.78580106846541,,31.245477422696883
48,JEPI,-19.235679999999995,0.0,0.0,0.0,-66.66938301596166,0.42840247798919817,-0.7528851173517414
49,VCSH,6.39795000000007,1.8552321841089776,inf,149.9163606187396,37.56688721921711,,
50,DIA,2.181960000000079,4.956694103520709,inf,11.79285321537346,11.740425220931394,,178.21653534457985
51,IVE,0.924120000000039,2.1823608772053023,inf,7.258516659722429,4.844479189031836,,
52,XLE,8.786460000000341,2.4484293661367773,6.286962584789432,9.590433518863051,54.20526473718312,2.5453399336003155,1.1014456283928737
53,VTEB,0.0,,,,0.0,,
54,MBB,-1.5633999999999943,0.0,0.0,0.0,-7.784187756711858,0.728108019270343,-0.2437070985474789
55,IEF,1.8271800000000658,2.1237040076609865,inf,10.856042254172463,9.759462359137494,,
56,BSV,-0.5025199999999022,0.0,0.0,0.0,-2.557628028216008,0.0,
57,QQQM,7.412879999999815,2.1001259468288116,5.971232561545583,12.645311647981112,44.45029369251694,,11.760947764220889
58,BIL,0.0,,,,0.0,,
59,IUSB,-1.0487000000000846,0.0,0.0,0.0,-5.277434877551435,0.0,
60,SCHG,3.605399999999994,2.9065901848643936,inf,17.091606017775025,19.980161861000045,,104.32291666623705
61,IAU,3.875049999999959,1.9978474092888023,inf,13.451295592501674,21.594793242185737,,
62,SCHB,3.8669100000001637,1.4569350950323037,3.717564663565211,7.627262809810245,21.545797075663486,2.554106079726693,0.666322515762153
63,DFAC,7.697360000000016,1.4139785706686387,5.734833756477952,14.576903189527977,46.4286336921083,3.435131850191886,0.8395009270910918
64,VGIT,-0.6594399999999878,0.0,0.0,0.0,-3.3453986042728534,0.0,
65,VBR,4.435020000000077,1.9650605857748475,inf,15.214099924831936,25.003760744628465,,
66,LQD,-9.367379999999917,0.0,0.0,0.0,-39.699562336129866,0.0,-2.2567975830815383
67,DGRO,1.7234699999998702,1.0210144087356712,2.721754580235275,4.700206793544728,9.185759364756096,2.202559761137289,0.3616989126807482
68,SPYG,-8.584460000000094,0.0,0.0,0.0,-36.97228278185488,0.34804212615752633,-0.81276012280206
69,GOVT,0.0,,,,0.0,,
70,JPST,0.0,,,,0.0,,
71,SGOV,0.0,,,,0.0,,
72,COWZ,3.6178299999999433,0.8136576199671469,1.9878666010655304,2.388180322045246,20.054209390163447,1.6315818530637691,0.375914291407274
73,SPYV,-1.3521900000000022,0.0,0.0,0.0,-6.762076856313914,0.0,
74,USMV,-7.391760000000009,0.0,0.0,0.0,-32.62732137121179,0.0,-2.4044812241394005
75,SMH,3.817620000000024,4.75261568928781,inf,,21.249451050804335,,47.20155810360905
76,MDY,-5.31340999999996,0.0,0.0,0.0,-24.481210285075218,0.05565627011004547,-0.9001767008943082
77,SHY,2.7445900000000547,1.981333697345416,5.056619386071072,7.51451143740348,14.940920048828676,,
78,IBIT,10.494860000000045,0.7975548030491376,2.8229448900881864,2.2828868190914013,67.07139737585064,,14.960598717036225
79,MGK,2.797470000000205,4.874225579698554,inf,35.201862662552394,15.24548128172869,,49.33167081125256
80,VONG,-5.2284199999996925,0.0,0.0,0.0,-24.131952313943117,0.4259793382949847,-0.8597884420733829
81,SPDW,-1.4266200000001117,0.0,0.0,0.0,-7.123302747293259,0.8108031137269482,-0.12790829034219914
82,SDY,-0.13911999999987892,0.0,0.0,0.0,-0.7134154551351801,0.9140330614309167,-0.05130398867118234
83,IGSB,-2.270639999999956,0.0,0.0,0.0,-11.141233265602901,0.0,
84,VGSH,-0.6724399999999878,0.0,0.0,0.0,-3.410430440656098,0.0,
85,VXF,1.1415600000000412,2.1680521715474543,inf,1.843076031052018,6.011376782879196,,
86,DVY,2.732940000000104,2.9760509127230703,inf,49.64812790428087,14.873909359265781,,15182.999999995202
87,BIV,6.794040000000212,1.6212708850748323,22.925073471213313,52.52794224712952,40.22105349706666,9.948763097258214,0.8047788944009685
88,IUSG,-2.1774099999998726,0.0,0.0,0.0,-10.704422257883927,0.6712966335724435,-0.3872155122706808
89,VGK,3.2113099999998083,1.2675373383006372,2.1926299298161678,2.4178842191354435,17.65150664398476,1.7549312371384758,0.4577994015713536
90,EFV,0.0,,,,0.0,,
91,XLY,-0.8641100000001607,0.0,0.0,0.0,-4.365166119241037,0.9213337476176187,-0.11332752219750696
92,XLI,4.132439999999828,3.5615699714838946,inf,21.204455535095462,23.152296820549335,,88.28628795816105
93,USHY,0.0,,,,0.0,,
94,SHV,0.0,,,,0.0,,
95,ACWI,4.799880000000048,2.3145070306722557,8.316480506649464,7.09040026741321,27.266063324334322,,153.6007921785442
96,IUSV,4.585880000000078,2.795569441770813,inf,22.45606764949938,25.93520105356839,,6.00151808616514
97,EEM,-0.29928000000005706,0.0,0.0,0.0,-1.529642365187689,0.962690515178233,-0.03923357664234158
98,IYW,0.1247199999998702,0.05307022766958382,0.06127517534381904,0.12982261983294832,0.6430764014687007,1.0571395215917505,0.020652207956795367
99,XLC,-7.914529999999926,0.0,0.0,0.0,-34.560497428038985,0.3482041830308083,-1.0306065853754456
100,VHT,-2.64375,0.0,0.0,0.0,-12.872174090635058,0.0,
101,TIP,-6.210500000000029,0.0,0.0,0.0,-28.089363216990805,0.0,-1.488379115480318
102,XLU,2.4116399999998976,2.0867976415661236,inf,10.943073233664629,13.038159827782604,,
103,VMBS,-2.5072800000001005,0.0,0.0,0.0,-12.242239075609064,0.0,
104,VBK,0.0,,,,0.0,,
105,SCHA,-15.287810000000071,0.0,0.0,0.0,-57.39739992027475,0.18564901907473744,-1.5807834745048717
106,VOE,-0.7060399999999208,0.0,0.0,0.0,-3.5783494593835896,0.6171822806927418,-0.24188066982757908
107,XLP,0.8925599999997357,0.2935985255290214,0.4351550980858151,0.9129730601366154,4.675974987360565,1.1409044578353884,0.1087179590280591
108,EMXC,-7.836420000000014,0.0,0.0,0.0,-34.27452572212736,0.28296639732379314,-0.7850739951190217
109,FNDX,-5.578769999999858,0.0,0.0,0.0,-25.563355109968235,0.31933297173965114,-0.7371435116241366
110,USFR,0.0,,,,0.0,,
111,JEPQ,19.089949999999924,2.6015241992059885,34.28757233117011,31.16837232944501,145.5923679192503,,4.620447272473195
112,EMB,-3.0693600000000734,0.0,0.0,0.0,-14.813402948235055,0.0,
113,MOAT,-1.4478800000000047,0.0,0.0,0.0,-7.226275141636352,0.0,
114,HYG,0.0,,,,0.0,,
115,PFF,5.5083599999999855,2.0221438468180035,inf,14.823104732769872,31.75316557225587,,
116,EFG,3.377520000000004,2.924222643275795,inf,17.046081399009754,18.629150238337978,,78.84033613420823
117,GDX,19.25171999999997,2.106561473433895,16.483440717865513,14.493150133264672,147.31290578815756,,42.50749317174213
118,IDEV,-3.2798200000000506,0.0,0.0,0.0,-15.760361556620284,0.44818380164364685,-0.3917428497034435
119,SOXX,5.817780000000101,5.492368244918156,inf,,33.752407566962496,,51.26631072990591
120,IEI,13.189429999999877,2.6933579688534066,inf,45.20244017674222,89.11061970397228,,2.420763179424483
121,IWP,12.109160000000003,3.314727306267409,inf,61.727348477797136,134.30174871524767,,3.7348336475023163
122,IWV,3.719500000000029,3.85456566619801,inf,223.4962310426492,20.661257194429883,,4.205738976684031
123,VGLT,-2.0861099999999277,0.0,0.0,0.0,-10.274979119720928,0.0,
124,EWJ,2.441699999999895,2.0849213214335585,inf,16.339216597596977,13.208899031106046,,
125,DGRW,-5.446680000000211,0.0,0.0,0.0,-25.02626140584795,0.2933262352088619,-0.7656192435245847
126,IGIB,-1.1182199999999138,0.0,0.0,0.0,-5.619189296387339,0.0,
127,SLV,-8.83008000000006,0.0,0.0,0.0,-37.83837213205079,0.5789335554072608,-0.4985982996093043
128,VCLT,2.7656299999998737,1.1023697801001795,1.7478383169361187,4.0048006949519905,15.06202171661033,1.7638938543431117,0.44060656673324666
129,FNDF,-10.130030000000042,0.0,0.0,0.0,-42.264025909228465,0.4667700818599716,-0.3954464843037925
130,VOT,5.6548199999999635,2.649968507459577,inf,22.084740481337782,32.69645828262,,3.547521361086909
131,GBTC,11.44403999999998,0.8782644752426269,3.0427775968260056,2.535228847340161,74.58488619915067,,52.484203313010575
132,OEF,-2.74442000000026,0.0,0.0,0.0,-13.334520352521384,0.49830443498126575,-0.6235310406543034
133,AVUV,-5.884379999999918,0.0,0.0,0.0,-26.79412691371601,0.0,
134,IWS,2.8312200000000014,2.9681954953066594,inf,22.07099118824141,15.440203305558398,,85.95081967242274
135,ESGU,-5.623399999999921,0.0,0.0,0.0,-25.744123823932952,0.0,-3.9065495873507747
