Symbol,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
MSFT,0.07067690253846734,0.03993995780890476,0.0762169926395927,0.09005029808404247,0.047837123973134235,0.06501471376851665,0.0537762819892519,0.06512696873919183,0.036525760100182166,0.09025374392698404,0.06655235897678657,0.039498886472621904
COST,0.11824586953234752,0.06256975053853672,0.06321267997853959,0.055472751800318215,0.10002838356179833,0.018006438778029873,0.04498605329742566,0.0509077743642291,0.0630568222481302,0.06094721498426624,0.012836117334749339,0.15020981138765394
AAPL,0.08161893764592222,0.03866593075834298,0.08607065262102412,0.07332200922233913,0.08753308737934988,0.09522288850278607,0.09031123656740059,0.04611512284483014,0.02668325151986729,0.056139939890325334,0.08236321572285696,0.10062083318530998
TSM,0.11586483394807037,0.13870952111544843,0.0516176288491218,0.05845925850645312,0.07494884774237749,0.12861414421076686,0.06133173437424976,0.04472255898957879,0.06397550172714722,0.06362733225239595,0.16287223149706156,0.08902767944711164
BRK.A,0.028204988542600166,0.04371489906419942,0.05561778240133868,0.08435936215238642,0.044872448981411045,0.08143767212671113,0.05301643600981728,0.0525947886235236,0.007597766821319436,0.06116111354772316,0.06116102503951359,0.05620961463796647
VRTX,0.028198424425631204,0.03682063154757365,0.07158823415662682,0.06045599309174282,0.09916032178757063,0.05060831802531216,0.0031942805658969407,0.008283110356933252,0.06366682336274439,0.0293254285321835,0.018917031124856855,0.1438851690962421
CVX,0.08147440144181393,0.08891779583893572,0.061393965132954254,0.03318834405267711,0.09059369229726037,0.09483897382519833,0.07988164297986372,0.015495205474011965,0.08000315788173192,0.20117845481601546,0.014270746786642766,0.034669914968965924
MA,0.010938048437922999,0.06503054813722428,0.01679072751656174,0.058846560012773004,0.0218515335797302,0.08169869474637806,0.05968118055998151,0.08119415318738699,0.06474085597382882,0.11392427003989299,0.08927844874701331,0.0841890792221002
BRK.B,0.03383078658180061,0.04366153816986748,0.04591800263379856,0.08242749201655748,0.040899935477978745,0.08151128540885819,0.051040572469418066,0.0525751961213457,0.011450679112210626,0.0657185007647163,0.06084361955318164,0.05897741140145113
AMD,0.20525176554246802,0.05221118262401216,0.19524764308683762,0.10650971062757209,0.15124674741288308,0.1725003934356319,0.11570677550925884,0.07695174082777893,0.11998014511429488,0.12450070597968406,0.04493272563480747,0.20271536398772422
MRK,0.07138304627918472,0.056591644950629974,0.03629300427927329,0.06391322125987793,0.038443782288944614,0.03777224211643363,0.03485525372758313,0.03327060204550424,0.03339693321541945,0.10169327489156418,0.11981531519128463,0.029237222562177183
NVO,0.10967331723033591,0.013967855578217355,0.03115543995152797,0.04134636199172946,0.05591086659814566,0.025498233283567442,0.05519889996904795,0.1223661898136316,0.020423231933070288,0.04314378367364404,0.08739761786962985,0.035225446089265956
ORCL,0.08210099448651029,0.03392677542185289,0.030919687839555027,0.09296760668476965,0.057321374630599546,0.11207943095933286,0.0771052713031018,0.04179364643313941,0.07790875463918025,0.1533989017644343,0.09057157859661533,0.03960395369913594
KO,0.03395180996662428,0.02604836429212816,0.023287362573195382,0.01400118336363937,0.04349083828313811,0.012734400963167372,0.017679390226048038,0.013745701779479648,0.015470460112080673,0.036056379267806006,0.07001182465035594,0.07211312351164532
TMUS,0.06701024828924178,0.09486227974372538,0.021132354642352504,0.03941116444537269,0.0605106056392346,0.00634499627968147,0.04054459907986494,0.02806326356217765,0.055243083843082484,0.11484271264200374,0.05222785851274643,0.08166387921925569
ABBV,0.07537208038454728,0.019842036338283225,0.03585186036189088,0.06397623682247582,0.046240989006190086,0.035848284581067424,0.08856825337555443,0.050881612366472394,0.06579779208616164,0.07748825103511903,0.054301701071543425,0.0859319972722045
V,0.035594827208005816,0.04564858617714205,0.022070131052497655,0.06764795977358617,0.028003914183592053,0.0616362097135042,0.03904316092213848,0.058196125955272376,0.039173334974263896,0.10972103050661831,0.09239131151336667,0.08162993874861152
NFLX,0.27231606249518314,0.08790345085617983,0.06153816621403124,0.22254796004362606,0.10370879229793571,0.0980988160197855,0.1721923611915555,0.06285485701458378,0.11128142380282083,0.07725226762588187,0.11076104888156943,0.04552299634069419
ABT,0.06633352702049362,0.06783943185785948,0.018907067030607263,0.06996578893386082,0.04609538174116169,0.05930832706786105,0.02067110749994851,0.064689243003845,0.0041702674134031885,0.05718298318539869,0.06936717450821396,0.049935431976479455
SHEL,0.11616674522457163,0.017114494554624146,0.06469190542293106,0.05907426071985368,0.08421545530118037,0.08944400515040662,0.008850149097031022,0.014093210787383818,0.09096107166748922,0.05671444351868896,0.06951232393341433,0.02923075563482625
ELV,0.04953122742086389,0.046896106429900115,0.054043523585671716,0.018445045395923374,0.03932471495239656,0.023557357074410038,0.03811168573599546,0.03979626758247477,0.03132226621882409,0.08949831068526401,0.06740466403718735,0.09792132874830951
QCOM,0.12990486715717026,0.07113188597799015,0.09605736575255276,0.06311243028598579,0.12475966019158538,0.08759989361577032,0.04504197875593573,0.05353701435952609,0.060078487969614555,0.03219205810007265,0.13858576218671723,0.12640552389842236
NVS,0.016673386851913833,0.03933836770296716,0.07445040039670085,0.056775901011859774,0.05426922701618117,0.05314056771719498,0.0148155421595767,0.03160213746429847,0.06436382891992264,0.0751244471396153,0.07082129108465036,0.044457749119784784
PG,0.06856183420549572,0.024739776360392172,0.05067758425566011,0.03319514753205486,0.05402701188234849,0.03879833034416282,0.045683936593268824,0.006872168340000992,0.033339201786731235,0.024510914161327255,0.05254753726283265,0.08979248929193427
