Symbol,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
JPM,0.0089417448029346,0.015187865433086256,-0.017692572021291264,-0.017391194857671266,0.05353255899439796,-0.04333199452510211,0.03615804972486847,-0.011309374669634739,-0.022242354663540038,0.07515969352668057,0.051668197369742784,0.019092356876378447
BRK.A,0.03895244957339816,0.02008952812494506,0.048058243634070484,0.002547089718425849,0.013180308540327451,-0.03562459441730359,0.046406759948941945,-0.006623978491778648,-0.035396902917833706,0.040515666106910854,0.03211895910073984,0.016986127800875345
AAPL,0.01752714701985721,-0.016475343075972832,0.04161190957756996,0.00034198645848479425,0.017439122929192002,0.054322374003578866,0.08880045481838843,-0.010367521828412163,-0.09256398312973169,0.055212890909704194,0.06194482101293312,-0.011487012132460653
TSLA,0.015456069505525841,0.06489915491135367,0.039093562397425195,-0.07379552795400482,-0.008788292126401864,0.06462080249325516,0.11880719790916554,-0.012281910799664971,-0.004667527365365205,0.03233848346101479,0.026221788604014955,-0.13640018567268633
AVGO,-0.005374426710182585,0.04021194045100122,0.06331073450506548,-0.0445172924060567,0.09829423469926452,0.06177473818819823,0.05206150104665578,-0.005538723485670268,-0.07186939705157584,0.056060317425130034,0.104589328624857,0.14799962673817282
LLY,-0.021119046457004464,0.033171244543811006,0.09379610550054156,0.038792605241644545,0.07849206656277169,0.08659434087314077,0.01566026276880698,0.06755494801863864,-0.020943879590440712,0.0845679162813231,0.024478616259491697,0.028583777181513875
ASML,0.0697349019780235,0.005686436391343845,0.04127617172611483,-0.06742058746162044,0.07854903750187159,-0.019656020626136722,0.10182326672263509,-0.04484215832004305,-0.12220102160020185,0.08186595579773844,0.1373843632769752,0.003784378416770854
PG,0.0035313857709264504,-0.01693940032324755,0.027304615606431454,0.02968231616130329,-0.03718641561518943,0.012863068606459527,0.023202149174457065,-0.006132665299356114,-0.05262666764234666,0.04616776695598035,0.047326125417426944,0.03401284276480687
ORCL,0.027976809882655013,-0.02536987079804187,0.09229056882307722,-0.023099486949074433,0.04186403807243319,0.06571927907577269,0.07683092252585429,0.0007958864418940633,-0.10634366920867085,0.12322174460142388,0.0444065571561589,-0.0490673301093714
AMZN,0.048787984551563746,0.026430413935839447,0.05935492841233773,-0.031444087148932987,0.012118596350548128,0.018231043514651435,0.08778052084624814,0.004936640897711915,-0.08034908928454083,-0.006628466868271195,0.0266690879089236,-0.046367489986335254
