,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor,sqn
0,VXUS,6.185780000000043,4.31420421556116,inf,92.80596409259634,87.800522551136,,2.4565804331887624
1,VGT,14.353680000000125,3.0511370829777267,54.709806508712965,181.09294489794635,308.90886306626186,9.036081361501612,2.179898859758834
2,TLT,3.588899999999994,3.7453770254053356,inf,,44.806755954495216,,6.376865671643133
3,IVW,8.961179999999876,3.318282522779524,inf,81.00254121053011,146.2373206951585,,2.914145441968671
4,QUAL,6.547820000000137,4.111776661945617,36.398494204955426,131.96515847415012,162.3656513037115,6.73528849995235,1.9860588311817537
5,SCHX,6.838859999999738,4.184719223301706,inf,133.743428554009,100.28898974987075,,3.2221807075146938
6,SCHF,4.039180000000109,5.076227541060871,inf,,51.554091715175666,,4.363942871436851
7,IXUS,12.465929999999528,3.8994122753685354,296.8520939288608,703.7352294541695,496.95838043476084,29.34929002047355,3.0672837668131696
8,SCHG,13.415089999999722,3.1949114390338917,inf,136.73168407702377,275.010854529533,,3.1931938521449723
9,QQQM,7.866259999999952,2.8237779850453357,inf,75.08865024807083,121.46189886827581,,2.5444471040323826
10,SPYG,13.541549999999827,3.5208580947903934,inf,221.34378977450848,279.42469689241125,,2.9215093851014915
11,XLI,9.368580000000001,3.788745432834896,310.6375583836102,31.564239151093822,156.07785366919038,,3.327012277235184
12,IDEV,7.402669999999779,3.612906596430375,inf,222.5812630099292,196.26997688658028,,2.1045266591974774
13,GBTC,13.365849999999918,2.3262310811754183,inf,106.79140349320694,273.30483147594975,,3.3565923399724347
14,NFLX,31.354230000000065,1.6701792964212667,120.81758831718942,296.9132965515724,1652.5187001663255,6.075095135750921,2.000366091531303
15,UBER,18.123939999999873,2.3027396480842173,inf,,474.8416212282041,,3.1080332849778487
16,BSX,21.948820000000225,3.005663451728103,inf,222.3932224591327,703.2760615155003,,3.326093528997601
17,DUK,17.096669999999854,3.5144445746988873,92.74569860126147,93.68994337472647,424.4664600431446,46.93768200658439,3.3656558303194504
18,WM,20.33264000000029,2.5870770784848194,110.99114284211082,98.76450842352841,598.2744817575814,8.17475433986087,2.370618406730218
19,FCX,5.073940000000031,1.0606118654600167,4.572408303537654,8.341681396884635,68.15031434162344,,4.569388159436186
20,TTD,23.253409999999917,2.248146957209581,inf,731.1077480250366,798.2327949850818,,3.3934668074848253
21,IQV,35.126579999999905,1.6243921528064231,1021.9743622746292,1429.111961024905,9635.302256575324,,5.158036209873898
22,NDAQ,11.886260000000053,2.4795038500526987,inf,323.79638221680216,225.20405233509143,,3.417123768125969
23,HWM,26.36700000000001,2.6295642777765225,106.03558741463787,141.77909653173776,1067.2223386878309,38.481006942616865,3.639791135042218
24,EXC,14.170140000000043,3.1395885381445945,39.391970454436574,130.38993171709959,302.06993790219354,6.8431395908869925,2.335161567884593
25,OTIS,41.433750000000174,1.7153624224231663,984.3270729478166,813.2028143634686,3708.965974593672,38.87628932624085,2.7306166184526863
26,EA,24.085530000000073,2.768307172524928,320.6313979835572,187.24439337325467,863.9887602192204,11.330068732267462,2.7806509991863027
27,RMD,21.772099999999934,1.9486220656157318,inf,382.4103164948983,691.1372882353245,254.88805063639802,1.9941521735173453
28,DXCM,43.434160000000006,1.2290671954444785,200.2872201701011,408.67774159884453,4314.202383863904,6.922079213526001,2.267334748579953
29,DVN,4.6737199999997685,3.2355646442526074,inf,,61.545705677081685,,2.235673420967012
30,NTAP,8.467559999999969,5.67360431988727,inf,35.34853086926391,134.77326653901866,,3.5736810587884316
31,GFS,22.255359999999957,2.565889492555361,inf,124.8986866302405,724.7323742399168,,4.880394033479518
32,TXT,40.31940999999997,1.3652219969253208,5302.340090506686,2490.8572340190244,17174.909485644777,18.24144241150149,2.404502488335074
33,ENPH,28.2358100000002,1.5898805259180906,173.14264157403863,256.7043340256576,1261.7514716749845,12.91103468738013,1.946306831802362
34,JBL,12.856910000000033,4.70896320557493,inf,29.819552286670977,256.0783998109207,129.66215807662073,3.03810848130719
35,EPAM,53.85426000000019,0.8186173278726055,1504.6920256026074,4143.391600613312,69984.83208379032,4.613235928239302,2.4164042935784726
36,WYNN,43.83495999999996,1.9963465052107512,441.4966639390081,1347.1189833335523,4445.449085742927,9.743774016360463,3.146332697049912
