da,strategy_name,code,weight
2021-12-30,capex,AAPL,0.0
2021-12-31,capex,AAPL,0.0
2022-01-03,capex,AAPL,0.0
2022-01-04,capex,AAPL,0.0
2022-01-05,capex,AAPL,0.0
2022-01-06,capex,AAPL,0.0
2022-01-07,capex,AAPL,0.0
2022-01-10,capex,AAPL,0.0
2022-01-11,capex,AAPL,0.0
2022-01-12,capex,AAPL,0.0
2022-01-13,capex,AAPL,0.0
2022-01-14,capex,AAPL,0.0
2022-01-18,capex,AAPL,0.0
2022-01-19,capex,AAPL,0.0
2022-01-20,capex,AAPL,0.0
2022-01-21,capex,AAPL,0.0
2022-01-24,capex,AAPL,0.0
2022-01-25,capex,AAPL,0.0
2022-01-26,capex,AAPL,0.0
2022-01-27,capex,AAPL,0.0
2022-01-28,capex,AAPL,0.0
2022-01-31,capex,AAPL,0.0
2022-02-01,capex,AAPL,0.0
2022-02-02,capex,AAPL,0.0
2022-02-03,capex,AAPL,0.0
2022-02-04,capex,AAPL,0.0
2022-02-07,capex,AAPL,0.0
2022-02-08,capex,AAPL,0.0
2022-02-09,capex,AAPL,0.0
2022-02-10,capex,AAPL,0.0
2022-02-11,capex,AAPL,0.0
2022-02-14,capex,AAPL,0.0
2022-02-15,capex,AAPL,0.0
2022-02-16,capex,AAPL,0.0
2022-02-17,capex,AAPL,0.0
2022-02-18,capex,AAPL,0.0
2022-02-22,capex,AAPL,0.0
2022-02-23,capex,AAPL,0.0
2022-02-24,capex,AAPL,0.0
2022-02-25,capex,AAPL,0.0
2022-02-28,capex,AAPL,0.0
2022-03-01,capex,AAPL,0.0
2022-03-02,capex,AAPL,0.0
2022-03-03,capex,AAPL,0.0
2022-03-04,capex,AAPL,0.0
2022-03-07,capex,AAPL,0.0
2022-03-08,capex,AAPL,0.0
2022-03-09,capex,AAPL,0.0
2022-03-10,capex,AAPL,0.0
2022-03-11,capex,AAPL,0.0
2022-03-14,capex,AAPL,0.0
2022-03-15,capex,AAPL,0.0
2022-03-16,capex,AAPL,0.0
2022-03-17,capex,AAPL,0.0
2022-03-18,capex,AAPL,0.0
2022-03-21,capex,AAPL,0.0
2022-03-22,capex,AAPL,0.0
2022-03-23,capex,AAPL,0.0
2022-03-24,capex,AAPL,0.0
2022-03-25,capex,AAPL,0.0
2022-03-28,capex,AAPL,0.0
2022-03-29,capex,AAPL,0.0
