,0,1,2,3,4,5,6
0,MCD,3.5408000000001922,2.170889451284031,12.323187760420161,23.862576875833003,110.53346383073426,1.5447467316935293
1,COST,37.641059999999996,1.3153811473313133,51.621727982118834,82.99058644324191,1376.3798480017067,3.090868018608112
2,TJX,18.051839999999952,2.301359514497731,59.50392968388708,87.65967742440161,471.1681549795368,5.540780750717671
3,CMCSA,15.6995600000002,1.1956043888286048,13.010519722735927,33.49503252623047,219.57298418320542,3.8489275155809914
4,SCHG,2.563010000000053,0.0,0.0,0.0,-1.799121809010884,1.8661478720091924
5,VFH,4.250409999999931,3.489538504789372,inf,38.14700705324534,87.53828403114794,3.3558695971647285
6,GE,37.58673999999987,0.47820892993519215,132.13233856495046,240.36400181574538,2751.3734120964477,5.745430450852921
7,JPM,5.1407699999999314,1.0634454118564993,2.3319886074085066,2.78486847756357,32.15796003888507,2.027740811709227
8,VGLT,-2.3424999999997818,0.0,0.0,0.0,-22.03335900587211,0.4371544292847739
9,IVV,2.4518800000001355,0.5465726169471579,0.9773620500002691,2.0001508917086435,5.348788362189616,2.4989251821118077
10,SCHX,9.053920000000115,2.041132644284885,16.533172086801212,17.728446011367524,148.44682548068081,3.225830419172184
11,IEFA,5.567010000000126,1.3780742154271752,7.360218297261693,14.943819727321548,76.62261951603504,1.9835028923771598
12,ABT,8.720810000000013,1.3200142651200741,7.0377758027922495,10.821190397618677,140.59308071015454,2.0204300659806127
13,VPU,1.6002100000000063,1.8290321051978622,7.269612680425983,14.892818485813642,65.7693742487331,1.2546425243449972
14,BBCA,-1.9086499999996742,0.0,0.0,0.0,-18.318731789192753,0.7775512834974018
15,XLRE,-7.865740000000107,0.0,0.0,0.0,-57.69203888959136,0.2813405601832153
16,SCHF,7.895070000000182,2.0089382376397946,25.271672989023415,24.50812042339516,122.08376514048611,4.9427170353691885
17,IWY,1.9352100000000938,0.4626758169197627,1.1871175839225236,2.488597278877175,22.293769211607483,1.2265053538146657
18,IYW,0.5124399999997404,0.0,0.0,0.0,-23.364731665900486,1.079248529134353
19,MS,-16.984240000000163,0.0,0.0,0.0,-85.83600529157398,0.239221812663573
20,NKE,3.3914600000000066,2.4146836449035054,inf,6.295416396356452,66.38676534426993,3.3069465039352517
21,LOW,5.736350000000035,0.0,0.0,0.0,-12.205920734487341,1.5130495245059334
22,NOW,6.839599999999716,0.0,0.0,0.0,-17.476722422417655,1.3118112265972044
23,VNQ,-5.3413999999997905,0.0,0.0,0.0,-45.12404663669825,0.3182715035421691
24,SCHA,-1.532900000000096,0.0,0.0,0.0,-14.97296229574201,0.8990596594722544
25,UNH,0.1948299999998271,0.0,0.0,0.0,-5.239155776320836,1.1018116272214566
26,PEP,4.20536999999985,1.2142033285360074,11.087439634276294,26.81280860998973,128.81475795315583,1.4843980211808723
