,symbol,ar,sr,mdd
3627,INDH,1.7638610732905478,9.29134069898039,0.004184627951205368
3530,WEEL,0.4862070590047942,6.263400870820804,0.005770797618154639
3612,RND,2.289226771605449,6.234931116137592,0.0135644883270239
3552,RFAIU,1.294043229480121,5.793122909978561,0.0018288639859386727
3472,OCFS,3.19320212035759,5.464609529084287,0.005258938706719986
3593,MAYU,0.5571462566117755,5.208848546648289,0.012696590351213378
3559,MAYP,0.4673960316979573,4.9669236855942165,0.012437401460337937
3499,SIXZ,0.36439374570319205,4.836058586652854,0.014209444915371808
3631,AIBU,0.761346528322228,4.485907315698308,0.01463358666660796
3500,ERNZ,0.5003892133297567,4.406054805600524,0.017366167525189952
3479,LRGG,0.4680140831749795,4.30747878611737,0.00499895441551552
3566,SEPP,0.36144160259432057,4.2327682831268945,0.004686117419447582
3506,IMAY,0.4376015472812145,4.2247095455629005,0.012232658386196455
3536,MGNR,1.571385262255625,4.0922750146610944,0.04768056764142626
3166,GSIB,1.3473526831704716,4.028196751738211,0.03559803787814423
3539,NUKZ,1.6550447404449038,4.018145386688737,0.051769659349379306
3632,AGMI,6.474428705369681,3.998616216264593,0.06296867876932268
3604,PBOC,1.101364349344069,3.832230921368377,0.0028900239633002744
3522,PBMY,0.3056620159626182,3.8082357139312966,0.01460803877826288
3501,PSTR,0.4565639983900329,3.6711928221786962,0.012468364694848081
3488,OCTP,1.100525637765457,3.534708725072952,0.0033401132904337582
3542,BOTT,1.1483181260670925,3.454842541265189,0.023589231939388923
333,NVDX,15.544203984477726,3.4537296171321112,0.3670047706591448
3625,OPTZ,0.47887193919759397,3.3289494933120665,0.026450594835702303
3526,VMAX,1.0834050580353667,3.3033382413215775,0.04407159022361045
2637,CPAI,0.9185502947651989,3.2953275641856683,0.04460250396135157
3544,COPP,2.434639775680436,3.1887289819392644,0.077046877530978
3637,SPYU,2.7933095750684607,3.181753446838835,0.20117500529277194
3623,NEWZ,0.7106284930397648,3.1379496765854444,0.03206780882533896
3635,CPSM,0.12067569317134641,3.1019209503646574,0.016438928405888793
3549,MVPA,1.431251694924502,3.098152126375957,0.060277097381888585
3230,JHAC,1.0265208239555004,3.0758242006932437,0.05025029199130425
3373,LBO,1.0393841182635666,3.046726536142221,0.04869774192490915
3377,BLCR,0.8796636316477133,3.0291976640592,0.052090192038936826
1194,FENI,0.5447046856853759,2.9268971594851716,0.05297452969384421
3427,PWER,1.0645429819118282,2.881740658038083,0.06722719667484019
3101,BWTG,1.0895066625280148,2.8690566268897775,0.0696172817106433
3580,HQGO,1.0404834344779763,2.847530504334495,0.07165656311842601
3247,LQAI,0.8747315287036435,2.846276906423476,0.07028515721476399
143,ARKB,2.6433243991246838,2.823112388534319,0.21627684522790558
461,BTCO,2.6975526289901106,2.822207182757872,0.21573373843945307
621,EZBC,2.6606929349717974,2.8170924036701486,0.21746681090322229
578,BTCW,2.71672522984965,2.8139538015821572,0.2155245783796447
8,IBIT,2.6493188116292554,2.813100192481375,0.21669199631908415
30,FBTC,2.649121627056522,2.8096641509846796,0.21682310476635852
533,HODL,2.6337841224748577,2.808563847854347,0.21642329360937038
136,BITB,2.6170771490596727,2.8028905023534447,0.21639954495758118
443,BRRR,2.609233849614264,2.8018501402409473,0.21559901321052707
2936,ITDG,0.6195138019866964,2.76798746633576,0.048839917319047875
3503,NRES,0.5706495768138864,2.76054934603762,0.03642836474102131
1151,SHLD,0.7198962336244403,2.757051728577049,0.04595452205213624
3092,ARKC,2.537049205935986,2.740655325106401,0.18417719258937068
2967,ARKD,2.15393845594648,2.7246960886600635,0.19455079086363042
3165,BEEZ,0.8447969365916126,2.724115116609433,0.0952500674782201
959,FMDE,0.605523903630665,2.7130468993567467,0.05091344209035469
513,NVDU,5.197513732033683,2.6840797681772344,0.3492999431424135
3324,DIVG,0.7712393747670854,2.682748194574663,0.041457292085588134
2995,BETE,2.6903747763535732,2.6726242561040596,0.24546577901584254
510,FELC,0.5704319196206353,2.665865454906073,0.04268456165981036
720,NLOP,2.666070478197138,2.663583049066831,0.19576167523058616
851,FELV,0.5025129615987891,2.657880374921672,0.03919864198650257
3408,LSEQ,0.9674756605135599,2.6534445788026133,0.07345174686479246
3179,ZZZ,1.0423352048399495,2.6459951475242223,0.10004162130351471
3077,BETH,2.960667511222072,2.6177137105889123,0.28190118930227165
2890,TDI,0.5849243228782679,2.5894569817711237,0.060738535640497276
2167,SMCO,0.687045953359706,2.5628504244017845,0.07634228185829765
3343,JDOC,0.7529855764310429,2.5557409412821848,0.07054906547553177
2524,SPTE,0.9794757507652994,2.533727975287345,0.13175461685898598
2989,BTOP,2.3540068451129486,2.486366345353992,0.2540395878004879
2192,BAMD,0.31185093407994047,2.482976444719944,0.03406686577209987
3434,TMET,0.7359697909578056,2.4655380039981902,0.0683026436739923
1680,GPIX,0.5636623995799901,2.458796544801872,0.04463016872097601
3378,JIVE,0.5956323153814307,2.457279841763752,0.042931490794008584
2437,FFOG,0.8933384526613126,2.4414994737400217,0.09358322270654888
1972,AVLC,0.5399186577762995,2.4270854136201114,0.04965657146094417
784,FELG,0.6448675661949685,2.4244803673138122,0.060575266912583935
2935,AVMV,0.5497934449290929,2.414470784040361,0.05785715990302876
3583,PCCE,0.6387832315059343,2.413643021726381,0.046933971844334434
2818,ARKY,2.2416106331597785,2.4092147309563874,0.2611456001618357
3208,SPQ,0.7318424286290706,2.40577952372863,0.055180138587175694
2907,QOWZ,0.7771850309901143,2.400597074522769,0.09689841605284756
404,NVDY,1.5101917787038412,2.3893139880241714,0.15011978786839142
