,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor,sqn
0,IVV,7.959140000000275,3.2909512338076654,inf,,123.47238877454427,,2.44996414148672
1,IEFA,10.60847999999963,3.218109684451634,inf,,363.39244795358496,,3.763578640582836
2,EFA,6.898989999999962,3.031191280029405,inf,,101.47576820449716,,2.787932546401844
3,SPLG,5.931200000000157,2.8006835803433856,14.10763055794981,46.697155890407295,83.12636145345084,,1.958708344864971
4,VT,6.136890000000057,2.883525843196935,inf,206.68278276126725,86.89460187269657,,5.456097827543336
5,VNQ,8.52742999999998,3.454600955953086,66.8912674625522,30.483448049639534,136.1374923410221,,6.669171799735435
6,MDY,11.217580000000044,2.569109714607921,inf,,205.36631630294985,,3.705326647773076
7,VXF,12.06264,2.6725573781610104,44.84898426103199,175.0170193115559,465.2194338463357,,3.1905186455420225
8,IBIT,23.915319999999962,2.4645271221974134,inf,3012.811638772232,850.1945362267003,,11.756275009093557
9,SPDW,4.425959999999905,3.2744796270795455,inf,,57.575612164828385,,2.0188844490667255
10,SCHA,8.790790000000037,2.9026946604354973,inf,,142.22411053412017,,4.749955422513631
11,VMBS,2.313639999999985,4.618860689333887,inf,199.1564537018799,41.603022483413966,,11.659141302150427
12,MOAT,7.345889999999927,3.1682590334494147,inf,,110.49748978365716,,194.79952267324018
13,EFG,7.050520000000033,3.3463111068520335,inf,,181.83572837444632,,9.526184942982605
14,SLV,6.263640000000057,3.2983401594331183,inf,,89.25145518082284,,6.514039685510836
15,SCHV,5.652859999999971,2.2175124264170347,18.027139174584548,33.27681738246911,130.77785324509193,,2.754348694660773
16,SPSM,13.445189999999856,1.9480995708165758,36.91062054974647,122.17650545519156,276.05720300184277,,4.764705882352765
17,GOOGL,23.603069999999992,1.5991680338898329,inf,13348.92355261624,825.352507025549,,3.2607726197037903
18,MA,17.28971000000005,2.58526432585937,43.726802914624045,144.73850331604208,433.616292544389,,2.21305038793472
19,JNJ,11.87972999999998,2.661168784755137,58.04578510256898,68.04139126907525,225.004819333223,,3.0313960319583786
20,DHR,12.335799999999887,2.515784447711419,61.464320642688705,90.03220016656839,486.53962692492456,,2.0546973466475036
21,PGR,7.431480000000054,2.8187472293652385,48.36269060435458,42.37506712161038,112.26645476311501,,11.9392712550603
22,SCHW,10.38445999999989,2.744950346009621,inf,39.16008849310137,182.1846221795127,,6.390200977194771
23,MMC,6.406209999999962,3.185783296861059,30.15398923708059,120.69772816446495,157.11223275167532,,3.156769777892111
24,MCO,26.446470000000115,1.2880392081270453,inf,1704.219878277582,3446.755162834571,,2.076628194041435
25,FDX,22.157279999999695,2.308955516135653,inf,885.4711148688405,717.8115068460108,,3.3429459328264985
26,CRWD,21.343270000000093,2.3809049353613267,inf,395.8385627469802,662.3682303718756,,8.52372504325665
27,BDX,2.595929999999935,1.788368915478389,5.418660943113196,17.936112924025334,30.877922331080153,,3.9565469204856574
28,MCK,6.953500000000043,2.1312625515761003,7.797918729342133,17.750216990807438,102.55711963684053,,2.0340771190609344
29,SLB,6.635359999999856,3.569346276740741,62.162395043396785,145.51547954852296,96.31930790149849,,10.752138968109932
30,COR,6.982669999999867,3.4477478135389523,inf,54.18944237364969,179.13124514087752,,7.465301758700205
31,MSCI,8.060500000000044,3.350223598237865,377.8726582973525,97.12520451263744,125.68526941736681,,9.658151405494776
32,NDAQ,16.917929999999906,1.749945940907739,30.951887049480018,57.61799614631123,416.12124441659387,118.98132243142811,2.5058523534317265
33,PWR,7.382949999999953,2.5825392096254576,27.635190770921085,91.4742419848558,111.26179798567387,,3.873510632158036
34,IR,26.872600000000123,1.502752370662991,279.0006235283173,493.2015414749149,3632.9533783671964,114.98104842165257,2.331145861209128
35,BKR,7.426360000000219,3.7176247784582106,119.31246167229271,24.09687809582856,112.16025812811692,,8.510747226412194
36,IRM,7.608639999999868,2.7862953488879514,inf,,115.97078050243348,,2.2011409792054093
37,EIX,9.17144999999991,2.7914847804989487,85.64358668744376,70.55568371654408,151.27271082847327,,4.7593212423133915
38,LYB,13.150999999999941,2.4807166126959017,inf,71.79430695633056,265.9427632869748,,2.130507669529873
39,CDW,11.955139999999751,2.631116584891631,66.55311827359407,219.9974626973069,457.0293365865939,,2.6053442468715264
40,WTW,8.735450000000172,3.679462241312245,inf,121.73972594620338,257.3918677735364,,4.622311133116058
41,FTV,9.095150000000155,3.2355389674999024,inf,74.55983807172443,149.43486623735316,,2.764943015744484
42,ZS,10.868190000000192,1.9878219983975796,20.34520688541663,67.34393090663384,195.44255672800182,,63.01495912333579
43,CCL,20.839039999999905,1.5607907544703508,85.81640300573126,284.05776098626603,629.7536855417013,,5.788172031064139
44,LDOS,4.695969999999987,1.4647610575558219,4.598753531673117,11.700785613582923,61.906629556470286,,11.005791839252776
45,OMC,12.189050000000076,2.254630527693284,inf,74.77493041387595,474.9941225758374,,32.122941098948424
46,APTV,5.695749999999884,2.321417536257299,14.814733883688564,8.720273488765487,78.89739235115665,,6.1268999494432475
47,STLD,15.311610000000103,2.316445357945326,56.86225973931237,45.85273777888262,346.34109718743986,,4.980901117637825
48,L,15.682410000000118,2.7539765356395938,328.40892548129636,298.4324298668595,816.6226997095166,,1.9558174400292112
