,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor,sqn
0,SPY,71.52766999999868,1.8103877503560883,11.562673783564957,26.67909273553585,244.2217611323827,1.9638967198903312,2.3653805009702475
1,IVV,65.04496999999986,2.4026232366607396,17.261843747854776,33.70273925481028,215.14256929173126,3.3215685362940137,3.1330380603466184
2,VOO,30.03099999999993,1.4252380519639416,4.412129736383429,5.274966890891868,82.50345295920354,1.5286819309957247,1.3496795189943716
3,VTI,31.537389999999228,1.5484189855704598,5.169739127328391,4.940626238511919,87.38332495908028,1.8726934153417334,1.3624955263684533
4,QQQ,70.2853299999999,1.3279795403458838,7.28672611660173,11.556213319672679,238.5369132177499,1.665105738467035,1.5285261533161159
5,VEA,20.100080000000204,1.128219406187656,2.8290942416540554,4.633775783315737,52.13406212874414,1.4556076013250556,0.987690612155353
6,VUG,22.168950000000056,0.8411025048535039,2.2437991735734717,2.9306390287087125,58.20470011707053,1.4291870478954933,0.6113767337854575
7,VTV,6.484179999999657,0.5126470293895655,0.9960454951979254,1.247202103349769,15.480235999339097,1.2121587521131505,0.41605716205782217
8,IEFA,12.891820000001026,1.1111080124445265,2.2101411169896488,3.274106126505891,32.02158483652693,1.416989927002454,0.8178052934841542
9,AGG,8.06002000000044,2.2164669428151105,5.512262617711422,6.168990019095344,19.43278358355556,2.385946728276824,2.069896118511499
10,BND,6.640840000000055,1.6965716450767996,3.5382739940141454,4.083188816058087,15.869819734321645,1.8408652314808627,1.461433756391947
11,IWF,7.544679999999469,0.36525717352181586,0.7131197578803414,0.8053726676208052,18.131949401242654,1.2195649988100419,0.232244252580464
12,IJH,10.422879999999598,0.4095141101312297,0.8290562502361314,1.0670342706438194,25.500199147085123,1.1873667384717255,0.3549218765563188
13,VIG,26.14690999999958,2.616417368423482,9.234256565991297,12.728893244379321,70.25471913410044,4.336984758377075,2.599545085983125
14,IJR,-14.295029999999533,0.0,0.0,0.0,-29.769970161825942,0.846083404222695,-0.4838892954554166
15,IEMG,5.421519999999306,0.4078276364662105,0.6492932794289933,0.8349744211487478,12.857098765523812,1.195325525127842,0.3223319811861652
16,VWO,27.406770000000137,1.746241434420687,4.750887313654221,6.984112063373401,74.17526001608552,1.9510522124966492,1.6600893863505415
17,VXUS,20.307430000000313,1.220603908912043,3.003927329828464,5.143331116886331,52.73645362574424,1.4675402077243325,1.0680180381829762
18,VGT,73.73935999999873,0.9810591517720436,6.086208924982357,9.368949235163928,254.4745069299538,1.8013177233891153,1.065438411612265
19,GLD,7.209320000000269,0.4074866076501661,0.6591840756177135,0.9144699287645877,17.289734701367763,1.1555768857824469,0.2702031989041997
20,IWM,-13.821330000000584,0.0,0.0,0.0,-28.87753741510365,0.9380390958650989,-0.42467072330041117
21,VO,16.382720000000525,1.1413146279378326,2.3521903708997858,3.953122813075772,41.56130917316312,1.4542319173469025,0.7986492549843321
22,XLK,121.82771999999953,1.1905972575046608,15.287804380643982,25.592625042301897,520.4271254773362,2.0863125065069275,2.056519615495436
23,TLT,-19.40819999999965,0.0,0.0,0.0,-39.00125925634125,0.7104194295549725,-1.002693350919533
24,RSP,34.21339000000033,1.6157834167739573,5.515014643541837,9.433894441338975,96.23147371871133,1.87901662860687,1.56908330869481
25,SCHD,9.499520000000324,0.5948540445416971,1.133078826252685,1.7778270284429065,23.108999712755395,1.213593450247802,0.4845816543510333
26,VB,6.87111999999937,0.4249337357455959,0.6840234488266099,1.0324280382870337,16.44382499431698,1.1990008278851167,0.26038406788313156
27,ITOT,22.508319999999934,1.1978502441909153,2.9359191861221734,3.9525602039570034,59.21329797864425,1.9206350900289608,1.0976240281844638
28,BNDX,6.436239999999758,3.4584905289282286,12.89225915599119,15.072528598633067,15.361166029583174,4.446042807817013,2.8746727791044293
29,IWD,20.860939999999783,1.5231800929862802,5.090419998416002,7.095910894228801,54.35107956508176,2.072991799360736,1.3542844520351573
30,VYM,12.358000000000292,0.7899896171234241,1.5955069448263022,2.57342832642954,30.595786055413644,1.3384862132439797,0.7218507719136396
31,EFA,28.48954000000014,1.7679643021238125,5.95514262651657,9.505756577448967,77.58495677040571,1.761374596867189,1.4911858298668996
32,VCIT,3.6366200000006796,1.1672325454399455,2.51823375183669,3.3323880855927186,8.527406234731316,1.5944082322949227,0.9293257414499302
33,IVW,0.4924900000001362,0.029223093556867814,0.04341328794481796,0.06444562936639164,1.131838008969277,1.0726653458496356,0.016582212314858447
34,QUAL,13.403600000000063,0.9835791441343736,2.244910180554648,2.5716857843826197,33.396712804664894,1.6125154721678552,0.8254909796916036
35,SCHX,25.494470000000263,1.359322187647577,3.222853115856611,3.7167775060348496,68.24414791352157,1.7235639090303905,1.2221816463493371
36,SPLG,27.535679999999772,1.047905911716493,2.8401881337261172,3.994213167101618,74.57925129116742,1.4371155460994065,1.0791156366306938
37,XLF,30.597679999999322,1.456239762410149,4.520960282893204,7.2817185876469015,84.33067092660873,1.5796795605435008,1.2548851822018208
38,XLV,37.76074000000031,1.726877104155957,8.522822380211743,11.96774609009799,108.31656086135753,2.4687883324375237,1.9435477469251177
39,SCHF,0.3155500000000175,0.0278415856340839,0.042794530827251695,0.04891172885169818,0.7243691599292834,1.035099533053754,0.020131419429160823
40,VEU,9.889229999999545,0.8080188109585931,1.4507042113010704,1.7481368364036909,24.115059625328428,1.376833496087525,0.6912669597362896
41,VT,33.06229999999978,1.4425916286039697,4.9192125046134345,9.532771269625897,92.3972175020808,1.7280708884671505,1.6056417915938321
