,0
639,6457
640,6465
641,4686
642,4716
643,9409
644,2695
645,3391
646,8179
647,8012
648,8060
649,4403
650,4917
651,4967
652,7970
653,8715
654,8923
655,6088
656,6183
657,9743
658,5702
659,5805
660,6508
661,2201
662,6875
663,5444
664,5930
665,3591
666,7780
667,6406
668,6436
669,2327
670,4348
671,4722
672,9759
673,1414
674,1926
675,1959
676,1961
677,1969
678,2681
679,3087
680,3349
681,7516
682,8218
683,8273
684,9842
685,3612
686,7613
687,8078
688,8133
689,8129
690,4530
691,4540
692,4549
693,4203
694,4189
695,4617
696,4369
697,7157
698,3254
699,8934
700,2150
701,2168
702,6035
703,6080
704,9678
705,5393
706,8439
707,8771
