Symbol,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
MSFT,0.07193723599370323,0.11787804861635658,0.8959495363051194,-0.10858001027550115,0.5936400936627658,0.5642494240333399,0.8135336337202598,-0.13971566119705608,-1.934967148364885,0.9004267104178039,1.1213530450838365,-0.42437461197409226
COST,0.17533380188103587,0.2691352524332947,0.6331849694943295,-0.072800170118171,0.08110717576305553,2.750108051535603,1.9327951644545487,0.03951656984919848,-0.4248819004675067,0.7509753265942855,6.427674467489675,0.08428818043184418
AAPL,0.21474416160056906,-0.4260914050345037,0.48346177771412174,0.004664906556655628,0.19922884400216972,0.6275586527020748,0.9832713867461593,-0.2248174952169739,-3.4689930769676347,0.9834881060817469,0.7520931222306837,-0.11416268852345865
TSM,1.0077906009994027,-0.11856175691172278,0.7397193437437194,-0.8807508335375694,1.0009491585979602,0.18506521506500995,0.19289406595698855,-0.700160880438104,-1.5487482982256804,-0.47503001827615504,1.0355007375780174,0.029139158681318243
BRK.A,1.3810482324630367,0.4595579208690774,0.8640805432924589,0.030193325950293417,0.2937283085616199,-0.42296301804531417,0.8753277934478396,-0.12594362797412215,-4.658856181070143,0.6624416031159578,0.5251540352698327,0.3021925681269866
VRTX,3.4367574114138875,-1.6686657915108798,0.9937754370465298,0.3452926546660221,0.12161775565415069,0.7076109007984153,-0.4094185025468645,-0.5206480958866295,-0.3584989700408159,1.5732782445477758,0.08479110855444784,0.5425547924117531
CVX,0.3152613171830728,0.30863410196735624,0.9953472765186836,0.010191827324760688,0.17129103104440085,-0.4570135003948905,0.5982250916052936,-1.4849211770370279,0.01666523499973976,0.41741170719251525,0.32978108844164,0.5535172604101378
MA,6.068998598073051,-0.25953732882485264,0.5492080751624611,0.3319337682389194,-1.3733022816433254,-0.07999446472778392,1.0357771288989754,-0.5726297503147967,-0.822583936375911,0.2172830587098499,0.46364310869068986,0.5832201475621593
BRK.B,1.2936727823731617,0.5607349595307438,0.9930326451382281,-0.004533450371049616,0.32570175331180584,-0.40118139929241237,0.8783231242135771,-0.09876740477134419,-3.535600179785572,0.6647870956610978,0.5391500672945283,0.23120851507654913
AMD,0.14906747876755352,1.7450593575391222,0.12159067367688382,-0.9125023371741108,0.9069557899968042,-0.2371244840985583,1.0665200760817388,-0.5840643271280661,-0.9765672398498155,0.19897467628421053,6.230178893303381,-0.06638255297064732
