,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,IVV,15.86325,2.0360200001162125,310.896007776168,467.727475108161,2817.0105632367195,2.9647452699489354
1,VTI,14.970249999999998,2.180765281527146,263.8848752924037,298.5395573309278,2343.195226246211,3.174069547615012
2,QQQ,24.853,1.8108242587527386,397.8423834482447,454.75118908680594,3504.5672145280028,9.038720957219462
3,VUG,51.999249999999996,1.9411562552873973,inf,16772.146984751562,269918.2883677582,9.394347182873942
4,VWO,29.604750000000003,2.1380437430231907,999.2709392767887,1373.167006280238,8129.100707775471,11.31835503911737
5,VGT,27.494000000000003,2.686592638297689,716.939983506943,810.1461054716794,5549.15791279885,13.266617800804395
6,XLK,44.578250000000004,1.812232335331807,13209.686010960591,5323.951572491157,85679.66266370841,6.273198072962949
7,IWM,17.0505,2.96115010279194,1396.5938821314994,661.8464508948896,4469.124957329118,3.543175518796744
8,ITOT,31.16375,3.9116819414681974,inf,1209.2262573322942,11054.438261831676,5.1569696580148685
9,SCHD,22.30275,3.0911530929614033,629.0326475060281,137.42462496045002,868.3713191092068,16.621566540933888
10,VB,11.116,2.1684720387914846,122.73898917252653,265.86651552204796,1018.6655662656916,4.805722995279698
11,VEU,35.285250000000005,1.9748572136832057,1484.8663439874092,1307.3452391440894,8608.102375015049,13.689313249823845
12,VT,27.79775,2.5664738927199293,1427.7214400736061,942.8915471351447,6048.793843539003,31.451327659721123
13,XLE,13.600000000000001,2.0411436507168688,153.1784646723183,225.58096532231724,1756.3814833747567,2.7865306401850294
14,IWB,16.952,2.7823195420028086,690.9895965596139,664.4611938331573,5060.3900646446145,2.9221165132769737
15,IVE,10.971,3.3118364965607348,163.82728437143862,231.91495531610994,985.6967484505946,6.625214107526753
16,SCHG,28.343,1.4854390028107545,537.278320307976,987.2909095552428,6678.730349665827,5.206908468318062
17,QQQM,23.57025,1.9741687238011194,299.83076342520155,356.38099936975647,2745.145974563493,4.1661687829478415
18,SPYG,21.16525,2.1222341070193824,125.03830219066315,283.43321799372774,1713.6611890895563,4.153181269898289
19,SMH,36.056,1.721083486904138,7326.931365073316,1318.9765144805424,21226.613593926428,6.209605066420576
20,SPDW,18.536,2.2433014833909826,1839.490019919735,880.6677907748904,5555.796990936731,6.753058363241658
21,XLI,21.33675,2.1024501451248,145.26175600165004,395.95246456861673,2376.18474394995,2.722205189001218
22,DVY,17.8795,2.638217806452375,579.1434333185503,709.4606077060537,4230.979888750635,8.525086102260788
23,IYW,30.55875,1.9228629930879693,2468.5080858976953,508.94028203990075,8190.501188339602,4.971717196667893
24,XLY,22.785,3.3929479616632645,inf,1089.5844668451343,8081.763393133605,3.803405559231233
25,IUSV,18.8245,1.6965840080583274,299.88151946990786,793.4263589196448,5100.298352165784,4.998796690718177
26,ACWI,13.84575,1.8920291644798326,229.10274699992578,425.61141770411774,2685.1989954813907,3.012114673591029
27,VOE,15.546,2.1455182259844037,342.4482046416804,591.3674444665097,3811.5338125955504,3.2465223477180967
28,USHY,15.43225,2.005549731701737,317.28734343724517,436.3629422645203,2578.296151102322,6.909941970483419
29,JEPQ,19.3465,2.765168691466494,517.2634466489233,732.8817312092827,5649.632779748026,3.665294127893584
30,EMB,10.97775,2.382147531854582,121.13577941247905,258.5014347034188,987.2106585116993,4.675188488506163
31,SOXX,20.5005,1.6560172419914783,192.968540248606,142.17914530137912,2285.655598253796,3.485848805835406
32,VGLT,20.934749999999998,2.153309034743482,430.49454044893923,728.585788351822,5233.066888881732,3.369149184084529
33,GDX,21.68625,2.6181274357369277,3485.4890727173197,1311.2852341810153,8870.268622512323,6.130193863114864
34,FNDF,17.72475,2.660287700791883,432.4277842102414,465.3253988565342,2745.1983304000305,3.909042913481825
35,FTEC,25.557999999999996,1.2974373491895486,121.61284896333277,204.33969730115695,3288.489028343147,4.578000639674823
36,IWY,21.523,2.6063398889254885,260.65159284855457,262.64335446335036,1840.3896493999412,6.001641070122908
37,SPHQ,34.7195,1.6325240753862453,690.5023540593078,1388.0433335351095,8773.435143896771,10.705676290614917
38,SPMD,15.849499999999999,1.587177841697936,122.82404810835173,444.95944494840677,2809.090322979138,4.598656540570034
39,VTWO,36.79675,1.405972140644188,1483.7413263130406,5420.085124402607,36671.122790347275,8.086471375320956
40,AMLP,12.126249999999999,2.460272931263374,144.98882229055113,141.20047349220795,1276.4137450617845,2.717085044605958
41,ESGD,18.3675,1.8735076962028172,361.2471460826459,721.0234456615517,4308.250508215832,4.468537852989664
42,GLDM,23.65625,2.139523972942651,inf,1343.954391911157,3650.147970496254,8.424966792574619
43,IQLT,14.21775,2.110211829982754,1101.300508592024,556.2881403915346,3283.8838833446935,4.994335613431553
44,IJJ,6.2924999999999995,3.612294052303916,inf,53.61492966254953,304.71655692047824,4.63934631825343
45,SPLV,16.88725,2.283954258561005,238.68348937300775,580.3085058806853,3468.482709652877,4.037608079201452
46,HEFA,15.74575,1.9515577795756038,235.19103134871935,465.4097717722328,2749.988063407563,7.651085855156592
47,AVDV,13.44775,2.344542078004081,134.57184884804136,443.51306671534314,2735.447902847412,4.779251960983374
48,XLG,28.881,1.800767954403002,2807.754752062153,1953.2454652518027,13044.457421541196,12.833828807441789
49,IJT,15.96175,2.636961092199027,193.36290814513742,403.5077559962608,1651.8804958023477,6.208183656128564
50,AVEM,9.04025,4.192516802810966,inf,278.9130120080978,1069.15326658118,3.451672661061865
51,SRLN,16.9205,1.8599684767797364,501.3227108555,592.1129690436061,3491.8102991160836,13.417438520061687
