,Symbol,riron
0,TSLA,184.55690310831534
1,NVDA,259.6963955106603
2,FNGU,84.97531659074005
3,XLK,145.02767910335223
4,SAP,121.65779319821445
5,XLY,151.87373073911183
6,SQ,76.35541271396394
7,MDY,484.15286953305844
8,VCR,255.71185427341715
9,SPY,410.1625645330103
10,TNA,30.17872316743944
11,DIA,354.71422304294015
12,IJH,265.32562206417657
13,IVV,412.4795096448693
14,IWM,191.5854392031618
15,VOO,378.350556699473
16,GLD,185.3331656384097
17,DIS,95.34366800615275
18,MIDU,43.01549548287345
19,IVOO,89.73332016823048
20,AMZN,100.81356132944573
