Date,change_nq,change_es,diff,nq_open,nq_close,es_open,es_close,nq_return,es_return,nq_position,es_position,portfolio_return,cumulative_portfolio,cumulative_long_nq,cumulative_long_es,sr_portfolio,sr_long_nq,sr_long_es,mdd_portfolio,mdd_long_nq,mdd_long_es
2014-12-08,3849.0,46179.0,-1.0,105.11000061035156,104.62999725341797,207.52000427246094,206.61000061035156,-0.004566676378520746,-0.004385137063290518,-1,1,0.00018153931523022873,1.0001815393152302,0.9954333236214793,0.9956148629367095,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-09,3849.0,46179.0,-1.0,103.41000366210938,104.95999908447266,204.3699951171875,206.47000122070312,0.014988834420970218,0.010275510856236325,-1,1,-0.0047133235647338935,0.995467360096964,1.010353708886358,1.005845314269446,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-10,3849.0,46179.0,-1.0,104.7699966430664,103.30999755859375,205.91000366210938,203.16000366210938,-0.01393527852679642,-0.013355349186980964,-1,1,0.0005799293398154551,0.9960446608259128,0.9962741485424447,0.9924118988692888,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-11,3849.0,46179.0,-1.0,103.61000061035156,103.80000305175781,203.8800048828125,204.19000244140625,0.0018338233788917386,0.0015204902450926094,-1,1,-0.00031333313379912917,0.9957325670309324,0.9981011393678272,0.9939208514806335,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-12,3849.0,46179.0,-1.0,102.80999755859375,102.66999816894531,202.63999938964844,200.88999938964844,-0.001361729335404844,-0.008636004763477097,-1,1,-0.007274275428072253,0.988489334085648,0.996741995766649,0.9853373462727275,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-13,3849.0,46179.0,-1.0,102.80999755859375,102.66999816894531,202.63999938964844,200.88999938964844,-0.001361729335404844,-0.008636004763477097,-1,1,-0.007274275428072253,0.9812987904117972,0.9953847029511836,0.9768279682566843,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-14,3849.0,46179.0,-1.0,102.80999755859375,102.66999816894531,202.63999938964844,200.88999938964844,-0.001361729335404844,-0.008636004763477097,-1,1,-0.007274275428072253,0.9741605527331076,0.9940292584011619,0.9683920772697219,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-15,5398.0,-11313.0,1.0,103.19999694824219,101.61000061035156,201.97999572753906,199.50999450683594,-0.01540694171423333,-0.012228939860138592,1,0,-0.01540694171423333,0.9591517178768434,0.9787143075547327,0.9565496687957558,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-16,5398.0,-11313.0,1.0,100.97000122070312,99.9800033569336,198.5800018310547,197.91000366210938,-0.00980487126671976,-0.003373945829224661,1,0,-0.00980487126671976,0.9497473587578078,0.9691181397622617,0.9533223220302761,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
2014-12-17,5398.0,-11313.0,1.0,100.05000305175781,101.80000305175781,198.44000244140625,201.7899932861328,0.01749125383928965,0.01688163073730923,1,0,0.01749125383928965,0.9663596308930356,0.9860692311451037,0.9694159574444254,0.2619243809743071,0.2134782817917297,0.34895863550750783,-0.38386804501001465,-0.4687462768464175,-0.3876108881019775
