Symbol,Close
IOVA,7.639999866485596
FDMT,19.079999923706055
VTNR,1.375
SEDG,70.44000244140625
EL,128.66000366210938
INTC,49.54999923706055
EWH,16.149999618530273
CART,25.540000915527344
ARM,73.91000366210938
NVDL,125.16999816894531
SOFI,7.650000095367432
BMY,49.61000061035156
AGL,5.800000190734863
ALB,118.44999694824219
IRBT,17.579999923706055
TAN,43.880001068115234
HSY,189.36000061035156
CONY,19.190000534057617
ENPH,106.83000183105469
AMD,180.3300018310547
HTZ,8.779999732971191
ON,72.69000244140625
WHR,114.2699966430664
WOLF,34.22999954223633
LSCC,66.88999938964844
EVA,0.49799999594688416
MPW,3.4100000858306885
BE,12.470000267028809
RUM,5.414999961853027
MCHI,38.459999084472656
FXI,22.75
MSOX,5.949999809265137
SBUX,92.61000061035156
FTNT,65.55000305175781
MJ,3.630000114440918
MANU,19.479999542236328
LMND,16.65999984741211
UPS,159.7100067138672
PYPL,60.709999084472656
CI,298.57000732421875
PTCT,26.65999984741211
TTD,69.12000274658203
CHTR,369.07000732421875
TMO,538.2100219726562
WDC,60.33000183105469
BOWL,12.229999542236328
CCJ,45.97999954223633
BA,201.8800048828125
MP,15.800000190734863
LLY,627.6199951171875
HOOD,10.699999809265137
SH,12.720000267028809
EXPE,152.3000030517578
SPOT,214.17999267578125
ANET,264.4200134277344
MTCH,38.04999923706055
W,54.88999938964844
SPWR,3.2799999713897705
PFE,27.469999313354492
ALGM,27.559999465942383
CLS,31.719999313354492
VFC,17.049999237060547
ELF,156.5500030517578
AG,4.869999885559082
DIS,94.86000061035156
CAH,105.70999908447266
WYNN,96.41000366210938
PANW,340.19000244140625
ATXS,9.850000381469727
PLUG,3.4000000953674316
GEO,11.279999732971191
MSFT,404.8699951171875
CLX,144.14999389648438
NAT,4.380000114440918
PTON,5.800000190734863
DWAC,34.90999984741211
LIT,43.36000061035156
ABR,13.619999885559082
AAP,66.12999725341797
BYND,7.050000190734863
ROKU,88.83000183105469
SABR,4.480000019073486
LEVI,15.75
ETSY,69.55999755859375
F,11.34000015258789
DBX,32.380001068115234
DHR,227.38999938964844
GOEV,0.16300000250339508
TOST,16.600000381469727
PENN,23.809999465942383
NXPI,219.41000366210938
AMGN,310.260009765625
MLCO,8.510000228881836
DDOG,122.19000244140625
LCID,2.6600000858306885
CMG,2311.77001953125
PINS,36.9900016784668
THC,82.66000366210938
SHOP,80.48999786376953
GSK,38.84000015258789
RUN,14.329999923706055
SNAP,16.290000915527344
DAR,43.83000183105469
MAT,18.100000381469727
KLAC,641.6900024414062
FSR,0.75
RBLX,41.31999969482422
JD,23.93000030517578
PARA,13.960000038146973
YANG,14.550000190734863
M,18.81999969482422
RILY,20.280000686645508
SMCI,475.5799865722656
CLSK,7.304999828338623
CAT,300.7699890136719
EW,73.55000305175781
WMT,162.83999633789062
RIVN,15.0
DE,393.010009765625
UNH,493.3999938964844
CFLT,22.530000686645508
ADM,51.380001068115234
STEM,3.25
YINN,17.270000457763672
BLOK,26.450000762939453
MRNA,102.80999755859375
MSOS,9.239999771118164
ALT,9.279999732971191
NTR,50.52000045776367
UBER,66.0
XLI,113.61000061035156
CVE,15.850000381469727
PHUN,0.30000001192092896
URNM,52.779998779296875
MGM,43.619998931884766
HWM,55.27000045776367
CVS,71.98999786376953
TMUS,162.55999755859375
SPR,26.31999969482422
NEM,34.4900016784668
APP,44.06999969482422
LUMN,1.3799999952316284
MCD,297.2099914550781
ALK,37.41999816894531
QCOM,154.47000122070312
NIO,6.039999961853027
SAVE,7.21999979019165
GOLD,15.59000015258789
TGTX,15.979999542236328
LABU,115.94000244140625
TOL,98.19000244140625
DCGO,3.5399999618530273
GILD,80.2300033569336
LYFT,12.569999694824219
IR,79.25
MA,436.79998779296875
VSTO,28.59000015258789
AMLP,44.20000076293945
LHX,204.63999938964844
IP,37.650001525878906
TPR,38.2599983215332
PEP,166.55999755859375
ARKG,29.459999084472656
UPST,33.22999954223633
MUB,107.83999633789062
CNC,73.55000305175781
CSCO,52.33000183105469
PLTR,16.459999084472656
NCLH,17.75
JCI,55.70000076293945
AZN,67.0199966430664
MPLX,37.7599983215332
META,393.17999267578125
NFE,33.099998474121094
NTES,103.5
Z,55.09000015258789
VRT,53.310001373291016
AON,299.7099914550781
WBD,10.579999923706055
ENTG,123.43000030517578
DKNG,38.689998626708984
ADI,197.3000030517578
TEAM,244.35000610351562
LABD,9.770000457763672
NVMI,147.97999572753906
SHLS,13.4399995803833
ASHR,23.030000686645508
URA,29.469999313354492
LFST,6.480000019073486
HEAR,11.8100004196167
NVT,58.380001068115234
TDOC,20.350000381469727
EBAY,42.15999984741211
KURA,18.729999542236328
VIPS,15.949999809265137
EFA,74.72000122070312
WGMI,12.220000267028809
