Symbol,MaxGain,LowestPreviousClose,PreviousGain,PreviousCloseLow,PreviousVolume,LowestIdx,LowestEntry,LowestLow,HighestHigh,VolumePercentage
HKD,212.0580919818468,13.0,1.0,1.0,0.0,0.0,13.0,12.050000190734863,2555.300048828125,0.0114456785060077
7692,107.92334100405722,8.492606163024902,1.0127462256773923,1.02222217760588,129600.0,281.0,8.405153775867257,8.249682642374928,890.3333129882812,0.0013729607084574122
HUDI,68.15548059458057,3.9100000858306885,0.9071926073644236,1.0625000040492285,216400.0,104.0,3.8399999141693115,2.8299999237060547,192.8800048828125,0.016988313950221923
3936,59.84986683616558,37.86666488647461,1.0,1.0,0.0,84.0,37.46666717529297,36.633331298828125,2192.5,0.0014011397035188387
9204,59.42307838227622,25.891031265258793,1.0,1.0,0.0,0.0,25.891031265258793,25.891031265258793,1538.5247802734375,0.0
IMPP,24.25,6.0,1.0,1.0,0.0,0.0,6.0,6.0,145.5,0.0009836144216706377
CXAI,17.355371353673657,1.440000057220459,0.9729729990962647,1.0588235603484313,103700.0,519.0,1.4199999570846558,1.2100000381469727,21.0,0.01599729688792571
VCIG,15.820261683874099,1.649999976158142,0.8291457126888404,1.050955363715503,196000.0,8.0,1.5299999713897705,1.5299999713897705,24.204999923706055,0.005792151732206548
AMTD,12.7722769706299,2.299999952316284,1.0454545011205132,1.1165048622345655,99600.0,331.0,2.240000009536743,2.0199999809265137,25.799999237060547,0.0009307523060585659
7901,12.104966139954854,1819.0,1.0,1.0,100.0,252.0,1819.0,1772.0,21450.0,0.004239780803332468
CPTN,11.70219047855726,7.989999771118164,0.8684782539964396,1.0088383452209477,104600.0,224.0,8.140000343322754,6.849999904632568,80.16000366210938,0.00011603886664456403
9220,1.2651612903225806,1561.0,1.0,1.0,0.0,0.0,1561.0,1550.0,1961.0,2.0470104633781765
