Symbol,poc_level,proc_bars,rr
6038,850,50,22.2
4421,981,4,30.0
7089,1816,5,30.0
7259,3970,2,13.0
9221,892,37,16.8
8917,1123,3,28.2
8273,3150,26,16.4
6307,371,9,30.0
9913,761,38,16.2
8699,1030,11,30.0
9795,1844,2,29.0
3415,445,15,30.0
4369,2346,26,23.7
6850,2105,2,30.0
9986,2288,2,30.0
5922,9380,96,30.0
3955,1000,3,19.3
7922,581,97,28.0
3770,368,5,22.5
3983,2419,6,23.8
4463,865,5,13.7
6342,1700,6,30.0
4031,1672,45,23.1
3361,798,40,23.5
6560,2669,31,27.4
6570,618,2,25.9
3649,678,35,28.7
6879,647,96,18.1
9130,924,96,30.0
9543,1145,40,13.2
7191,965,47,21.1
3627,411,2,13.8
6463,1396,2,28.3
6190,687,54,16.0
7925,1619,3,30.0
9960,4250,3,28.3
8131,1350,57,16.2
4628,41300,19,17.1
5918,7960,7,30.0
6871,1293,16,12.2
7360,1231,74,30.0
6347,270,26,24.1
7305,2225,49,25.5
7283,945,2,16.7
2673,113,50,30.0
7256,210,21,30.0
7501,762,12,18.2
6824,2127,2,14.6
8841,664,5,13.4
9055,1268,21,14.1
3436,1924,24,19.8
3912,913,96,14.0
2372,1903,50,28.5
4714,327,47,19.4
4222,380,40,28.5
3333,1347,50,26.5
7266,735,12,30.0
6664,405,3,14.0
4992,914,5,14.1
3741,3383,59,12.9
5401,2979,21,24.8
4931,1415,73,30.0
6034,1289,19,12.2
3161,656,2,18.8
5352,6253,51,30.0
1736,2176,3,26.7
6599,2504,37,30.0
8912,104,55,30.0
5986,304,22,28.0
2153,1596,2,30.0
3931,1352,59,21.0
8150,2484,66,30.0
9767,1500,10,30.0
6907,573,9,19.5
6088,1126,36,20.7
5446,1750,74,30.0
5950,124,100,16.6
3359,506,69,17.2
5484,1790,2,30.0
4784,440,68,30.0
7021,1319,16,30.0
7551,732,50,28.1
4205,1399,88,29.0
7504,2134,7,30.0
7460,1245,3,30.0
7919,147,15,27.9
2481,630,58,30.0
6902,8099,2,16.5
5906,402,48,30.0
5189,5300,13,29.3
7997,851,11,24.0
2349,1684,2,18.1
7435,1040,17,15.3
2408,378,2,25.0
6081,816,46,15.0
7447,2091,13,28.6
5019,2998,96,13.0
6894,1479,4,30.0
6356,490,26,17.2
7038,965,52,30.0
3475,788,27,21.4
8596,880,96,28.7
4450,2500,78,20.7
7715,1296,3,17.9
3028,2074,2,30.0
2777,1217,48,13.1
5729,3060,54,12.3
6777,2414,39,30.0
8016,377,7,18.1
9263,161,67,29.0
3798,3217,93,30.0
4251,1406,17,30.0
4641,2540,3,14.1
3933,830,100,25.9
7989,1271,2,30.0
2122,1480,2,14.8
2742,3195,22,24.6
9672,4235,12,22.1
1400,131,23,27.0
9254,1603,24,14.7
9744,2289,2,20.3
3941,866,33,20.1
4840,461,3,13.2
3768,644,99,30.0
9678,2262,2,30.0
3024,844,64,24.1
7726,1584,51,13.9
7073,2850,29,30.0
9012,2311,3,25.2
5283,2460,2,18.7
9405,669,3,14.1
7578,114,77,30.0
6101,1444,57,30.0
6798,2463,97,28.5
9479,224,2,29.6
7760,456,15,22.8
3323,102,66,20.0
4410,880,49,13.9
9073,580,5,30.0
7955,749,4,30.0
3417,820,2,30.0
6619,1242,49,23.6
3001,1805,17,17.5
3374,2492,37,28.3
7670,845,61,27.1
8700,1373,53,29.0
6144,1624,8,24.0
5079,2764,34,30.0
8927,228,49,26.8
5707,2054,95,29.9
3469,529,23,30.0
7636,1150,38,30.0
4691,1030,35,17.4
3916,1651,43,17.5
2462,1888,3,16.6
6635,663,15,23.7
2354,463,18,30.0
8387,957,87,29.0
2664,2285,88,26.1
7538,262,53,27.0
3597,7070,2,12.7
3676,1515,49,12.3
8747,936,96,17.9
6071,686,62,23.8
7602,221,9,13.0
2139,409,15,23.0
3559,512,7,30.0
4308,594,79,27.0
3439,1080,99,30.0
9380,305,3,30.0
2819,3105,61,30.0
6654,1120,82,25.1
5194,848,16,27.6
4172,1884,55,30.0
9995,416,36,30.0
4718,1392,11,14.6
8129,2697,3,25.1
3826,441,55,29.4
4204,1923,4,14.5
9059,1167,78,27.0
