Symbol,Sharpe
2767,2.6930248155332013
8890,2.493572233958359
6819,2.301331451675047
2216,2.238211853242727
6249,2.060925669507366
5192,2.0362601603881703
3181,2.0007282094670926
7011,1.9503981467627571
2585,1.939538714671244
7972,1.9264421245266874
STNG,1.9239800896215538
BELFB,1.9231354151006006
VIST,1.9006065089583677
7525,1.896682109366948
5410,1.8939172147075405
6547,1.8854490674539368
9368,1.8823425971505896
7130,1.874582818005964
5184,1.867548925258275
8869,1.8520650656647217
4334,1.8499659250546707
SMCI,1.8484071112675773
ASC,1.8423686398555668
ELF,1.838821318817497
6339,1.8369381318402367
2768,1.8353873218543961
4216,1.8301726797174673
2109,1.8276062656025007
8002,1.8093489805880134
8098,1.8079031568369475
3093,1.8048307902713407
6651,1.8047456660866938
6417,1.8037505359984995
8793,1.79524618988508
9990,1.7918650036381631
1888,1.7916145121046823
4481,1.7630592145420088
8020,1.7547071706554345
7814,1.744672784250989
7927,1.7421125308725012
BELFA,1.7412421796567465
6430,1.7411087814597188
7868,1.7367685849122352
6358,1.7366100942106901
1929,1.7308248364681467
TNK,1.7305365371765453
8053,1.7253822423733471
BGI,1.7193292727232463
6632,1.7179030791988659
2726,1.7118902291735243
9697,1.7090503836244426
4107,1.6933288318621642
5445,1.6784318198683927
8140,1.6727793929507084
8233,1.6717751730101478
3992,1.671599728908651
9769,1.6642421987119422
7425,1.663825012252298
6298,1.6495216736178981
PLPC,1.6462460698892565
8075,1.644151917757126
1812,1.6392198398490612
8130,1.6272039960042473
TRMD,1.6213611725868535
5406,1.6192431451757652
GNE,1.6189438204647724
2715,1.6173600763753728
3132,1.6132101269449106
8242,1.6035480977470096
2914,1.6022185578467105
8014,1.6008129319138527
WWE,1.5978943847719098
1890,1.5898815385424836
TH,1.5893663110918423
3989,1.5881592692554394
1898,1.572611082258632
5901,1.572025819872304
7467,1.571229713302582
2674,1.569809075384152
7483,1.5628211755659
6419,1.5601943732519594
6924,1.5528714582326915
5408,1.547627622040276
9960,1.5347397644327503
INSW,1.5340907643720694
8074,1.5314952236351431
UFPT,1.5265245905008142
7991,1.5243611962129031
6565,1.523826551853626
3526,1.522456795695956
8923,1.5221937501939886
TGS,1.5217659590932238
LNTH,1.508355836960515
MTR,1.507270263960371
2329,1.5063727640237923
8877,1.505952050347196
6036,1.505826465258652
8111,1.5009028028557951
8060,1.499806273283648
7231,1.4987974210022224
5284,1.4949458451660977
3679,1.4946571777404127
8593,1.494157057213297
YPF,1.492102378057843
8159,1.4849020019919712
6804,1.4827358208218722
4828,1.4823597123263048
5304,1.4776194287213404
8897,1.4768573529977862
5021,1.4764056572273234
2670,1.4748240828460144
7224,1.4731079433827492
8031,1.471121552530045
1419,1.4701586647151792
5401,1.4664680636501504
1866,1.4649415792017595
8614,1.4632672455081954
9827,1.46084542053115
6363,1.455280309306293
2986,1.4514363808582402
2481,1.4494784734481487
9810,1.448772410778079
6338,1.4462502424172927
9503,1.4448695946918682
3608,1.4440394596574821
3955,1.4386662237773062
8058,1.4384110610648289
8129,1.4353871840463936
6257,1.430497935366993
2792,1.4304306289040511
3284,1.4300738763846548
2730,1.4274482849435726
6369,1.4248648028698858
6368,1.4242006057038308
1786,1.4241263290776514
4041,1.423041326272992
7214,1.4204136883851024
LW,1.411250666778204
1972,1.4109110053503875
6357,1.4106193036751127
1968,1.4096513957450383
9888,1.4095712553465447
5352,1.4086145125397687
MOD,1.403642682817161
5195,1.4007931130334863
9967,1.390364525980968
CMT,1.3891241099989622
7849,1.3839694655070705
8253,1.381343382117259
CAAP,1.381225235935302
8022,1.381046264816595
PBF,1.3807559465755281
7088,1.3802763122566968
1833,1.3744450327841276
6070,1.3722724082788649
5444,1.3718851252921516
4202,1.3695763522547124
HNRG,1.3686606788927898
1662,1.3637353146170397
8425,1.3637124584023872
7762,1.3632204612417806
4641,1.362735009656843
1514,1.357997730940728
7971,1.357851671959926
9066,1.3497932983029504
ATI,1.3493129334606864
MCK,1.3484341845042074
6918,1.3465130962306533
6677,1.3460971374359307
9432,1.3446215828143286
8291,1.3414876431727207
OSG,1.3390501361052185
5976,1.3387853055911751
8101,1.3386528613639364
1805,1.33459702746194
5101,1.3341378024148556
4690,1.3339244114358622
6961,1.326434244360822
9534,1.3208477216180103
7381,1.3183896823025916
5803,1.3146516836992623
7925,1.3105166418085596
7242,1.3096225907415224
1949,1.3043090033596922
6333,1.303164289338558
5602,1.2975407731872308
LPG,1.2928501602563685
PBT,1.2923175429935922
2813,1.291118856759664
9656,1.2848347467202252
8133,1.2825192539421637
8029,1.2792219127436069
9502,1.2777116952451046
3854,1.2755670175089784
1871,1.2721329556173004
9302,1.269477995566259
4393,1.261273227826823
2874,1.2606783576651972
KOF,1.2603945902839067
8154,1.2584459323547519
7246,1.2564760690315855
2163,1.251124699945715
CEIX,1.2507592757699328
UNM,1.2497724013356761
IRRX,1.2495772065816924
1663,1.2484743947459853
9076,1.2447516356726032
9908,1.2442662124987203
7278,1.2440051073363765
2685,1.2433183600612374
6349,1.2427327124393575
7931,1.24251819808913
7552,1.2418331129440163
7420,1.2402360195422946
ELVN,1.2380847267569202
5078,1.2372247528935068
5480,1.2322089255105466
LLY,1.2298608508508968
1870,1.2292212808119778
1879,1.228646261518061
7610,1.2278516436407185
LMB,1.2277647581656028
MRK,1.2270296938515148
8011,1.225474121323692
6707,1.225017263882614
3501,1.2249208081826943
7014,1.2248324468177205
9531,1.2219445433466904
1802,1.2211276026545752
3107,1.218490664893044
4327,1.2165762144641037
9029,1.2129462004865255
8219,1.2111938882354922
3864,1.206042689299645
ACGL,1.204698026721739
7949,1.2019693642705764
7367,1.2004343168175355
1911,1.200206584110761
2301,1.1984002090875836
3591,1.1941232529815797
HGBL,1.1923883396796697
8125,1.1920596359196498
2760,1.1913883034114074
9433,1.1894669470784611
6061,1.1884931307934017
7879,1.1875582804786917
TNP,1.1863537632982684
9364,1.186284894565207
XOM,1.1842813948143287
JFIN,1.1838192279099269
6486,1.1778810644636968
8001,1.1737350855272912
9325,1.17268892876686
2780,1.1684955623099744
2157,1.1676106869963556
6379,1.1673270432221485
5816,1.1637809719074699
8934,1.1618325099060385
1963,1.1611041022866333
6412,1.1598751560506009
POWL,1.15768280371613
5446,1.1534911887379744
COCO,1.1532702988571377
ASRT,1.1522852869690792
6188,1.1521828964533207
1939,1.1478250003952173
9682,1.1468677224328494
9413,1.141265510952148
8725,1.1409879987803384
4636,1.1402546911638598
7911,1.1391265088455316
3566,1.1383711270142034
ALSA,1.13777357704576
CEPU,1.1369409277380984
2393,1.136925060937465
6460,1.1365410190032252
1976,1.13644669734524
9104,1.1358272253438624
8424,1.131531959464194
1775,1.128680020788564
7240,1.1274533004080134
4932,1.1246564196165008
AMR,1.1240774767141921
7451,1.1240324208975068
2353,1.1239674387735958
4365,1.1229708585673022
7012,1.12265720804533
AMPH,1.1226073248369066
8914,1.1211535043545209
7480,1.1210377145538362
PAM,1.1210206107484955
8115,1.1207124001006437
WFRD,1.1205166609118042
8007,1.119942176749735
STRL,1.116044870831036
8137,1.1144291756295883
1975,1.11313011644409
1762,1.1126607249784486
ACLS,1.1051576186700742
9101,1.1047590079882594
4008,1.1019524003160608
CWCO,1.1016430942497373
4442,1.1004236497204694
MPC,1.0996373410954146
3496,1.0977632061549374
9119,1.0961580677645795
OXY,1.0959371714657187
CITE,1.0957214833311257
OMAB,1.0930313176997373
TK,1.0916745747446988
9274,1.0910566231497325
5285,1.0899279279397585
7618,1.0896827038344794
3131,1.0849630277447204
7537,1.0845870940424498
5334,1.0840918590878676
9513,1.083472520648473
7840,1.0814248483412918
1518,1.0761735412773545
3431,1.0756245352661946
CNGL,1.074744275728552
7148,1.0742034359711399
OI,1.072920818383754
4120,1.0717040695253561
HURN,1.0702218343975052
6488,1.0699207457863553
SBR,1.069122263724507
1885,1.06850635911805
7976,1.0682233332241637
5290,1.0660163072199933
7922,1.0654597825215724
4709,1.0635873611617015
3784,1.0630854371861933
2325,1.062868017288146
3087,1.0619860833819923
NINE,1.0608835104870424
7994,1.059443436803582
TAYD,1.057822804415163
9837,1.0566660294884005
3176,1.0562664207057786
2136,1.0562288098431354
7995,1.0558846940968842
6498,1.0555667925857561
4792,1.0550200374205645
3405,1.0547601800149735
JAKK,1.0545965603876042
4380,1.0540820703165459
4347,1.0538397124551129
RCMT,1.0537608344873461
1942,1.0534069318898815
FRO,1.052288729407567
5310,1.0511716874093366
OXAC,1.0504208387473395
NEX,1.0489490018526126
FICO,1.0482872901181433
9759,1.0475808490738021
8141,1.0462158713011998
7126,1.0459473523393261
9072,1.0389637930581075
5967,1.0377965580487676
GLOP,1.037405009986147
3480,1.0366210021560363
3300,1.03644388701553
9107,1.0315889485871217
7609,1.0313741024105183
7080,1.030667213706886
BHRB,1.0304971795094926
3231,1.0295038244748427
2221,1.0292408504571293
6351,1.0290800601403534
9989,1.0283966789645809
AMPY,1.0280141543872239
6905,1.0256827185547346
3843,1.02515640063023
4323,1.0234500042429553
2892,1.0234066839061502
5076,1.0229670993412525
AIB,1.019944318561386
5208,1.0190795165911155
7013,1.0153786111300833
ELTK,1.0149871450527803
6899,1.0149365513836044
1605,1.014618230690218
3238,1.0141684633716528
OPRA,1.013764148817793
4044,1.0123066558395502
3963,1.0119978459006085
ZEUS,1.011754261004545
9412,1.011720973984354
6507,1.0115363276209481
4396,1.0099812571652653
6140,1.0086974244657203
HES,1.0084234041054896
6360,1.0074907785830747
6927,1.0019244101480926
6226,1.0003472361674672
