Date,WILL5000PRFC,GDP,BuffetIndicator
2022-02-24,43300.80078125,25215.491,1.7172301257687188
2022-02-25,44260.12109375,25215.491,1.7552750051049966
2022-02-28,44259.2109375,25215.491,1.755238909981963
2022-03-01,43573.359375,25215.491,1.7280392983424355
2022-03-02,44365.921875,25215.491,1.7594708695142995
2022-03-03,43996.140625,25215.491,1.7448060251930053
2022-03-04,43535.76171875,25215.491,1.7265482444402926
2022-03-07,42188.21875,25215.491,1.6731071685258874
2022-03-08,41989.4296875,25215.491,1.6652235598941936
2022-03-09,43128.3515625,25215.491,1.7103911068993263
2022-03-10,42943.890625,25215.491,1.7030757253547035
2022-03-11,42305.62890625,25215.491,1.6777634393972338
2022-03-14,41850.26953125,25215.491,1.6597047240226255
2022-03-15,42718.7109375,25215.491,1.6941455130697236
2022-03-16,43805.578125,25215.491,1.7372486669008347
2022-03-17,44427.3984375,25215.491,1.7619089169233308
2022-03-18,45009.6015625,25215.491,1.784998022148369
2022-03-21,44923.0390625,25215.491,1.7815651125928897
2022-03-22,45491.23828125,25215.491,1.8040988486502205
2022-03-23,44925.078125,25215.491,1.7816459780616605
2022-03-24,45551.30859375,25215.491,1.8064811267704444
2022-03-25,45692.828125,25215.491,1.8120935311154558
2022-03-28,46022.33984375,25215.491,1.8251613598858731
2022-03-29,46717.1484375,25215.491,1.8527161909121657
2022-03-30,46320.4296875,25215.491,1.8369830548808268
2022-03-31,45606.671875,25215.491,1.8086767326878543
2022-04-01,45803.7109375,25805.791,1.7749392350538682
2022-04-04,46209.7109375,25805.791,1.7906721377965122
2022-04-05,45507.01953125,25805.791,1.7634421487506426
2022-04-06,44968.359375,25805.791,1.7425685333574932
2022-04-07,45090.5390625,25805.791,1.7473031174475526
2022-04-08,44927.3984375,25805.791,1.7409812563970621
2022-04-11,44211.69921875,25805.791,1.7132472017133673
2022-04-12,44124.7890625,25805.791,1.7098793469458076
2022-04-13,44732.46875,25805.791,1.7334275376406791
2022-04-14,44180.8515625,25805.791,1.7120518244335157
2022-04-18,44086.6015625,25805.791,1.7083995434396875
2022-04-19,44967.0390625,25805.791,1.7425173699383987
2022-04-20,44774.98046875,25805.791,1.735074908912887
2022-04-21,44002.1484375,25805.791,1.7051269010703838
2022-04-22,42808.71875,25805.791,1.6588803168250104
2022-04-25,43089.58984375,25805.791,1.6697643503254753
2022-04-26,41817.359375,25805.791,1.6204641576381054
2022-04-27,41857.33984375,25805.791,1.6220134404618713
2022-04-28,42878.28125,25805.791,1.6615759327044073
2022-04-29,41343.96875,25805.791,1.6021198013267641
2022-05-02,41635.19140625,25805.791,1.6134049681426157
2022-05-03,41820.71875,25805.791,1.6205943367517779
2022-05-04,43050.55859375,25805.791,1.6682518506698747
2022-05-05,41423.51953125,25805.791,1.6052024730127434
2022-05-06,41057.4609375,25805.791,1.5910173393832414
2022-05-09,39586.5390625,25805.791,1.5340176576063875
2022-05-10,39634.16015625,25805.791,1.5358630222282277
2022-05-11,38889.9296875,25805.791,1.5070233533046904
2022-05-12,38954.16015625,25805.791,1.5095123476838976
2022-05-13,40022.26953125,25805.791,1.550902645505034
2022-05-16,39786.1484375,25805.791,1.5417527188955378
2022-05-17,40617.6015625,25805.791,1.5739723522716276
2022-05-18,38983.37890625,25805.791,1.5106446032307244
2022-05-19,38840.73046875,25805.791,1.5051168347736366
2022-05-20,38831.6484375,25805.791,1.5047648970535334
2022-05-23,39496.3984375,25805.791,1.5305246189702149
2022-05-24,39035.2109375,25805.791,1.5126531458578425
2022-05-25,39515.28125,25805.791,1.5312563466859046
2022-05-26,40347.96875,25805.791,1.563523813317716
2022-05-27,41391.26953125,25805.791,1.6039527535214866
2022-05-31,41084.8984375,25805.791,1.5920805697256093
2022-06-01,40780.25,25805.791,1.5802751405682545
