,Symbol,Sharpe,Sortino
0,SREA,0.21,0.32
1,RILYM,0.82,1.44
2,RILYL,0.69,1.31
3,CHSCO,0.71,1.19
4,CHSCL,0.66,1.07
5,FRGAP,0.4,0.66
6,CMSD,0.04,0.07
7,CHSCP,0.76,1.18
8,BDXB,0.08,0.11
9,ZIONO,0.56,0.89
10,WSBCP,0.24,0.38
11,FITBP,0.15,0.27
12,AUBAP,0.21,0.32
13,FITBI,0.59,0.87
14,HWCPZ,0.15,0.25
15,HTLFP,0.24,0.36
16,UCBIO,0.19,0.25
17,PNFPP,0.14,0.22
18,OCFCP,0.34,0.71
19,AQNA,0.5,0.93
20,CCNEP,1.19,1.66
21,LANDO,1.71,3.73
22,PTRS,1.34,2.57
