Symbol,Perf
OILK,50.36337170271328
SPXS,48.19343076146268
RHE,46.61134162262179
PSCH,45.379125924915435
XHS,44.91772763364806
SPXU,44.16145168398013
VAMO,40.31510690262617
DRV,40.03164040060724
SOHO,39.49226153606981
IHT,38.89933302298986
JSML,37.52219462208068
XHE,37.43122791503478
ACR,36.54087739074945
SDP,36.19118734060743
COMB,35.878249939635126
MFEM,35.158674509725586
PSCI,34.9704114177349
BLHY,34.92310053828657
AJXA,34.86715478392071
AIEQ,34.74470288375956
NXG,34.27938914116699
HYGH,34.208521606874314
SZK,34.09809346636176
PCQ,33.45639647251238
LOAN,33.43999188783163
GMF,32.860079778339404
CANE,32.85630166545564
IGPT,32.82489326248439
SAA,32.800098049156425
EMIF,32.536456066837445
ENFR,32.410334222458694
PHO,32.32298688124373
DOG,32.15790102380737
BTEC,31.742551480321183
EVX,31.694936584252353
PBE,31.617509961258662
MXE,31.573437742202554
HYDB,31.246296652772134
UWM,31.058039961918038
BSJP,30.997549749096827
PFD,30.97810366114644
MZZ,30.91445080497827
VVR,30.8858749691148
YLD,30.70277543224267
SCHE,30.632297213411146
PPT,30.598119249294815
DBL,30.598119249294815
RCG,30.53628337574376
CCOR,30.08861011645587
AOK,30.053812164380687
AOM,30.053812164380687
USHY,30.03647368291005
SPHY,30.03647368291005
WFHY,30.03647368291005
GHYG,30.03647368291005
RINF,30.02149704122212
HYLB,29.986331421024563
EMTL,29.975080655598376
IGBH,29.884117372198286
INSI,29.84759189051031
MQY,29.835371845003554
BNY,29.83256660657941
FRA,29.751073331004058
NUW,29.697815960672393
JNK,29.495087725866732
HYS,29.495087725866732
ESGE,29.47378331597549
CNCR,29.46096653416753
IGV,29.458374335696796
BSJN,29.436675727110607
SJNK,29.427730590850285
PZA,29.366301276778504
PWZ,29.366301276778504
PZT,29.366301276778504
LQD,29.32457110406653
IUSB,29.32457110406653
FBND,29.32457110406653
QLTA,29.32457110406653
GIGB,29.32457110406653
GBF,29.32457110406653
BNDC,29.32457110406653
MBSD,29.32457110406653
LQDH,29.28768155184565
NXN,29.277824117167345
IEI,29.27561727747881
AGZ,29.27561727747881
GLPI,29.273121074750282
FPEI,29.22894832902332
HDG,29.22894832902332
BSJO,29.10402906210777
DWAS,29.07223113022845
CBH,29.04673132514484
CEV,29.022125732591068
DBAW,29.00916739857975
MGF,28.982996230127014
IPAC,28.946845185437233
PAI,28.933172529598846
HEEM,28.875185043472765
SHYG,28.8431552324641
ECON,28.821929650118218
VRP,28.820608229851143
IMOM,28.81004256896763
JSMD,28.780073575413255
HYMB,28.718611447676935
HYD,28.718611447676935
NYMT,28.712142663329644
EEMX,28.707254247499638
ETHO,28.672146793984535
BOND,28.663665287003962
GTO,28.663665287003962
FMY,28.663665287003962
IHDG,28.64921160811641
HYXF,28.63961616288261
PWS,28.619908256144818
DFJ,28.61797186557595
FXE,28.596758880308858
EBND,28.570546154004887
VCIT,28.569537781297367
IGIB,28.569537781297367
UITB,28.569537781297367
LKOR,28.552784672342778
IPOS,28.540187252549565
HAWX,28.533931852548967
PHB,28.523994410734904
JPXN,28.523994410734904
GSJY,28.523994410734904
GVI,28.52184439157058
PTMC,28.52148987913394
GBAB,28.500334620632906
SPEM,28.452968891674303
IYLD,28.418483026345587
PREF,28.416368511950626
NUEM,28.40791026556905
SEF,28.3875290687974
FMF,28.381409921420314
SHYD,28.272538636943253
EMB,28.199068418217937
VWOB,28.199068418217937
IHTA,28.178454884742575
DBO,28.13566291710529
ENTR,28.1168999816533
EWX,28.100118732823187
EWJ,28.05670709178108
FLJP,28.05670709178108
USVM,28.045238975221533
BRW,28.035253012815616
FALN,28.0316769266658
GHYB,28.028682364338007
ACWI,28.014571773924345
VT,28.014571773924345
CRBN,28.014571773924345
NZAC,28.014571773924345
HYG,27.98189186734911
BBHY,27.98189186734911
BAB,27.979180049014495
ISMD,27.975202908459067
JPEM,27.92680330636261
HISF,27.92680330636261
QEMM,27.92680330636261
NCA,27.886510327626134
PBD,27.886208646409703
MIN,27.867115686368805
IDMO,27.85618398840743
XSOE,27.81126477743084
BGT,27.805801722134884
VBK,27.76149887931436
BNDX,27.755342587558186
IAGG,27.755342587558186
NIM,27.720377115014042
CSF,27.719820729919814
IEMG,27.712662254020266
SPFF,27.712662254020266
CNXT,27.71131611600084
IHY,27.652460615071856
COM,27.620016901979547
MLPX,27.58734565283063
PICB,27.554393330385825
GSY,27.52049605834937
MEAR,27.52049605834937
IBML,27.52049605834937
AGZD,27.52049605834937
SPBO,27.46816354644223
SUSC,27.46816354644223
VTC,27.46816354644223
FFIU,27.46816354644223
MMIN,27.46216684124212
FXH,27.43839947557025
MCI,27.3726185712674
SPIB,27.371984889974488
USIG,27.371984889974488
CMBS,27.371984889974488
SFIG,27.371984889974488
BWZ,27.35812175122543
ISHG,27.35812175122543
VCSH,27.32629067003482
BSV,27.32629067003482
SLQD,27.32629067003482
SMMU,27.32629067003482
NUSA,27.32629067003482
SHAG,27.32629067003482
UDN,27.312450674120075
EGF,27.303595018253077
FTCS,27.293267611031137
CHN,27.276453779057533
EMHY,27.266193613761406
DXJ,27.260950823041103
BSCP,27.258347492388193
IBDQ,27.258347492388193
HYXU,27.246433781029257
ANGL,27.220675999568925
OCIO,27.207758958880245
IBB,27.194028652046118
DIAL,27.182460451305698
IGEB,27.182460451305698
NXC,27.167209948548802
FLMB,27.167209948548802
NEA,27.15780169014833
HYI,27.153433360404094
SDG,27.142458495825
FTSD,27.133793729390494
IWC,27.12906487265293
SHM,27.120148198929503
