,Symbol,Sharpe,Sortino
0,RS,0.6,1.0
1,NFE,0.95,2.38
2,CQP,0.61,1.07
3,CHRD,2.06,7.17
4,CRC,1.34,2.84
5,ACI,0.85,2.09
6,HPK,0.74,1.37
7,MMP,0.69,1.09
8,GRIN,0.9,1.78
9,CNQ,0.56,0.92
10,ARLP,0.62,0.96
11,ENB,0.69,1.1
12,MGY,0.6,1.03
13,FLNG,1.21,2.27
14,EPD,0.69,1.12
