Symbol,Perf
XMMO,39.138021677268384
FLLV,32.62636655733222
QMOM,30.62592918590214
EIS,30.435828188872236
EVX,28.550979996981013
VIG,27.6598383846925
USMV,26.989970088923307
RESP,26.80451951156784
IJS,26.6843821041725
ISRA,26.344720839755908
IJJ,26.021759616456393
IVOV,25.86566787274369
FEX,25.057718144476247
VIOV,24.92059105218989
SHO,24.42279931444056
ASEA,24.148338368339545
MDYV,24.035036528207225
ROUS,23.933546830184284
THQ,23.279229037625278
SLYV,23.256155520223796
FSTA,22.70287647856284
RSP,22.383812328068945
SPXN,22.275739969641485
VEGA,22.2350989479928
SPMO,21.723504348447438
VBR,21.683512234373048
CFA,21.346544503139306
PSCT,21.316327534853784
QLC,21.276205361929506
MDYG,21.244120088304516
RNP,20.870123055182212
RMT,20.675251316869314
LADR,20.587312711992023
IVOO,20.571869101948167
JHSC,20.459019105023728
FDLO,20.218330983076473
INN,20.1461655736298
NOBL,20.0894800331635
HDV,20.0474549481769
CLDT,19.971338078875124
IGR,19.78637059716973
IPAY,19.685329402948604
APLE,19.620084214896817
DEUS,19.59281517985052
VAW,19.433508815234088
PSET,19.272729704280493
RWJ,19.154891190866724
FMAT,19.009312400400965
FNDA,18.998402169776945
CLRG,18.961271518441308
JPSE,18.893345021136742
SIZE,18.74403020446599
ISCV,18.74139352992597
VB,18.722742152774792
IJK,18.720856457006455
XLB,18.647258752399534
RNMC,18.528324602026164
LRGF,18.51715458029522
DALT,18.48827397714969
CSML,18.415300372789652
SPMD,18.36921781373966
UHT,18.29377551781989
IWN,17.94632416995148
SPGP,17.897428044234
IVV,17.772477511970408
SPY,17.772477511970408
VOO,17.772477511970408
SPLG,17.772477511970408
BRT,17.72077532406625
SMLF,17.63387260682636
PDT,17.592802824629253
EVT,17.504237949175362
CLPR,17.468323897620394
VEGI,17.438758176701544
BXMX,17.406886661016514
VDC,17.357901581867548
PBD,17.298486103909273
RFDA,17.290417631983342
SPXE,17.21153354302762
RHP,17.176517782621733
HACK,17.150892938968234
