Symbol,rr,pl
AMC,7.600000000000006,58.119528042612195
TH,11.70000000000001,44.5048225085373
HUDI,10.200000000000008,44.07078711674616
KALA,19.700000000000017,40.68478172129506
AEHR,4.700000000000003,40.302019492911946
BTU,9.900000000000007,37.318342874614366
VTNR,3.9000000000000026,33.054870255080694
IRNT,25.900000000000023,29.984193900271702
CIFR,10.700000000000008,26.309935643399452
RYTM,14.500000000000012,24.58016831394124
4393,11.500000000000009,23.458321213220874
2195,27.300000000000022,23.089026057428676
OBE,20.900000000000016,19.340533997214322
NEGG,28.000000000000025,19.16389717274154
CRT,8.200000000000006,19.07177689260883
KLXE,9.000000000000007,18.992799563520144
VIST,14.600000000000012,18.070885899254865
IVVD,16.500000000000014,17.473745654106207
AMPY,12.00000000000001,17.307634761100665
TAL,3.300000000000002,17.28599187603139
CABA,28.900000000000023,16.92021714277293
BORR,8.200000000000006,16.683529279460643
WFRD,17.600000000000016,16.442791869335174
MVIS,6.800000000000005,15.416248187759203
ARQQ,23.50000000000002,15.36114982583187
WULF,6.000000000000004,15.082014249780205
UONE,17.900000000000016,14.898814312931568
SLS,8.600000000000007,14.887143537297256
LEU,10.300000000000008,14.822816242792989
NEXT,29.100000000000026,14.601479754199064
HYMC,12.00000000000001,14.325191902999256
TGTX,8.200000000000006,14.143535361954763
FRGT,14.400000000000013,14.028566438426827
VERV,22.000000000000018,13.898397848282265
PDSB,28.900000000000023,13.743647094222327
TGLS,12.900000000000011,13.706178503142448
CHPT,13.00000000000001,13.644284213844886
SATX,28.000000000000025,13.530544122461036
MARA,9.200000000000006,13.497778937493282
BPT,14.700000000000012,13.370229933445977
RXRX,6.900000000000006,13.333894512732616
ASAN,5.400000000000004,13.219894906636874
HSCS,9.700000000000008,13.201853089876982
UXIN,8.600000000000007,13.158107491439068
GRIN,7.700000000000006,12.988217226278586
CEIX,13.300000000000011,12.90471867279879
MTR,4.5000000000000036,12.829584502711297
HUSA,9.600000000000009,12.757069776808764
SCWO,17.700000000000014,12.739243914165629
GREE,9.400000000000007,12.707734480981848
LWLG,8.100000000000007,12.673140490190308
7809,7.900000000000006,12.446729151526407
MVO,18.900000000000016,12.28748183367262
RCMT,7.500000000000005,12.275230881106257
NRT,24.10000000000002,12.214442734307339
HNRG,20.400000000000016,12.185425406225841
ATER,5.200000000000004,12.17918517853248
NOTV,23.50000000000002,12.09538816799937
AMR,8.400000000000006,12.07434816181516
WTI,17.100000000000016,11.9968858938109
IONQ,7.400000000000006,11.857899972094613
ASRT,9.400000000000007,11.790398911995128
PLSE,10.700000000000008,11.756806088669892
FCUV,6.400000000000005,11.726884058396054
HDSN,11.600000000000009,11.72253575309377
SAVA,6.400000000000005,11.687296021211154
DXLG,10.90000000000001,11.653541020328397
SYM,12.00000000000001,11.54382813892921
PRQR,9.400000000000007,11.522193990787258
ICVX,6.600000000000005,11.476576782896593
GLUE,5.800000000000004,11.443340805553317
PMTS,8.000000000000007,11.364383529100035
REPX,11.500000000000009,11.327082404402267
RAIL,13.00000000000001,11.297326200508103
6338,20.700000000000017,11.27205503770452
BBBY,5.900000000000004,11.248125871677862
NINE,7.400000000000006,11.24472250525508
IQ,5.100000000000003,11.211411146037227
RXDX,10.90000000000001,11.160805058235997
NVTA,7.300000000000006,10.995755239485275
RYI,8.100000000000007,10.937509088271442
BTAI,9.400000000000007,10.782505551189685
GGE,5.200000000000004,10.726470302633516
BEST,5.100000000000003,10.688877590935693
AGFY,12.70000000000001,10.634173000632316
ZEUS,7.2000000000000055,10.616152472184549
FLNG,14.700000000000012,10.612746013649447
SJ,6.700000000000005,10.542178431218765
DATS,12.800000000000011,10.524508973515859
9107,20.500000000000018,10.443361569165253
CVNA,17.100000000000016,10.413036556454635
ZIM,8.900000000000007,10.337901672339905
SBOW,3.100000000000002,10.275766358066312
SGML,19.100000000000016,10.173779602876
EYPT,15.400000000000013,10.124175541993033
SPPI,3.9000000000000026,10.08506965788767
HPK,7.900000000000006,10.072607028248727
TUSK,13.600000000000012,10.05636530957438
RAIN,16.900000000000013,10.028457246335664
RVPH,7.100000000000005,9.982314920229184
VALU,24.300000000000022,9.922625456444107
CVRX,11.600000000000009,9.819885290409086
SKYT,12.50000000000001,9.80678869035474
CAR,18.000000000000014,9.800187274110327
GLYC,8.000000000000007,9.668043842090265
NVEI,4.5000000000000036,9.53372532700361
PBYI,12.30000000000001,9.478664689292508
EHTH,4.000000000000003,9.425258999254329
WVE,13.00000000000001,9.363401291021404
APLT,4.3000000000000025,9.36314400338383
HIMS,18.100000000000016,9.321282675270838
3498,8.600000000000007,9.276589077405418
ESEA,7.300000000000006,9.220584963378807
IPI,7.700000000000006,9.216992519619279
LXU,25.900000000000023,9.193761490318835
GATO,17.800000000000015,9.191559477717094
AAMC,9.300000000000008,9.181194551731547
ENVX,11.90000000000001,9.153727180534533
TGS,6.100000000000005,9.151371457964428
VTLE,9.000000000000007,9.110028681996386
SBLK,6.700000000000005,9.103423223652461
2767,28.400000000000023,9.045192805397662
AMEH,8.400000000000006,9.016073565863048
XAIR,4.5000000000000036,9.003582419395615
AMTD,19.400000000000016,8.968561232739958
EH,13.10000000000001,8.922758954280038
MRIN,6.500000000000005,8.89734020246212
RDIB,7.000000000000005,8.891730449317159
ORMP,19.400000000000016,8.826495295680015
DSX,8.400000000000006,8.822880846194966
BIVI,30.000000000000025,8.81489530586248
CRK,5.200000000000004,8.779430730734886
TELL,7.100000000000005,8.767529108899383
YPF,4.5000000000000036,8.679353401283516
BMEA,19.100000000000016,8.651513114570086
