,Symbol,Atr
0,ISRG,11.404641287667411
1,AMGN,5.403568812779018
2,CAT,7.166373587317041
3,GS,9.404279436383929
4,AXP,5.431440080915179
5,INTU,11.548566545758929
6,VZ,0.9200000762939453
7,DIS,1.5727718898228236
8,CMCSA,1.0724994114467077
9,T,0.5192858832223075
10,PGR,4.035000392368862
11,DHR,6.287379673549107
12,SYK,7.770712716238839
13,HON,3.927659170968192
14,UBER,2.290855952671596
15,SPGI,8.475644792829241
16,LOW,4.816905973135931
17,ETN,6.916431971958706
18,BSX,2.025713784354074
19,NEE,1.8607134137834822
20,LMT,10.578565325055804
21,COP,2.157677241734096
22,TJX,1.537142072405134
23,RTX,2.0642852783203125
24,SCHW,1.1776935032435827
25,TMUS,4.308457510811942
26,UNP,4.400715419224331
27,AMAT,4.977857317243304
28,BAC,0.7614282880510602
29,KKR,3.3685695103236606
30,BA,5.0464292253766745
31,ADP,3.6421704973493303
32,MRK,2.001429421561105
33,ANET,9.789212908063616
34,PANW,9.122144426618304
35,VRTX,9.519995553152901
36,PLD,2.845000675746373
37,PEP,2.1367688860212053
38,C,1.460000719342913
39,FI,3.803572518484933
40,NKE,1.4896430969238281
41,CHTR,13.466428484235491
42,ADBE,8.691785539899554
43,BMY,1.199286597115653
44,MU,3.5047634669712613
45,ELV,17.068466186523438
46,MMC,3.373572213309152
47,MSFT,8.286067417689733
48,ADI,4.922848292759487
49,SBUX,2.056429181780134
50,GILD,1.422271728515625
51,LIN,6.123567853655134
52,SHW,8.304999215262276
53,AAPL,3.916428702218192
54,UPS,3.0921423775809154
55,AMT,5.366428920200893
56,SO,1.6364288330078125
57,LRCX,2.5557147434779575
58,HCA,10.849644252232142
59,AMZN,4.7514223371233255
60,COST,11.222922169317242
61,KLAC,19.65142822265625
62,INTC,0.8164287294660296
63,DELL,4.94330469384914
64,CRM,5.655713762555804
65,ICE,2.7792870657784596
66,MDLZ,1.1257144383021764
67,PLTR,1.3309639522007533
68,MO,0.9191499437604632
69,META,13.209272112165179
70,ABNB,2.7724293300083707
71,DUK,1.8125
72,CI,10.452501569475446
73,CTAS,2.5442842755998885
74,WM,3.4439293997628346
75,IBM,4.352857317243304
76,ABT,2.348571232386998
77,LLY,23.87642560686384
78,APO,2.727856227329799
79,WELL,2.5657119750976562
80,V,4.862147739955357
81,AON,6.865618465443033
82,JNJ,2.1092845371791293
83,PYPL,2.1403579711914062
84,GD,4.7883758544921875
85,CDNS,9.761425563267299
86,ZTS,4.271775535406176
87,MRVL,3.095001220703125
88,CEG,9.601852416992188
89,KO,1.092092786516462
90,CME,3.3464279174804688
91,CMG,1.6100006103515625
92,WMT,0.9824998038155692
93,PM,2.766430446079799
94,APH,1.5392864772251673
95,MAR,4.661431448800223
96,UNH,10.3321533203125
97,NFLX,18.33927263532366
98,CL,1.5661790171005003
99,EOG,2.035912711826487
100,PNC,3.754284449986049
101,CRWD,9.427219935825892
102,JPM,3.5771408081054688
103,DASH,3.5446363176618303
