,Symbol,rironQQQ
0,ENPH,288.78890385277725
1,SPXL,74.5588341315134
2,NVDA,216.17381048504734
3,GOOG,100.06979831482245
4,LIN,331.37211806810615
5,NFLX,355.7097343431607
6,GOOGL,99.28174943393878
7,ARGX,404.5168935543765
8,SPUU,79.89063119918362
9,MSFT,262.64959405616224
10,FNGU,81.48819243993735
11,XLK,140.26655933624303
12,XLY,151.2148896480034
13,MDY,492.12574630163056
14,SPY,416.49318580441
15,DIA,356.93975143181456
16,IJH,268.92103487883935
17,IVV,411.2744310089534
18,IWM,194.43554331343415
19,VOO,382.72805429082945
20,DIS,105.57906615839127
21,IVOO,181.91636344196576
22,AMZN,97.32874230636034
