symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
GRES,1.1945853537019133,0,0.4782608695652174,0.0019455787519575135,48.75469869576519,0.12,0.6666666666666666
LNG,1.194160150303018,0,0.38,0.002073194705387184,49.51911213034733,1.95,0.75
PDI,1.1940964700488916,0,0.14029850746268657,0.0045060244152788365,50.34183457829904,0.03,0.7142857142857143
TJX,1.193951448510256,0,0.3888888888888889,0.0025295581536234238,49.816102064319665,0.86,0.6666666666666666
BBLU,1.1939159560849213,0,0.43902439024390244,0.010292378931766563,51.158967776182,0.04,1.0
CEM,1.1931838828598398,0,0.34615384615384615,0.0019432962261560908,48.75469869576519,0.27,1.0
PXJ,1.1929491975036604,0,0.3333333333333333,0.0019429140024489581,48.75469869576519,0.16,1.0
NAT,1.1926214687697652,0,0.23333333333333334,0.0019329359299347895,48.67124621216579,0.04,1.0
XBJL,1.192194569143708,0,0.39090909090909093,0.003025874540973878,49.85880748228821,0.04,0.75
ERF,1.1912742720486915,0,0.4666666666666667,0.0019401861108284879,48.76163610054268,0.52,1.0
LEGH,1.1912058762614377,0,0.1267605633802817,0.0020716623934981526,49.53124791556646,0.05,0.625
FNF,1.191195915593067,0,0.07462686567164178,0.0027072634445296975,49.89059868005855,0.03,0.8
5901,1.1911889434024057,0,0.3404255319148936,0.0020537740403489754,48.75469869576519,6.0,0.64
KMB,1.190397561451794,0,0.4,0.002395166119621316,49.74392743263063,0.85,0.5
HWM,1.1901073952398897,0,0.38461538461538464,0.0026156206488788785,49.86045825793387,0.44,0.6666666666666666
8366,1.1897112192278414,0,0.53125,0.001982852032046402,48.35983002109382,22.0,0.48
LMB,1.1888353211398792,0,0.4444444444444444,0.0019813922018997988,49.11825082013847,0.11,0.5
9161,1.188782830254839,0,0.34782608695652173,0.5943914151274196,51.64039906492218,15.0,1.0
PSMO,1.1879966010221124,0,0.43478260869565216,0.003384605700917699,49.821908725235836,0.03,0.8571428571428571
JPM,1.1873330326258924,0,0.21511627906976744,0.0026984841650588465,49.89059868005855,0.47,0.8
CB,1.1863960260880824,0,0.1712707182320442,0.0026963546047456418,49.89059868005855,0.49,0.8
5842,1.1861572618985194,0,0.2631578947368421,0.39538575396617315,50.31724927830473,10.0,1.0
UTHY,1.1857695517570785,0,0.35185185185185186,0.01943884511077178,51.357299311266914,0.03,0.5
9616,1.1856811351586893,0,0.26785714285714285,0.0020692515447795624,48.84787592714608,20.0,0.5416666666666666
OFS,1.1851686808688713,0,0.15517241379310345,0.0020121709352612415,49.48095050626213,0.04,0.75
