Symbol,Perf
GMF,21.193876930922734
PFD,15.19979316437647
EMIF,14.603930843439946
SCHE,13.968147825096302
LOAN,13.464642925023234
BTEC,11.507125244217042
AJXA,11.420440083884296
PBE,11.263647783822142
IHT,10.815371925090734
SDP,10.795832072808345
XHS,10.436162669919998
NXG,10.02871621643354
RHE,10.027331598765135
EVX,8.996124960383248
VVR,8.986593028783354
MXE,8.966557117150977
MFEM,8.887138045110953
SPXS,8.721490832838084
SPXU,8.721490832838084
PSCH,8.64330602287293
JSML,8.501220851999292
OILK,8.207755100660219
BLHY,8.150293478945924
YLD,8.068777882844277
PSCI,7.99376401862843
HYDB,7.753919000110763
COMB,7.653318028921131
PCQ,7.604652527473813
DRV,7.5389868474261945
SZK,7.383797729788702
CANE,7.326072208993936
ENFR,7.282888908274237
MZZ,7.201231380612621
XHE,7.065579128233058
UWM,6.929293389848972
IGPT,6.922771582494704
AIEQ,6.8930861221711
VAMO,6.861000921433631
BSJP,6.541368687624312
HYGH,6.395377598961454
DOG,5.86451603510922
PHO,5.510958915733433
SAA,5.048000697605895
SOHO,3.4247647287891354
ACR,2.916770262773785
