,Symbol,DivdendToPrice
0,MSFT,0.019468540251991996
1,V,0.013747569303124858
2,MA,0.0124321435603184
3,AZN,0.05689910979228486
4,CSCO,0.06888843730948994
5,LIN,0.026876374702461667
6,QCOM,0.050475435816164815
7,AMGN,0.06384142748926858
8,SBUX,0.03787073712684765
9,INTU,0.013256288239292998
10,GILD,0.07887085049672884
11,ENB,0.1409220607661823
12,ETN,0.03634679939807848
13,LRCX,0.028379826115620756
14,CNQ,0.07992985837217641
15,KLAC,0.023173777583232483
16,DG,0.017871125236055455
17,STZ,0.027659574468085105
18,PAYX,0.05210204814947899
19,PCAR,0.06293875574921327
20,YUM,0.03407942799409342
21,AMP,0.028075142292606683
22,ABC,0.023134796238244514
23,RMD,0.015767441860465116
24,PCGU,0.08200387654689131
25,LYB,0.08505018489170627
26,DFS,0.039205058717253834
27,NDAQ,0.06730769230769232
28,AWK,0.03496454886695398
29,FANG,0.09364406779661016
30,TSCO,0.026909871244635192
31,TROW,0.10197842081385487
32,MPWR,0.012275207112547988
33,CINF,0.04903635032934862
34,STE,0.020920947564546183
35,FDS,0.016038266741699496
36,POOL,0.018803561028371742
37,MKTX,0.015810958431552925
38,NDSN,0.01967566596289474
39,PKG,0.06368267831149926
40,BAH,0.034403669724770644
41,JKHY,0.025936599423631124
42,CHRW,0.049034175334323915
43,ERIE,0.036259858862598596
44,MMP,0.15548894717122516
45,CHK,0.14832550667325753
46,DKS,0.027371059227014903
47,RGA,0.0413206122589059
48,LECO,0.030364981059467257
49,HII,0.04362431549399476
50,RHI,0.041093430080103445
51,ESLT,0.022420201781816033
52,HESM,0.149638426090039
53,LSTR,0.03373826615129762
54,VMI,0.01408025746756512
55,PRI,0.024805881948739093
56,PDCE,0.048992673992674
57,IIVI,0.12307061176349932
58,NEP,0.08546219728292971
59,CHRD,0.14183665954783123
60,LANC,0.03248259860788863
61,SUN,0.13958993870217712
62,OGS,0.060677797159232494
63,HLNE,0.04239186076273356
64,FIBK,0.09389671361502348
65,GEF.B,0.06811221364694353
66,CNS,0.06610659688748108
67,EVA,0.16048237476808908
68,BCC,0.13249475890985324
69,MGEE,0.0436034410989316
70,MGRC,0.033490122295390404
71,IIPR,0.15150082722760577
72,HCXY,0.125
73,DKL,0.1674940643211742
74,FLNG,0.17612809315866085
75,LKFN,0.04296275631189845
76,KEN,0.555911680911681
77,AGM,0.05400619743249225
78,EGBN,0.0720988784618906
79,GLP,0.13705667882001993
80,QQQX,0.16260681916271041
81,CHCT,0.08737864077669903
82,AMSF,0.19138755980861233
83,BST,0.23573971291866028
84,HIFS,0.020255089696173654
85,BME,0.1192636579572447
86,FDUS,0.20451272203552573
87,STK,0.19766451719576722
88,CHSCM,0.15031175771971494
89,CHSCL,0.1616998850134151
90,MDRRP,0.1655978704113865
91,ZIONO,0.12377210216110018
92,BANFP,0.1310997815003642
93,OXLCP,0.1550399949725696
