Symbol,MaxGain,LowestPreviousClose,PreviousGain,PreviousCloseLow,PreviousVolume,LowestIdx,LowestEntry,LowestLow,HighestHigh,VolumePercentage
HKD,212.0580919818468,13.0,1.0,1.0,0.0,0.0,13.0,12.050000190734863,2555.300048828125,0.0114456785060077
7692,107.92334100405722,8.492606163024902,1.0127462256773923,1.02222217760588,129600.0,281.0,8.405153775867257,8.249682642374928,890.3333129882812,0.0013729607084574122
HUDI,68.15548059458057,3.9100000858306885,0.9071926073644236,1.0625000040492285,216400.0,104.0,3.8399999141693115,2.8299999237060547,192.8800048828125,0.016988313950221923
3936,59.84986683616558,37.86666488647461,1.0,1.0,0.0,84.0,37.46666717529297,36.633331298828125,2192.5,0.0014011397035188387
9204,59.42307838227622,25.891031265258793,1.0,1.0,0.0,0.0,25.891031265258793,25.891031265258793,1538.5247802734375,0.0
3856,26.259166366955316,542.931884765625,1.0098888273633366,1.018703241183569,245400.0,228.0,533.9605602332573,518.6760238184669,13620.0,0.014448679309577541
ELVN,25.462012135359092,0.9900000095367432,0.9705882627933776,1.0153846003365004,138400.0,271.0,0.9739999771118164,0.9739999771118164,24.799999237060547,0.004820648525591758
IMPP,24.25,6.0,1.0,1.0,0.0,0.0,6.0,6.0,145.5,0.0009836144216706377
AEHR,20.974225477605245,2.0299999713897705,0.9398147642244548,1.0,178700.0,39.0,2.069999933242798,1.940000057220459,40.689998626708984,0.005699021109315341
NINE,20.60241051242114,0.8299999833106995,0.9325842659004768,1.0453399904362324,568800.0,198.0,0.8619999885559082,0.8299999833106995,17.100000381469727,0.01503594801364181
4575,18.364197530864196,167.0,1.0,1.0,311500.0,237.0,170.0,162.0,2975.0,0.014137048824563951
MHUA,17.496155133473145,2.990000009536743,1.0,1.0,800.0,109.0,2.6040000915527344,2.5999999046325684,45.4900016784668,4.177109440267335e-05
CXAI,17.355371353673657,1.440000057220459,0.9729729990962647,1.0588235603484313,103700.0,519.0,1.4199999570846558,1.2100000381469727,21.0,0.01599729688792571
AMR,15.96754868645819,12.279999732971191,0.9777069524449863,1.0,526200.0,5.0,12.170000076293945,11.710000038146973,186.97999572753906,0.013030441211015766
VCIG,15.820261683874099,1.649999976158142,0.8291457126888404,1.050955363715503,196000.0,8.0,1.5299999713897705,1.5299999713897705,24.204999923706055,0.005792151732206548
6338,14.554903855282161,692.163818359375,0.9957627118644067,1.014388489208633,14400.0,3.0,681.3640935884105,670.56437452577,9760.0,0.0026372872862973147
DXLG,13.621211233163155,0.6600000262260437,1.0,1.0,0.0,0.0,0.6600000262260437,0.6600000262260437,8.989999771118164,0.015034485828852348
2767,12.905444726022045,237.52569580078125,1.006122448979592,1.0292275574112737,435000.0,36.0,216.80844225691035,205.72712187489049,2655.0,0.015214388781120726
AMTD,12.7722769706299,2.299999952316284,1.0454545011205132,1.1165048622345655,99600.0,331.0,2.240000009536743,2.0199999809265137,25.799999237060547,0.0009307523060585659
BTU,12.754790135462866,2.75,0.9136212653531466,1.0,3577000.0,5.0,2.690000057220459,2.609999895095825,33.290000915527344,0.026369039391845196
7901,12.104966139954854,1819.0,1.0,1.0,100.0,252.0,1819.0,1772.0,21450.0,0.004239780803332468
BHRB,12.104581107072129,7.114308608842041,1.0,1.0,0.0,0.0,7.114308608842041,7.022134780883789,85.0,0.0005388105218918715
CPTN,11.70219047855726,7.989999771118164,0.8684782539964396,1.0088383452209477,104600.0,224.0,8.140000343322754,6.849999904632568,80.16000366210938,0.00011603886664456403
5820,11.634920634920634,1290.0,1.0038910505836576,1.0038910505836576,1300.0,62.0,1281.0,1260.0,14660.0,0.0007608255283050193
4393,11.241379310344827,1489.0,0.9312070043777361,1.0170765027322404,64400.0,211.0,1519.0,1450.0,16300.0,0.010042553446619331
USEA,11.187499594874685,0.800000011920929,1.0,1.0,0.0,0.0,0.800000011920929,0.800000011920929,8.949999809265137,0.030316947797272037
LTRPB,11.111505904861545,9.300000190734863,0.9862141982784915,1.0954064124209062,1600.0,321.0,9.350000381469727,8.430000305175781,93.66999816894531,1.3061756769712607e-05
6335,10.941176470588236,341.0,1.0,1.0,0.0,0.0,341.0,340.0,3720.0,0.011954371208097522
OBE,10.886957145503441,1.2000000476837158,1.0,1.034482829494229,178100.0,18.0,1.149999976158142,1.149999976158142,12.520000457763672,0.0016554779888376962
8139,10.664670658682635,173.0,0.9885714285714285,1.0,24100.0,26.0,173.0,167.0,1781.0,0.0034951847309464177
TH,10.499999796802346,1.840000033378601,0.9533679188521961,1.0165746362140708,153400.0,3.0,1.8200000524520874,1.7599999904632568,18.479999542236328,0.0017035926371653481
BPT,10.118765493546304,2.648002862930298,0.9677419652551825,1.0238907616545794,156600.0,108.0,2.5773894987822126,2.5773894987822126,26.079999923706055,0.003542056074766355
3041,10.07949790794979,240.0,0.995850622406639,1.0,3000.0,4.0,240.0,239.0,2409.0,0.00039511558118538625
ENLT,9.846938194606972,1.9600000381469727,1.0,1.0,0.0,0.0,1.9600000381469727,1.9600000381469727,19.299999237060547,0.0
ASRT,9.423529416714572,0.8700000047683716,0.9886363744119968,1.0116278956940912,374100.0,140.0,0.8799999952316284,0.8500000238418579,8.010000228881836,0.0052026163986612604
2195,9.394360489796215,173.3333282470703,0.9352517967842101,1.0,57000.0,95.0,179.6666717529297,167.86666870117188,1577.0,0.0013673258126615509
LXU,9.26883263182631,3.107692003250122,0.973493802237722,1.0024813222110294,242970.0,5.0,3.046154022216797,2.961538076400757,27.450000762939453,0.001931324552634932
