,xt_va_z
565,0.04689357508145886
566,0.05154451437652483
567,0.06894585177761829
568,0.09329353599185375
569,0.1163410686122242
570,0.13442424984649973
571,0.14498171733282245
572,0.15113088422605409
573,0.15742146387048211
574,0.16695403550088045
575,0.1804034984772454
576,0.19440861196094794
577,0.20448501051408147
578,0.20742193695912553
579,0.20418348552687754
580,0.19895366790129193
581,0.19441806869339398
582,0.19220579766411133
583,0.19216216277863213
584,0.1931186091871352
585,0.19831802064641546
586,0.21149775862462755
587,0.23253115835092747
588,0.25747338382623114
589,0.27913541547559595
590,0.2955340877974811
591,0.3067082803690807
592,0.31324724841662543
593,0.31606450444695683
594,0.31450681116531015
595,0.31022826044682256
596,0.30667753130850145
597,0.30570334126704846
598,0.3080200489201645
599,0.3126311863938899
600,0.34410932704287883
601,0.4258422797839646
602,0.5636917496653526
603,0.7403532093090439
604,0.9180029243160905
605,1.0647344711823212
606,1.1437339237952675
607,1.1349328093726374
608,1.0435867069216611
609,0.8955925164744982
610,0.7343664630890555
611,0.596732654816008
612,0.5024573913365734
613,0.4553988055363162
614,0.44518226178089737
615,0.455677553317212
616,0.47094432763927063
617,0.47815958242159107
618,0.473303254378583
619,0.45944804827310026
620,0.4394700347091257
621,0.4192402676100203
622,0.40075146482254775
623,0.3828939153455555
624,0.3645903100334399
625,0.34333548900911315
626,0.3204163028982002
627,0.2997758679407826
628,0.28551934847508215
629,0.28133413859587836
630,0.28699614477619456
631,0.30003612765604804
632,0.3200678309549318
633,0.34706187585811427
634,0.37933065191138937
635,0.4131836698496998
636,0.44201602302145726
637,0.46198694719255257
638,0.4733480975487968
639,0.4808498860864008
640,0.4889300952518291
641,0.4976960015832713
642,0.5071802194429191
643,0.5156147771309054
644,0.5220524095189631
645,0.5259912920519823
646,0.524012723668328
647,0.5153019937301357
648,0.5016596992701973
649,0.4849270690356963
650,0.4654751335334243
651,0.4415399498663882
652,0.4117317574868782
653,0.37618893391209235
654,0.33720773851287333
655,0.29999520976104466
656,0.2672295136293127
657,0.23610344465788521
658,0.2001298839097397
659,0.15435670171328114
660,0.09990037476266182
661,0.0432637105978623
662,-0.008692955513239963
663,-0.051210477113993534
664,-0.0827349433739317
665,-0.10465370751709928
666,-0.12127330911539813
667,-0.13561855443531845
668,-0.15007786479841342
669,-0.1661641450592187
670,-0.18369433039954647
671,-0.20138431148113298
672,-0.2142747829955423
673,-0.22121813221629108
674,-0.22243894650614743
675,-0.21832886965002202
676,-0.21000345578357896
677,-0.19789449172865287
678,-0.18428449691557713
679,-0.1715911629846667
680,-0.16286374868369358
681,-0.16111887070135966
682,-0.16955415182500175
683,-0.19105108880669855
684,-0.22392879468827437
685,-0.2622677285641546
686,-0.2999122006375007
687,-0.33198502189186885
688,-0.3574100208729177
689,-0.375836107921273
690,-0.3885054203670208
691,-0.3978947763442934
692,-0.40752184556160637
693,-0.4211628898046465
694,-0.4402125317820495
695,-0.46244825691646196
696,-0.5035875846948124
697,-0.5807690253581652
698,-0.7061677237573841
699,-0.8756759181785096
700,-1.0612509200996525
701,-1.2063650351963968
702,-1.259955778493835
703,-1.2032761476544735
704,-1.0563967743264169
705,-0.870999023148418
706,-0.6938762582466373
707,-0.5511781890518471
708,-0.44785198532613696
709,-0.37640645540428375
710,-0.32971760929623317
711,-0.301764568091743
712,-0.28679307290595
713,-0.27950398174634367
714,-0.2750312406702145
715,-0.27036049315495286
716,-0.2649811110863294
717,-0.25801934683058836
718,-0.2469804697103922
719,-0.23070298236175021
720,-0.20963676327862588
721,-0.1861207504959217
722,-0.16433103261625798
723,-0.1506539215400738
724,-0.15097261452334063
725,-0.16564614765210675
726,-0.1894287342312927
727,-0.2127885273261188
728,-0.22745003279631745
729,-0.22953920233744957
730,-0.22143330617651413
731,-0.2512613393180727
732,-0.3249135171873031
733,-0.41693737203361503
734,-0.4862457556848317
735,-0.4879405134846307
736,-0.4251996291156881
737,-0.32642976600784235
738,-0.22529026577059322
739,-0.14521656894834103
740,-0.08948034797821246
741,-0.05514086815605083
742,-0.03699263672045318
743,-0.02856779116212521
744,-0.025325193902080895
745,-0.023962321812863802
746,-0.02264166219554812
747,-0.019478530713901217
748,-0.015077556142901249
749,-0.010563622601543976
750,-0.005249487787583603
751,0.012998397005645146
752,0.047821500983061184
753,0.09472266413787508
754,0.14368421258030634
755,0.1800669638241968
756,0.19795082482800902
757,0.19739607615612462
758,0.1819536838191757
759,0.16048897122896386
760,0.14273476549828262
761,0.1326318998730483
762,0.13340696352674372
763,0.14323188427861117
764,0.16135784960255273
765,0.1871413894644675
766,0.21948709237745137
767,0.25572111943133075
768,0.2905104082439219
769,0.31599598738817525
770,0.3281329668359859
771,0.3277352770458447
772,0.31972860942999803
773,0.308146527099567
774,0.29469582684193363
775,0.2843847324583585
776,0.2819588952323956
777,0.2898984482030521
778,0.3072236099065365
779,0.324602002755185
780,0.33636283589818905
781,0.35598580373441885
782,0.3992497453919066
783,0.42063728202538186
784,0.40083706614588976
785,0.3380453608972295
786,0.25908315836287843
787,0.21812161891680523
788,0.23140606762731125
789,0.28917432769737605
790,0.36511595954892256
791,0.43458309130139955
792,0.4897907590680878
793,0.5321124918896941
794,0.5664485315631534
795,0.5950317789212517
796,0.6179209402728029
797,0.6376684762056829
798,0.6558681989926578
799,0.6729272224802042
800,0.6882521773688742
801,0.6998328633423224
802,0.705153415494624
803,0.7061680272855124
804,0.7071357973888499
805,0.7140003868085192
806,0.7302647607481259
807,0.7548704998534195
808,0.7863825875960166
809,0.8210419608766344
810,0.8542414833669916
811,0.8821402024972229
812,0.9001715580330396
813,0.909701758306446
814,0.9157070350579198
815,0.925351095986251
816,0.9423262412578328
817,0.9662614681093468
818,0.9925458254775741
819,1.0170696429291783
820,1.0415822114694768
821,1.069690387455126
822,1.1050738028837177
823,1.1490758448919665
824,1.1959126169688936
825,1.2408168354010212
826,1.284566510258303
827,1.3280124043203423
828,1.372436925456838
829,1.4181336681348706
830,1.4607294953599472
831,1.4965909916373872
832,1.526630594525313
833,1.5506208171631841
834,1.5714901517397035
835,1.5862437331383248
836,1.5932182346152746
837,1.595161651760101
838,1.5913362343783597
839,1.5817785973791971
840,1.5626661263525468
841,1.5315729844111075
842,1.4955245485137822
843,1.4618445277041894
844,1.433185740173295
845,1.4063420193243974
846,1.3768332512241717
847,1.346731437143909
848,1.321311223637775
849,1.3029544465181637
850,1.2905975364649536
851,1.2813117136277778
852,1.2776105806294402
853,1.2349564767722363
854,1.15838925119994
855,1.0770198262324175
856,1.0305372934987302
857,1.062096485829371
858,1.1592598991317202
859,1.2859191807738255
860,1.4048385542453308
861,1.4950184353439948
862,1.5600589131040352
863,1.6150389353194416
864,1.6727815628501272
865,1.725869522975238
866,1.7600620839467225
867,1.7621598017263351
868,1.7314580794658405
869,1.6808531397123698
870,1.623551989090754
871,1.5696746452342472
872,1.5250049377883106
873,1.491609468060451
874,1.4681447569847066
875,1.4504265892705388
876,1.4331254189331568
877,1.4103023632270104
878,1.3761064011667092
879,1.3301014154714064
880,1.2779575087104058
881,1.2256193894749743
882,1.178997665177128
883,1.1404015041038904
884,1.1130367216817632
885,1.0997734026622443
886,1.100193701161427
887,1.1069343736491657
888,1.1095729122872904
889,1.1010546845702422
890,1.0744424964653114
891,1.0226222328269865
892,0.9448700321694756
893,0.8453645701217599
894,0.7364566318882317
895,0.6343055695762997
896,0.5508566635885784
897,0.4910368267796075
898,0.4484839867141222
899,0.41275721472582794
900,0.3759825812498207
901,0.33751275746690945
902,0.30241156446186496
903,0.2692278019826679
904,0.2323293311239749
905,0.18523912526274733
906,0.12856644984468465
907,0.06565757766043454
908,-0.003359671316092605
909,-0.07839816221121912
910,-0.16171352353115784
911,-0.24952748885297607
912,-0.3382756419193471
913,-0.4277526061982613
914,-0.5158093911178195
915,-0.5981098373994886
916,-0.6678630275086892
917,-0.7178959061177514
918,-0.7481018611265332
919,-0.7658319314387348
920,-0.7812151970596538
921,-0.8001419961519911
922,-0.8268027144153794
923,-0.8582184472821492
924,-0.8894711390507737
925,-0.9145308206683243
926,-0.8845000876753362
927,-0.8061793520650964
928,-0.720739408948733
929,-0.6796533751287189
930,-0.7259579014383224
931,-0.8395546299013883
932,-0.9748974918577618
933,-1.090952349406499
934,-1.1651058934413665
935,-1.202112407624453
936,-1.21653646338869
937,-1.222654372581013
938,-1.2281762203634965
939,-1.2382028621939123
940,-1.25447185545687
941,-1.2763122548044048
942,-1.2996133639655438
943,-1.3196229998523683
944,-1.3326300787497207
945,-1.3361998742554082
946,-1.3316085922191896
947,-1.3203855323303735
948,-1.3056855633943685
949,-1.2951108312874142
950,-1.2967335245906113
951,-1.3105849469078032
952,-1.285163513811334
953,-1.21423691664687
954,-1.1243434942572186
955,-1.0605015309925865
956,-1.0688158987270282
957,-1.1395799540658889
958,-1.2370060365906004
959,-1.3225877178005416
960,-1.3728381432909695
961,-1.388030231916386
962,-1.3777745814934141
963,-1.3545750071861542
964,-1.3277877325438354
965,-1.3009840989997206
966,-1.2734112355034992
967,-1.239013770319519
968,-1.1959094394306913
969,-1.1489382828244064
970,-1.104027805515065
971,-1.0669036316804246
972,-1.038415781214018
973,-1.0137235684648869
974,-0.9865673631025829
975,-0.9544387422723688
976,-0.9194575266871503
977,-0.8888878882632124
978,-0.8647517974305672
979,-0.8461559869131217
980,-0.8295136716761917
981,-0.8118938806080646
982,-0.7929798494130836
983,-0.7728385883870759
984,-0.7536855323436713
985,-0.737596346551262
986,-0.7263174893530719
987,-0.7216190291326838
988,-0.7211210454780319
989,-0.7214195398659764
990,-0.7155131800739662
991,-0.7141266243439826
992,-0.7346045793595843
993,-0.7726229500088151
994,-0.8108161903473231
995,-0.8228039167242474
996,-0.7950493129393851
997,-0.7368861996535944
998,-0.6653104840580104
999,-0.5972127012575286
1000,-0.5394808543230551
1001,-0.4903301916976391
1002,-0.4470144880628597
1003,-0.407721727927634
1004,-0.3719954848278881
1005,-0.3399821487886685
1006,-0.3103781130901268
1007,-0.28080028280733615
1008,-0.25092442069797954
1009,-0.2206947511877635
1010,-0.1902692611642988
1011,-0.1849930244908224
1012,-0.20236102581953253
1013,-0.2249877248454991
1014,-0.2274870624854679
1015,-0.1851380276731654
1016,-0.10457552987521013
1017,-0.008032834638580639
1018,0.08164342783556074
1019,0.14810371337816064
1020,0.1906502888977765
1021,0.2158140865517261
1022,0.2320786613837586
1023,0.24564696192322932
1024,0.2583931730991205
1025,0.2708652828838666
1026,0.2813685206419138
1027,0.28922911245872496
1028,0.2941079648863008
1029,0.29865687575518374
1030,0.30661320756797705
1031,0.31986649417025115
1032,0.34019574246504714
1033,0.37034105449392174
1034,0.40796792992601405
1035,0.4490127633800303
1036,0.4546451288774424
1037,0.41954677241314775
1038,0.3650157622450194
1039,0.32283561073149586
1040,0.3274009211731942
1041,0.3740744977156848
1042,0.43686618095368585
1043,0.4923384215176103
1044,0.5278857047317628
1045,0.5461352374295865
1046,0.5538259232749331
1047,0.5546458700659347
1048,0.5506064783573736
1049,0.5454675886601302
1050,0.546318047376748
1051,0.5569358959702283
1052,0.5730945465626603
1053,0.5836885678395248
1054,0.5781622701963889
1055,0.553866495513847
1056,0.5171562241294956
1057,0.4802804598705953
1058,0.4536750300814775
1059,0.4403757626488035
1060,0.44068552709112396
1061,0.45432945723420265
1062,0.47987660681070343
1063,0.5150841512195099
1064,0.5522155376252608
1065,0.5839540792901244
1066,0.6063483066803285
1067,0.6203496538155346
1068,0.6296810766361383
1069,0.6341118428029408
1070,0.6339074879721494
1071,0.6269145257384736
1072,0.6146148270836678
1073,0.6007756280026578
1074,0.5883287794592642
1075,0.5841737888991757
1076,0.595152656388912
1077,0.6284921913526667
1078,0.6846127036320826
1079,0.7620463271191052
1080,0.8461586603544292
1081,0.9249180296517464
1082,0.9918616201835698
1083,1.0534827562962252
1084,1.1143495274255915
1085,1.1736697533278513
1086,1.2270954471777606
1087,1.2709205358211568
1088,1.311084325136669
1089,1.3576196269458014
1090,1.4149634616870947
1091,1.4776178484282536
1092,1.5338496433014925
1093,1.567456488280314
1094,1.573371033208923
1095,1.5593185496185396
1096,1.5354714088749681
1097,1.5164507074496458
1098,1.508633923023898
1099,1.5146319861622117
1100,1.5396676246187784
1101,1.5821688982601085
1102,1.6366984976810126
1103,1.6925176015049792
1104,1.7402868272727308
1105,1.7801643172245825
1106,1.780843154102356
1107,1.7428869174410462
1108,1.6841088641972228
1109,1.6287023330219577
1110,1.6095825896576474
1111,1.62884169817196
1112,1.6740664219279835
1113,1.732817134939427
1114,1.7977449000193193
1115,1.862794583389413
1116,1.9148787335983877
1117,1.9381875361054128
1118,1.9232658308107453
1119,1.8748912359516843
1120,1.8121333851745267
1121,1.7621484380675838
1122,1.7406135999506809
1123,1.7443774192887709
1124,1.755318194471733
1125,1.7505782768911409
1126,1.7218502434278034
1127,1.6675646683305707
1128,1.5921974326253943
1129,1.5052280305976464
1130,1.4121786824900588
1131,1.3227052187745332
1132,1.2423036073718066
1133,1.172674154356547
1134,1.111703390756549
1135,1.0530377342189976
1136,0.9936393936336632
1137,0.9382735818140133
1138,0.8918566898711694
1139,0.8520436276073348
1140,0.8142208408815677
1141,0.7804496866795485
1142,0.7590377791791882
1143,0.7592045989757805
1144,0.7773379087371554
1145,0.8017424581703517
1146,0.8223669507248135
1147,0.8322578086342155
1148,0.8368566950949049
1149,0.8374378300161199
1150,0.8318537082648529
1151,0.8199727770796601
1152,0.8010361698716709
1153,0.7798507187635529
1154,0.7625752155260761
1155,0.7492377270359036
1156,0.7374684883409562
1157,0.7251451841205442
1158,0.7120882281884139
1159,0.7010373051218166
1160,0.6901419712029085
1161,0.6756718054909366
1162,0.6551444056844733
1163,0.6245555868328256
1164,0.5839451510037889
1165,0.5376040702706117
1166,0.49151132794686453
1167,0.44960265757529694
1168,0.4150824568730728
1169,0.3907841756803087
1170,0.3736746903621605
1171,0.3609120605297333
1172,0.3500038845593756
1173,0.34182829748594834
1174,0.33865068007286403
1175,0.3435742068520714
1176,0.35895106068512267
1177,0.3791489897674391
1178,0.3957347802185226
1179,0.40122528562072307
1180,0.3911369539190209
1181,0.3676024991380342
1182,0.33632913228582917
1183,0.30655330540604897
1184,0.28757562944392795
1185,0.285680793426769
1186,0.3432104853583198
1187,0.5020408453632565
1188,0.7192610294708066
1189,0.9090648160957429
1190,0.9780567993675859
1191,0.8904531439985399
1192,0.6987051305149595
1193,0.4855402736461555
1194,0.31748410872806365
1195,0.22136671118508736
1196,0.18531723354534835
1197,0.18668273733024326
1198,0.20460475485057633
1199,0.22266192187308667
1200,0.2310835104974453
1201,0.23500260583786653
1202,0.24791845956423356
1203,0.2870096770957157
1204,0.3618741974464886
1205,0.47089168649595603
1206,0.5833011560075018
1207,0.6648256509862213
1208,0.6923838442304064
1209,0.6652476799220249
1210,0.6045488132056043
1211,0.5350445036360331
1212,0.47214741543976596
1213,0.42140305383941257
1214,0.38060813101935576
1215,0.34749184727118276
1216,0.3228283661757601
1217,0.3091525231783211
1218,0.30990185838699436
1219,0.32266973108792596
1220,0.34112893392002047
1221,0.35798160964070774
1222,0.36590360371266273
1223,0.3655126570072301
1224,0.3615998426484549
1225,0.3609935762707199
1226,0.370861188399235
1227,0.39275319278710574
1228,0.4229290363497073
1229,0.45045412406399066
1230,0.46689747237115
1231,0.4680524470444822
1232,0.4569871588063198
1233,0.44051081240590817
1234,0.4229590946845573
1235,0.4069810869228778
1236,0.3916353737079638
1237,0.37317923856911955
1238,0.3439805230916723
1239,0.29824349846181264
1240,0.235869502790427
1241,0.15948229393244148
1242,0.07566572046265727
1243,-0.006830973430139192
1244,-0.07950555995338246
1245,-0.13456975522449177
1246,-0.17033301270819703
1247,-0.18789965020388627
1248,-0.19242096208816187
1249,-0.1901929311941845
1250,-0.18779715616736423
1251,-0.14112773726715075
1252,-0.0057427404374471025
1253,0.21218104245353522
1254,0.43808979606272747
1255,0.5698702672043416
1256,0.5523258409072647
1257,0.4087700853665712
1258,0.2130432786554055
1259,0.03565300997266866
1260,-0.08464666766476969
1261,-0.14480799460607313
1262,-0.16169151336929108
1263,-0.15314027366310107
1264,-0.1329449883229236
1265,-0.10878456857498113
1266,-0.08390643378755333
1267,-0.06187309231607936
1268,-0.04543663578621794
1269,-0.034379659079881976
1270,-0.026474646431444586
1271,0.030039022202158372
1272,0.15906111215956287
1273,0.3328780469264515
1274,0.4938381367968482
1275,0.5753922241882535
1276,0.5621966849538873
1277,0.48780602716958726
