Symbol,Balabce,Period
TREE,2.153273818252759,10
GOCO,2.153030339920598,9
PDS,2.152084559492643,21
7063,2.1517241379310343,157
BSQR,2.149999850988394,6
CNTX,2.149999850988394,12
TNP,2.149769492091535,324
8337,2.1482889733840302,138
MEXX,2.147764849999826,109
XERS,2.147286870417835,44
BGXX,2.1462365980078846,13
4498,2.144144144144144,20
AIRS,2.1424243254000395,11
ADVM,2.140845108259248,79
BORR,2.1397514923188865,254
ESOA,2.1379308984055716,2
AGRI,2.137254929460044,23
VEEE,2.1358489221591257,12
4388,2.135593220338983,13
WEBS,2.135583006295187,142
ASPN,2.1349245185152634,39
6417,2.133501259445844,124
LCID,2.13296972100066,9
SKYW,2.1328555638644273,122
5192,2.130822596630327,244
ELTK,2.127835030463996,11
AZ,2.127819422849588,55
LC,2.127500057220459,66
SONX,2.1272726031374365,17
5406,2.127049180327869,213
7061,2.1268417680973735,77
ACER,2.1259843214438177,24
CMT,2.1259667807317326,242
OII,2.125683232111831,50
3814,2.1254237288135593,27
3984,2.1243523316062176,97
4323,2.1242653232577666,283
GROV,2.1240310779551153,4
GLSI,2.121405933394219,2
EVLV,2.121107229040801,40
IRON,2.1210300337838115,27
LFMD,2.119496738876255,31
CPRX,2.1183611100016266,10
AR,2.1182293983853633,136
LTRPA,2.1176471206968626,8
CNET,2.117646943326643,34
SRG,2.1175406137195787,6
GNPX,2.1171875771251525,2
3647,2.1169232597517302,9
9930,2.116751269035533,76
ZFOX,2.113821157122235,3
NTLA,2.113790592951455,49
DAVE,2.112582616244315,2
PFMT,2.112195133865057,3
BILI,2.1119222284391097,19
LGHL,2.1111111519922114,4
DUOT,2.111111111111111,6
TNGX,2.111111068036391,4
EXTR,2.111111066173107,223
5285,2.1092150170648463,329
9827,2.109090909090909,10
6565,2.1087489779231396,147
7173,2.1059782608695654,164
CRK,2.1058528083782573,43
SJ,2.1056409467638226,14
BCTX,2.105095513592706,3
2158,2.1045267489711934,37
NRP,2.103803000056567,85
4080,2.1031149301825995,8
7353,2.102970297029703,65
SAVA,2.1021951814977133,19
NGMS,2.1021505281831994,5
STIM,2.1016948166266163,32
SDGR,2.101462582534457,72
AMPY,2.1009462735402615,30
VERB,2.1009174697217143,27
IDR,2.100840235116771,71
SELB,2.1007502454938285,38
VEON,2.1,64
TME,2.0990098075017816,17
WNW,2.0985916261515976,4
ID,2.0967743242409007,17
ADD,2.095890317005254,28
MRO,2.0950945265425758,114
LBPH,2.094786870163902,13
GTE,2.0945945676005264,88
LPTX,2.0914286204746793,3
AQMS,2.0909090005990265,9
DAKT,2.0900620991541397,63
6723,2.0896336710833983,62
BURU,2.0895521511716093,2
6777,2.0878378378378377,49
CVV,2.086294457199547,50
STRL,2.0860820328683882,109
YMAB,2.0858086572068784,7
PMTS,2.0844444698757596,84
SPOT,2.0840173568981624,29
NRDS,2.0839613229115583,9
DRD,2.083472457279688,116
GHL,2.082503542872848,3
SCTL,2.0821917002902173,26
9218,2.081818181818182,35
SPPI,2.0784312992176597,91
QD,2.0783459251114036,108
ALVO,2.078124998835847,44
IMPL,2.0767612539082094,6
2163,2.076560659599529,216
GGE,2.075342391932699,19
ACVA,2.074941380855647,59
SLS,2.0736842666636552,5
APE,2.0714286748243858,6
VRTV,2.0707352419411618,36
LAC,2.0696551881987473,42
EDN,2.0690845632410433,298
3608,2.069069069069069,144
4259,2.0689655172413794,41
XAIR,2.0685713631766185,28
7991,2.066666666666667,73
FNGG,2.066100708612888,64
FRO,2.0650933950569113,237
TSP,2.0639835267275473,5
XENE,2.0639269110967753,5
9867,2.063736263736264,4
AXLA,2.063636264295293,8
BTTX,2.063491932429837,3
TECL,2.062451769411408,63
NVIV,2.062344136092409,8
VSTM,2.0615942307541135,7
PEN,2.059645841463048,98
