Symbol,days,rr
UTSI,7,21.699999999999967
UNCY,18,28.39999999999994
PIK,64,16.099999999999987
6550,7,29.999999999999936
CNFR,7,21.999999999999964
GRIN,91,27.699999999999946
6967,3,24.399999999999956
ASRT,93,29.999999999999936
YQ,95,19.599999999999973
VINC,67,29.29999999999994
RCKT,22,29.999999999999936
ETNB,56,23.29999999999996
MDGL,87,29.19999999999994
NCNA,87,15.199999999999989
OCN,20,15.799999999999986
7375,13,23.999999999999957
ERJ,2,29.69999999999994
ARLP,2,29.999999999999936
XERS,10,25.49999999999995
EDU,5,19.99999999999997
OCUP,19,19.99999999999997
BTAI,11,29.999999999999936
INOD,7,29.999999999999936
WIMI,36,20.999999999999968
MPWR,3,29.899999999999935
ARL,12,21.699999999999967
4488,39,29.999999999999936
JKS,34,29.999999999999936
RNXT,24,29.999999999999936
SWAV,2,17.99999999999998
8040,2,12.899999999999997
5727,57,26.89999999999995
7685,2,29.999999999999936
7734,5,14.89999999999999
RLX,12,29.19999999999994
X,27,12.0
GLOP,23,29.999999999999936
XFOR,9,20.999999999999968
6337,19,22.899999999999963
3181,3,29.999999999999936
CRC,82,19.699999999999974
SMID,14,22.599999999999962
6789,32,29.999999999999936
6413,23,29.999999999999936
TNP,16,15.499999999999988
MNKD,8,28.99999999999994
STNG,23,13.399999999999995
COKE,2,29.799999999999937
TIPT,2,29.69999999999994
FLYW,38,29.999999999999936
AXLA,50,29.999999999999936
ATLX,3,29.999999999999936
HOLI,2,29.999999999999936
VNOM,2,26.39999999999995
STIX,12,29.999999999999936
STBX,24,29.999999999999936
RAVE,4,29.999999999999936
2721,2,29.999999999999936
ITCI,19,25.09999999999995
RES,94,16.499999999999986
WULF,11,29.999999999999936
8938,25,29.999999999999936
6579,8,29.499999999999936
4310,47,26.19999999999995
DGHI,10,19.99999999999997
FLNC,15,29.999999999999936
HIVE,39,27.299999999999947
6094,50,25.59999999999995
NEX,22,29.999999999999936
4772,51,21.999999999999964
TEDU,89,29.999999999999936
9104,4,29.999999999999936
TFII,2,25.59999999999995
9212,41,29.999999999999936
SCYX,34,29.999999999999936
ESTA,5,29.999999999999936
3810,99,29.999999999999936
NRP,9,29.999999999999936
BELFB,88,26.799999999999947
9252,100,22.899999999999963
SPT,81,29.999999999999936
8114,4,29.999999999999936
3777,47,29.999999999999936
6069,48,29.999999999999936
LVOXU,27,29.999999999999936
AMBO,100,13.099999999999996
DUOT,6,27.299999999999947
9308,47,29.999999999999936
UGP,26,28.499999999999943
ANEB,14,23.499999999999957
7048,2,29.999999999999936
TOUR,32,29.999999999999936
4435,82,29.999999999999936
NR,100,29.499999999999936
DVN,16,29.999999999999936
IGMS,89,29.999999999999936
EGLE,2,28.79999999999994
ORIC,89,29.999999999999936
CDZI,11,29.999999999999936
IMO,2,22.899999999999963
METX,99,12.0
SY,54,29.29999999999994
4235,94,27.399999999999945
4016,45,28.99999999999994
7080,9,29.999999999999936
ARC,36,29.999999999999936
MHUA,25,29.999999999999936
ICPT,99,17.59999999999998
CLFD,57,29.999999999999936
SGHT,5,21.399999999999967
ANVS,12,21.599999999999966
TGLS,2,29.999999999999936
7063,99,24.599999999999955
9211,36,29.999999999999936
4937,100,28.99999999999994
4933,3,26.299999999999947
TRNS,20,29.999999999999936
9553,41,21.199999999999967
8848,82,20.999999999999968
MRUS,6,29.999999999999936
7031,8,29.799999999999937
ACLS,81,16.299999999999983
PNRG,31,29.19999999999994
ORLA,13,29.999999999999936
MOR,16,14.99999999999999
QRTEB,72,27.999999999999943
COOK,20,29.999999999999936
3093,73,29.999999999999936
NAMS,19,29.999999999999936
CIVI,13,29.999999999999936
4422,80,29.999999999999936
WEYS,2,29.999999999999936
6030,3,29.999999999999936
SGTX,2,26.39999999999995
BEST,49,29.999999999999936
ZIM,2,29.69999999999994
PLG,7,29.999999999999936
ATHX,84,29.999999999999936
YTRA,2,28.99999999999994
7039,3,29.999999999999936
4193,23,29.999999999999936
SKIL,26,29.999999999999936
TMST,2,29.999999999999936
CCL,21,29.999999999999936
SMHI,28,29.999999999999936
TGS,2,20.19999999999997
CYTK,6,13.799999999999994
HHS,5,29.999999999999936
ANNX,3,25.59999999999995
LXU,74,12.799999999999997
IAUX,12,22.599999999999962
WHD,15,28.099999999999945
TXG,17,26.299999999999947
GNS,81,22.099999999999966
ELOX,10,29.999999999999936
LIZI,59,25.79999999999995
BANL,2,12.0
GSL,3,29.999999999999936
6236,73,29.499999999999936
IRNT,35,29.999999999999936
AFRI,95,29.999999999999936
BHVN,6,29.999999999999936
NVTS,20,29.999999999999936
AIRT,15,27.599999999999945
7381,20,21.999999999999964
3135,49,29.999999999999936
AMPH,20,27.999999999999943
6249,9,24.499999999999957
BLTE,3,29.999999999999936
MIRM,98,21.699999999999967
APLT,4,29.999999999999936
XTNT,9,29.999999999999936
1491,2,29.999999999999936
INSW,16,29.999999999999936
PRO,73,29.999999999999936
ABUS,25,26.999999999999947
PRQR,85,27.599999999999945
DLNG,55,29.999999999999936
EURN,14,25.89999999999995
TNK,97,28.29999999999994
9272,56,29.999999999999936
7826,2,19.99999999999997
3187,38,29.999999999999936
8783,31,29.999999999999936
CHCI,58,29.999999999999936
KRYS,74,29.999999999999936
4598,31,29.999999999999936
AGMH,30,29.999999999999936
NEON,74,27.399999999999945
STSA,2,19.49999999999997
ASYS,34,29.999999999999936
LTRPB,83,29.999999999999936
3986,96,29.999999999999936
BCAB,10,29.999999999999936
MYPS,3,15.199999999999989
CMPS,18,29.999999999999936
UIHC,67,16.399999999999984
PMTS,5,12.299999999999999
VTGN,91,29.999999999999936
AKBA,3,29.399999999999938
9560,58,29.999999999999936
DYN,25,29.899999999999935
ARWR,2,23.29999999999996
1514,99,26.39999999999995
AVID,20,29.999999999999936
COP,20,29.999999999999936
6182,7,29.999999999999936
PCVX,34,29.999999999999936
DKNG,89,29.999999999999936
ADPT,6,19.99999999999997
RMTI,86,27.89999999999994
ZCMD,31,14.99999999999999
TUYA,73,23.19999999999996
CDTX,25,27.999999999999943
FEMY,72,29.999999999999936
6430,12,28.499999999999943
GRIL,65,16.499999999999986
STR,17,29.999999999999936
ONTO,40,29.999999999999936
YI,82,29.999999999999936
PRLD,15,27.799999999999944
SKY,40,29.999999999999936
BKTI,71,29.999999999999936
7066,48,18.299999999999976
EVC,20,29.999999999999936
6866,5,29.999999999999936
ANY,2,25.49999999999995
YSG,69,26.89999999999995
3094,95,26.89999999999995
6058,3,29.999999999999936
DNMR,18,23.39999999999996
4263,37,27.599999999999945
4398,10,28.29999999999994
AGE,70,28.59999999999994
3994,8,27.999999999999943
BELFA,88,29.999999999999936
PLAY,97,28.79999999999994
TIO,37,29.999999999999936
XNET,79,20.29999999999997
RELL,2,24.09999999999996
RVPH,93,26.799999999999947
BTTX,15,29.999999999999936
NERV,6,26.49999999999995
RENT,68,27.999999999999943
PRVA,2,29.999999999999936
FTCI,57,25.89999999999995
6532,15,19.099999999999973
TTNP,63,29.999999999999936
PFIE,29,29.999999999999936
7433,40,29.999999999999936
6125,3,29.999999999999936
BLPH,68,23.999999999999957
NXE,82,25.89999999999995
3660,30,29.29999999999994
OSCR,19,25.79999999999995
9227,56,17.69999999999998
VKTX,19,16.799999999999983
RYTM,100,29.099999999999937
CATX,24,29.999999999999936
OLN,2,13.499999999999995
5741,2,29.999999999999936
CUEN,69,29.499999999999936
9552,7,12.599999999999998
PRFX,14,29.999999999999936
RYAN,10,24.499999999999957
HIMS,3,29.999999999999936
RVYL,9,25.99999999999995
NE,41,26.999999999999947
4932,49,16.399999999999984
9127,38,29.999999999999936
EVH,52,22.29999999999996
WALD,31,23.999999999999957
GASS,14,14.499999999999991
PANL,15,27.799999999999944
VEON,99,28.99999999999994
USEA,44,29.999999999999936
VRCA,34,25.699999999999953
1783,73,29.999999999999936
AXGN,14,28.79999999999994
COGT,29,29.999999999999936
2986,2,29.999999999999936
AXNX,2,12.299999999999999
TRGP,10,29.099999999999937
TME,98,29.999999999999936
LXRX,63,24.699999999999953
INNV,19,17.59999999999998
FTNT,2,29.599999999999937
AKAN,95,29.999999999999936
9110,2,29.69999999999994
INDI,3,29.999999999999936
6193,3,20.099999999999973
XENE,5,12.299999999999999
EOG,22,29.999999999999936
HROW,5,19.599999999999973
BYRN,79,29.69999999999994
BEEM,90,22.499999999999964
MXC,20,29.999999999999936
7859,49,29.29999999999994
IMRX,28,28.79999999999994
TDUP,15,29.099999999999937
FENC,80,25.89999999999995
BVH,7,17.79999999999998
CNET,98,29.999999999999936
DY,81,29.999999999999936
ADD,23,29.999999999999936
2998,34,29.999999999999936
SHLS,36,29.999999999999936
PXS,99,28.59999999999994
NXGL,3,29.999999999999936
COHU,36,26.599999999999948
9888,57,29.999999999999936
CELC,24,29.999999999999936
ERNA,92,29.999999999999936
BEAT,98,29.999999999999936
AGL,5,29.29999999999994
SAIA,81,23.499999999999957
GPRK,92,25.399999999999952
SWAG,71,29.999999999999936
NTES,27,15.199999999999989
7868,73,29.999999999999936
ESPR,98,29.999999999999936
DPSI,40,13.499999999999995
BPTS,32,12.1
2778,51,29.999999999999936
SSNT,94,29.999999999999936
EDTK,82,29.999999999999936
ABG,15,22.199999999999964
F,28,23.59999999999996
4616,12,29.999999999999936
DNUT,2,29.999999999999936
APCX,99,29.999999999999936
CDMO,5,29.999999999999936
FRSH,83,29.999999999999936
OCUL,61,29.999999999999936
LNW,7,19.49999999999997
6658,36,20.999999999999968
3035,3,29.999999999999936
2585,15,28.99999999999994
ITUB,20,29.999999999999936
ERYP,60,29.999999999999936
ROIV,6,25.79999999999995
1992,94,12.299999999999999
CPS,7,29.999999999999936
GGB,14,25.199999999999953
ACER,73,27.999999999999943
STAA,3,29.999999999999936
RKT,7,28.89999999999994
QUAD,6,29.999999999999936
GFS,2,29.999999999999936
BABA,22,24.499999999999957
LVO,27,29.999999999999936
3030,2,29.999999999999936
DXR,22,19.399999999999974
INZY,15,18.399999999999977
SILK,3,14.399999999999991
SBIG,57,29.999999999999936
TITN,2,16.599999999999984
WRAP,96,23.29999999999996
6638,3,18.299999999999976
FEDU,11,26.999999999999947
SGRP,55,29.999999999999936
4260,40,29.999999999999936
DMLP,41,13.199999999999996
HFBL,3,24.599999999999955
OPEN,14,29.999999999999936
MOND,93,23.09999999999996
4478,25,29.999999999999936
2987,41,25.99999999999995
EAT,57,27.599999999999945
BMEA,88,28.29999999999994
UAL,7,29.999999999999936
3923,31,29.499999999999936
6323,5,22.899999999999963
UCL,92,25.79999999999995
BAOS,12,29.999999999999936
9827,7,15.599999999999987
9360,88,16.599999999999984
LWAY,18,28.59999999999994
FCX,2,29.999999999999936
2980,90,22.99999999999996
NXPL,4,26.299999999999947
4591,99,29.999999999999936
VALU,81,29.999999999999936
BSVN,36,29.999999999999936
5341,96,29.999999999999936
INSP,82,29.999999999999936
FNGR,11,29.899999999999935
ACCD,37,16.499999999999986
TMC,51,29.999999999999936
7906,3,27.199999999999946
GRI,47,29.999999999999936
SE,7,28.89999999999994
RRR,8,29.999999999999936
4381,25,29.999999999999936
VZIO,71,29.999999999999936
CRVS,20,23.29999999999996
HOOD,66,20.699999999999967
VRAR,50,18.899999999999977
5721,58,29.999999999999936
MDJH,40,29.999999999999936
CRKN,2,29.999999999999936
SQL,4,29.999999999999936
2424,3,21.29999999999997
ARLO,15,15.599999999999987
ACGN,85,29.999999999999936
IRMD,4,22.099999999999966
ELF,7,29.399999999999938
LOV,2,29.999999999999936
NVDA,29,26.599999999999948
NVVE,16,21.499999999999964
WDS,5,29.999999999999936
VOR,29,22.99999999999996
CCLP,65,24.299999999999955
6088,40,29.999999999999936
TGL,34,29.999999999999936
4837,46,29.899999999999935
7093,54,29.999999999999936
BTBD,70,17.59999999999998
RVSN,38,29.999999999999936
NCTY,69,29.999999999999936
ALDX,10,29.999999999999936
ALKS,6,29.999999999999936
CLS,7,20.79999999999997
OABI,8,28.99999999999994
SCLX,15,29.999999999999936
AMS,42,29.999999999999936
6696,9,18.999999999999975
7625,3,29.999999999999936
4594,99,28.59999999999994
KEX,15,29.999999999999936
BVN,22,29.999999999999936
DXCM,37,29.29999999999994
5939,8,29.999999999999936
LBRT,96,29.999999999999936
7298,2,28.59999999999994
CUK,21,29.999999999999936
PAM,3,29.999999999999936
YRD,86,29.999999999999936
PTON,38,29.999999999999936
DRTT,75,29.29999999999994
GP,3,25.99999999999995
SWN,20,29.999999999999936
EDRY,2,12.0
9254,3,29.999999999999936
ELP,14,27.299999999999947
4384,55,29.999999999999936
CNK,6,29.999999999999936
R,2,22.79999999999996
CCLD,54,22.099999999999966
CYAD,47,29.999999999999936
IMRN,3,29.999999999999936
3962,25,29.999999999999936
4192,94,29.999999999999936
3664,63,29.999999999999936
GAMB,22,29.999999999999936
IGT,5,29.999999999999936
TRHC,11,16.199999999999985
SVT,14,18.999999999999975
VIVK,21,12.999999999999996
IDN,69,26.999999999999947
LSCC,2,29.999999999999936
MTDR,20,22.199999999999964
SKYX,97,26.09999999999995
SMMT,89,29.999999999999936
DMTK,57,16.899999999999984
GOGL,2,24.499999999999957
CRK,14,29.599999999999937
SHCO,93,12.299999999999999
SOPH,77,29.999999999999936
PRTA,14,24.599999999999955
6768,2,17.59999999999998
SONM,9,14.299999999999992
ARES,40,28.89999999999994
9726,95,18.699999999999974
MGI,2,29.999999999999936
AXR,18,21.199999999999967
8075,2,25.299999999999955
AMOT,7,29.999999999999936
8136,22,28.39999999999994
GERN,2,20.999999999999968
APWC,56,29.999999999999936
IDAI,8,29.999999999999936
7004,73,24.899999999999956
2307,47,21.499999999999964
3661,50,14.69999999999999
