,0
639,6027
640,6062
641,6028
642,6088
643,6035
644,6080
645,6058
646,6055
647,6098
648,6183
649,6178
650,6197
651,6200
652,6544
653,6532
654,7085
655,8876
656,9603
657,9616
658,9678
659,9735
660,9716
661,9743
662,5110
663,5108
664,5101
665,5201
666,5214
667,5105
668,5202
669,5233
670,5232
671,5332
672,5333
673,5334
674,5393
675,5301
676,7164
677,8439
678,7198
679,8511
680,8572
681,8253
682,8593
683,8591
684,8515
685,8585
686,8771
687,8697
688,8570
689,7832
690,7867
691,7911
692,7912
693,7936
694,7951
695,7974
696,7915
697,7984
698,7956
699,7994
