Symbol,Error,Time
2978,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:28.559234
3565,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:28.752783
2321,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:28.902144
3138,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:29.000406
3042,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:29.166849
3669,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:29.364380
2484,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:29.534830
3632,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:29.714305
3689,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:29.745390
3679,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:29.912831
3672,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:29.945920
3698,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.068246
3652,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:30.207620
3667,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.262766
3655,"(""Could not convert '-' with type str: tried to convert to int64"", 'Conversion failed for column saimucf with type object')",2024-07-26 14:04:30.304876
3666,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.391104
3665,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.512426
3694,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.541508
3673,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.584619
3678,"(""Expected bytes, got a 'int' object"", 'Conversion failed for column eigyoucf with type object')",2024-07-26 14:04:30.673856
