symbol,close,div,divPer
AEG,6.0,0.178048,0.02967466666666667
AAT,26.96,0.335,0.012425816023738873
KIM,23.1,0.24,0.010389610389610388
RYI,18.28,0.1875,0.010257111597374179
PFG,81.19,0.72,0.008868087202857495
JXN,85.67,0.7,0.008170888292284345
FNB,14.81,0.12,0.008102633355840648
MOS,27.45,0.21,0.007650273224043716
HWC,53.2,0.4,0.007518796992481203
ONB,19.54,0.14,0.007164790174002048
ARIS,16.01,0.105,0.0065584009993753896
NSP,92.09,0.6,0.006515365403409707
HRB,63.01,0.375,0.005951436279955563
QCOM,163.22,0.85,0.005207695135400073
SLM,21.7,0.11,0.005069124423963134
LZB,41.13,0.2,0.004862630683199611
NEM,52.3,0.25,0.004780114722753346
CBSH,63.68,0.27,0.004239949748743719
DNB,12.0,0.05,0.004166666666666667
PWP,18.56,0.07,0.0037715517241379316
STE,243.15,0.57,0.0023442319555829734
TER,124.54,0.12,0.0009635458487233017
VNT,33.78,0.025,0.0007400828892835998
