symbol,close,div,divPer
AMBP,3.58,0.1,0.02793296089385475
CIVI,53.0,1.02,0.019245283018867926
NE,34.35,0.5,0.01455604075691412
REG,75.18,0.67,0.00891194466613461
MCY,59.19,0.3175,0.005364081770569353
MDU,25.04,0.13,0.005191693290734825
FFIN,36.02,0.18,0.004997223764575235
NXPI,225.19,1.014,0.0045028642479683825
BR,214.15,0.88,0.004109269203829092
TSM,162.11,0.625999,0.003861569304793041
NSSC,36.57,0.125,0.003418102269619907
FNV,121.51,0.36,0.0029627191177680847
BN,47.3,0.08,0.0016913319238900635
AGI,18.74,0.025,0.0013340448239060835
BDC,99.19,0.05,0.0005040830728904124
NVDA,107.56,0.01,9.297136481963555e-05
