symbol,close,div,divPer
ATAT,19.65,0.45,0.02290076335877863
HBAN,14.39,0.155,0.010771369006254344
VVR,4.39,0.043,0.00979498861047836
GLO,5.33,0.048,0.00900562851782364
GDEN,32.58,0.25,0.007673419275629221
UTG,31.15,0.19,0.0060995184590690215
VKI,9.31,0.0559,0.006004296455424275
CINF,135.82,0.81,0.00596377558533353
JJSF,167.06,0.78,0.004668981204357716
LRCX,769.72,2.3,0.0029880995686743226
APH,63.58,0.165,0.002595155709342561
ECL,250.54,0.57,0.0022750858146403765
PHM,139.54,0.2,0.0014332807797047442
BSY,49.57,0.06,0.0012104095218882388
EXP,270.68,0.25,0.000923599822668834
VRT,85.57,0.025,0.0002921584667523665
