symbol,div,paymentDate
FOXA,0.27,2024-09-25
FOX,0.27,2024-09-25
LIN,1.39,2024-09-18
ODFL,0.26,2024-09-18
OPOF,0.14,2024-09-27
OBT,0.23,2024-09-16
PAHC,0.12,2024-09-25
RMBI,0.14,2024-09-18
TXRH,0.61,2024-09-24
LUV,0.18,2024-09-25
CI,1.4,2024-09-19
PVH,0.0375,2024-09-25
HAL,0.17,2024-09-25
SLB,0.275,2024-10-10
AVY,0.88,2024-09-18
ALV,0.68,2024-09-23
NPO,0.3,2024-09-18
BBD,0.003465,2024-10-08
EPC,0.15,2024-10-03
BBDC,0.26,2024-09-11
FF,0.06,2024-09-18
LEA,0.77,2024-09-23
WSR,0.04125,2024-09-12
BBDO,0.00315,2024-10-08
ICL,0.04884,2024-09-18
PJT,0.25,2024-09-18
XYF,0.17,2024-09-27
TTNDY,0.673232,2024-09-30
HLDCY,0.051352,2024-09-24
JCYGY,0.51,2024-10-11
HKXCY,0.509304,2024-10-02
ILKAY,0.107936,2024-10-15
SBSNY,0.54589,2024-09-30
MNILY,0.128849,2024-10-03
OTTW,0.11,2024-09-18
NETTF,0.087,2024-09-17
