symbol,div,paymentDate
AMKR,0.07875,2024-09-23
ADI,0.92,2024-09-17
BPYPN,0.359375,2024-09-27
BPYPM,0.390625,2024-09-27
BPYPO,0.3984375,2024-09-27
BPYPP,0.40625,2024-09-27
CASS,0.3,2024-09-13
DOYU,9.76,2024-08-30
EBC,0.11,2024-09-16
GCMG,0.11,2024-09-17
HPK,0.04,2024-09-25
ITIC,0.46,2024-09-16
LCNB,0.22,2024-09-16
MOFG,0.2425,2024-09-17
PTEN,0.08,2024-09-16
PEBK,0.19,2024-09-13
QRTEP,2.0,2024-09-16
RCKY,0.155,2024-09-17
SAFT,0.9,2024-09-13
SSNC,0.25,2024-09-16
TCBIO,0.359375,2024-09-16
TW,0.1,2024-09-16
WEN,0.25,2024-09-17
JWN,0.19,2024-09-18
MCD,1.67,2024-09-17
SWK,0.82,2024-09-17
LMT,3.15,2024-09-27
NOC,2.06,2024-09-18
BALL,0.2,2024-09-17
UHS,0.2,2024-09-17
K,0.57,2024-09-13
HIG,0.47,2024-10-02
PII,0.66,2024-09-16
IPG,0.33,2024-09-17
NKE,0.37,2024-10-01
AIN,0.26,2024-10-07
MLM,0.79,2024-09-30
AIZ,0.72,2024-09-30
MTB,1.35,2024-09-30
BWA,0.11,2024-09-16
SLGN,0.19,2024-09-17
ASB,0.22,2024-09-16
EFX,0.39,2024-09-13
NC,0.2275,2024-09-16
O,0.263,2024-09-13
SF,0.42,2024-09-17
TPL,1.17,2024-09-17
FCT,0.097,2024-09-16
FAM,0.06,2024-09-16
RF,0.25,2024-10-01
IGD,0.05,2024-09-16
FMY,0.075,2024-09-16
IGA,0.085,2024-09-16
IAE,0.065,2024-09-16
BIV,0.242915,2024-09-05
BLV,0.26548,2024-09-05
BSV,0.229286,2024-09-05
ITUB,0.0030736,2024-10-08
IDE,0.1,2024-09-16
BF.B,0.2178,2024-10-01
IHD,0.055,2024-09-16
ITT,0.319,2024-09-30
UI,0.6,2024-09-09
NGVC,0.1,2024-09-18
BERY,0.275,2024-09-17
BCC,5.0,2024-09-16
BCC,0.21,2024-09-16
NIC,0.28,2024-09-16
FPF,0.1375,2024-09-16
CWEN,0.4171,2024-09-16
NVGS,0.05,2024-09-24
CWEN.A,0.4171,2024-09-16
LOB,0.03,2024-09-17
HLI,0.57,2024-09-15
VTEB,0.1314,2024-09-05
HBB,0.115,2024-09-13
BF.A,0.2178,2024-10-01
CTVA,0.17,2024-09-17
HAFN,0.4049,2024-09-13
FTHY,0.13,2024-09-25
NTST,0.21,2024-09-13
CION,0.36,2024-09-17
VTES,0.2535,2024-09-05
AMFC,0.06,2024-09-16
BSPA,0.33,2024-10-01
CSBB,0.4,2024-09-17
IAUGY,0.28662,2024-10-11
WYNMY,0.081846,2024-09-27
EBOSY,0.028478416,2024-10-03
EBOSY,0.1613725,2024-10-03
DMZPY,0.100959,2024-10-10
SSLZY,0.13,2024-10-02
RFPFL,0.222014,2024-09-16
PMDIY,0.023292,2024-10-10
FAHE,35.0,2024-09-13
MHGVY,0.121621,2024-09-16
HLTEF,0.3016,2024-09-19
DBIN,0.3,2024-09-16
