symbol,close,div,divPer
LX,1.74,0.072,0.041379310344827586
TCPC,9.03,0.34,0.037652270210409754
OCSL,16.44,0.55,0.03345498783454988
NMFC,12.22,0.34,0.027823240589198037
GAB,5.5,0.15,0.02727272727272727
EVC,1.96,0.05,0.025510204081632654
TSLX,21.2,0.46,0.021698113207547172
VTS,24.27,0.525,0.021631644004944377
WU,11.85,0.235,0.019831223628691982
MO,52.75,1.02,0.01933649289099526
MOV,18.39,0.35,0.019032082653616094
BCAT,16.63,0.287,0.01725796752856284
ECAT,17.6,0.30116,0.017111363636363633
OXLC,5.34,0.09,0.016853932584269662
UHT,45.41,0.73,0.01607575423915437
UGI,23.41,0.375,0.016018795386586928
CLM,7.6,0.1086,0.014289473684210527
CRF,7.95,0.1037,0.013044025157232703
BIGZ,7.36,0.08665,0.011773097826086957
ARR,20.6,0.24,0.011650485436893203
BSTZ,18.72,0.21395,0.011428952991452992
PNNT,7.0,0.08,0.011428571428571429
BMEZ,15.96,0.17602,0.011028822055137845
PLOW,27.09,0.295,0.010889627168696936
HMN,33.66,0.34,0.010101010101010104
DTM,75.52,0.735,0.009732521186440678
EXR,177.28,1.62,0.009138086642599278
RYN,31.49,0.285,0.009050492219752302
GEF,59.94,0.54,0.00900900900900901
PFLT,11.53,0.1025,0.00888985255854293
UCB,28.42,0.24,0.008444757213230118
HI,26.35,0.2225,0.008444022770398482
CRBG,27.51,0.23,0.008360596146855689
DTE,124.49,1.02,0.008193429191099687
NBXG,12.26,0.1,0.008156606851549756
EMN,99.62,0.81,0.008130897410158603
FNF,59.33,0.48,0.008090342154053598
JRVR,6.38,0.05,0.007836990595611286
HYT,10.1,0.0779,0.007712871287128713
AGM,184.84,1.4,0.007574118156243237
BTZ,11.15,0.0839,0.007524663677130045
PLD,130.56,0.96,0.007352941176470588
BST,34.4,0.25,0.007267441860465116
BANC,13.85,0.1,0.007220216606498195
GGN,4.2,0.03,0.007142857142857143
STC,71.5,0.5,0.006993006993006993
RNST,31.9,0.22,0.006896551724137932
BDJ,8.39,0.0562,0.006698450536352801
MRK,115.08,0.77,0.006690997566909976
MMI,38.46,0.25,0.006500260010400416
ARES,143.84,0.93,0.00646551724137931
CNNE,18.94,0.12,0.006335797254487856
IRM,116.34,0.715,0.006145779611483582
PKG,208.42,1.25,0.005997505037904232
FIHL,17.37,0.1,0.0057570523891767415
BCX,9.03,0.0518,0.005736434108527132
AIG,73.18,0.4,0.005465974309920743
EFSC,50.19,0.27,0.005379557680812911
CPK,120.57,0.64,0.005308119764452186
SYBT,58.41,0.31,0.005307310392056155
EG,379.05,2.0,0.005276348766653475
FG,40.2,0.21,0.005223880597014925
BBN,18.37,0.0929,0.0050571584104518235
MEOH,37.39,0.185,0.0049478470179192295
PARA,10.25,0.05,0.004878048780487805
HOG,35.47,0.1725,0.004863264730758387
GDV,23.58,0.11,0.004664970313825276
RRR,53.63,0.25,0.004661570016781652
NEU,552.78,2.5,0.0045225948840406675
MQY,13.08,0.058,0.004434250764525994
HES,123.58,0.5,0.004045962129794465
MTH,195.56,0.75,0.003835140110452035
UNH,588.42,2.1,0.003568879371877231
MRTN,16.99,0.06,0.0035314891112419072
ESRT,10.3,0.035,0.0033980582524271844
HLNE,150.0,0.49,0.0032666666666666664
NX,26.91,0.08,0.0029728725380899295
ICE,161.14,0.45,0.002792602705721733
PECO,38.35,0.1025,0.002672750977835723
CNMD,76.92,0.2,0.0026001040041601664
ENS,97.88,0.24,0.002451982018798529
KBR,61.59,0.15,0.002435460301997077
PARAA,21.71,0.05,0.0023030861354214646
EDR,27.63,0.06,0.002171552660152009
BTT,21.58,0.0464,0.002150139017608897
OLED,203.1,0.4,0.0019694731659281144
TDS,23.18,0.04,0.001725625539257981
HCA,391.67,0.66,0.0016850920417698573
AME,166.89,0.28,0.001677751812571155
RICK,45.01,0.07,0.0015552099533437016
UTZ,17.52,0.011,0.0006278538812785388
