symbol,div,paymentDate
AAON,0.08,2024-09-27
AMSF,0.37,2024-09-20
BOTJ,0.1,2024-09-20
BKNG,8.75,2024-09-30
CHRW,0.62,2024-10-01
EXPO,0.28,2024-09-20
FRME,0.35,2024-09-20
FFIC,0.22,2024-09-27
FTAIO,0.5,2024-09-16
FTAIN,0.51563,2024-09-16
FTAIP,0.51563,2024-09-16
FTAIM,0.59375,2024-09-16
HUBG,0.125,2024-09-25
ICFI,0.14,2024-10-11
III,0.045,2024-10-04
JKHY,0.55,2024-09-27
MBWM,0.36,2024-09-18
NAVI,0.16,2024-09-20
NTES,0.435,2024-09-20
NTRS,0.75,2024-10-01
PEP,1.355,2024-09-30
STRA,0.6,2024-09-16
TCBK,0.33,2024-09-20
TRST,0.36,2024-10-01
UNTY,0.13,2024-09-20
VBFC,0.18,2024-09-13
VABK,0.33,2024-09-20
WSBC,0.36,2024-10-01
CIX,0.3,2024-09-17
AJG,0.6,2024-09-20
NL,0.08,2024-09-24
MAIN,0.245,2024-09-13
TT,0.84,2024-09-30
KMB,1.22,2024-10-02
LHX,1.16,2024-09-20
FLO,0.24,2024-09-20
ORI,0.265,2024-09-16
MLI,0.2,2024-09-20
GPC,1.0,2024-10-01
VHI,0.08,2024-09-26
UNF,0.33,2024-09-27
PUK,0.1368,2024-10-23
KRO,0.05,2024-09-19
BAC,0.26,2024-09-27
GM,0.12,2024-09-19
KNX,0.16,2024-09-23
AL,0.21,2024-10-09
OUT,0.3,2024-09-27
NYCB,0.01,2024-09-17
TGNA,0.125,2024-10-01
GOLF,0.215,2024-09-20
LBRT,0.07,2024-09-20
AMCR,0.125,2024-09-26
WDS,0.69,2024-10-03
FNFI,0.06,2024-09-20
EXSR,1.3,2024-09-20
CMXHF,1.45,2024-10-02
FPAFY,0.065419,2024-10-07
HFBK,0.23,2024-09-27
SHGKY,0.061684,2024-10-04
WTBFB,1.85,2024-09-13
CYFL,0.24,2024-09-20
GCCO,5.0,2024-09-27
NDBKY,0.416666,2024-09-19
WTBFA,1.85,2024-09-13
CMUV,0.12,2024-09-30
GGGSY,0.068919,2024-10-18
AMIGY,0.256396,2024-10-21
AMIGY,0.667669,2024-10-21
KGSPY,0.168612,2024-10-28
OROVY,3.08122,2024-10-30
WYGPY,0.13555,2024-10-15
OGFGY,0.14576,2024-10-11
DSSMY,0.564016,2024-10-21
AVVIY,0.285377,2024-10-23
MOPHY,0.177804,2024-10-15
ICAGY,0.067147,2024-09-16
COIHY,0.263505,2024-10-23
FNFPA,0.07,2024-09-20
BKGFY,0.394883,2024-10-07
