symbol,close,div,divPer
BBDC,10.08,0.26,0.025793650793650796
ICL,4.48,0.04884,0.010901785714285713
FOX,38.39,0.27,0.007033081531648867
ALV,102.67,0.68,0.006623161585662804
LEA,116.65,0.77,0.0066009429918559796
FOXA,41.37,0.27,0.006526468455402466
SLB,43.16,0.275,0.006371640407784987
LUV,29.6,0.18,0.0060810810810810806
PAHC,21.0,0.12,0.005714285714285714
HAL,30.55,0.17,0.005564648117839607
AVY,221.55,0.88,0.003972015346422929
CI,361.81,1.4,0.0038694342334374392
EPC,40.22,0.15,0.0037294878170064643
TXRH,168.75,0.61,0.0036148148148148146
WSR,13.42,0.04125,0.003073770491803279
LIN,478.25,1.39,0.0029064296915838994
PJT,122.95,0.25,0.0020333468889792597
NPO,160.83,0.3,0.0018653236336504382
ODFL,192.8,0.26,0.0013485477178423236
BBD,2.75,0.003465,0.00126
PVH,96.03,0.0375,0.0003905029678225554
