symbol,close,div,divPer
GMRE,10.14,0.21,0.02071005917159763
DIN,30.29,0.51,0.01683724001320568
PLTK,8.19,0.1,0.012210012210012212
ALEX,19.84,0.2225,0.011214717741935484
AHR,23.79,0.25,0.010508617065994116
ROIC,15.72,0.15,0.009541984732824426
IGR,6.53,0.06,0.009188361408882082
QSR,69.25,0.58,0.008375451263537906
FAF,67.02,0.54,0.008057296329453895
ETW,8.46,0.0664,0.00784869976359338
EXG,8.46,0.0657,0.007765957446808509
ETV,13.56,0.0993,0.007323008849557522
ETY,14.29,0.0992,0.006941917424772568
OMC,102.61,0.7,0.00682194717863756
EVT,24.15,0.1646,0.006815734989648033
ETG,19.0,0.1293,0.006805263157894737
RBCAA,66.78,0.407,0.006094639113507038
GOOD,16.53,0.1,0.006049606775559589
GAIN,13.25,0.08,0.0060377358490566035
MAIN,50.4,0.3,0.005952380952380952
DKS,212.58,1.1,0.005174522532693574
LTC,37.5,0.19,0.005066666666666666
EIM,10.84,0.0508,0.004686346863468634
UTMD,67.22,0.3,0.0044629574531389465
HCKT,26.58,0.11,0.004138449962377728
IFF,103.46,0.4,0.003866228494104002
ALLE,143.42,0.48,0.003346813554594896
LAND,14.5,0.0467,0.003220689655172414
GSM,4.2,0.013,0.003095238095238095
VST,91.75,0.2195,0.0023923705722070847
RCL,169.6,0.4,0.002358490566037736
