symbol,div,paymentDate
AFCG,0.33,2024-10-15
AGNC,0.12,2024-10-09
DOX,0.479,2024-10-25
ATNI,0.24,2024-10-04
BANFP,0.45,2024-10-15
BANF,0.46,2024-10-15
CPHC,0.07,2024-10-14
CGBD,0.47,2024-10-17
REFI,0.47,2024-10-15
CCAP,0.42,2024-10-15
CVBF,0.2,2024-10-14
FITB,0.37,2024-10-15
FBNC,0.22,2024-10-25
INBK,0.06,2024-10-15
FSV,0.25,2024-10-07
FULTP,0.32025,2024-10-15
GSBC,0.4,2024-10-15
HTLFP,0.4375,2024-10-15
HST,0.2,2024-10-15
INDB,0.57,2024-10-04
ISTR,0.105,2024-10-31
LBRDP,0.4375,2024-10-15
LECO,0.71,2024-10-15
LINE,0.38,2024-10-21
MDLZ,0.47,2024-10-14
MPWR,1.25,2024-10-15
NYMT,0.2,2024-10-28
SQFTP,0.19531,2024-10-15
STLD,0.46,2024-10-11
SUNS,0.21,2024-10-15
ENSG,0.06,2024-10-31
TOWN,0.25,2024-10-11
TRIN,0.51,2024-10-15
WAFDP,0.3046875,2024-10-15
WTW,0.88,2024-10-15
XRX,0.25,2024-10-31
YORW,0.2108,2024-10-15
NHC,0.61,2024-11-01
NBH,0.05417,2024-10-15
BXMT,0.47,2024-10-15
ESS,2.45,2024-10-11
DDS,0.25,2024-11-04
ZBH,0.24,2024-10-31
VRE,0.07,2024-10-16
BEN,0.31,2024-10-11
USB,0.5,2024-10-15
SCS,0.1,2024-10-15
AKR,0.19,2024-10-15
GNTY,0.24,2024-10-09
KRC,0.54,2024-10-09
CDP,0.295,2024-10-17
SYK,0.8,2024-10-31
ADC,0.25,2024-10-15
OFG,0.25,2024-10-15
EPR,0.285,2024-10-15
PCG,0.01,2024-10-15
LXP,0.13,2024-10-15
LII,1.15,2024-10-15
DE,1.47,2024-11-08
EGP,1.4,2024-10-15
NFG,0.515,2024-10-15
AXS,0.44,2024-10-18
FR,0.37,2024-10-21
NLY,0.65,2024-10-31
RHP,1.1,2024-10-15
GVA,0.13,2024-10-15
BHE,0.17,2024-10-11
FMC,0.58,2024-10-17
WPC,0.875,2024-10-15
AVB,1.7,2024-10-15
OBDC,0.37,2024-10-15
WKC,0.17,2024-10-16
HUM,0.885,2024-10-25
ITW,1.5,2024-10-11
BXP,0.98,2024-10-31
SUI,0.94,2024-10-15
IDT,0.05,2024-10-07
SLG,0.25,2024-10-15
ABCB,0.15,2024-10-07
CIM,0.37,2024-10-31
ARE,1.3,2024-10-15
BHLB,0.18,2024-10-10
TSI,0.06,2024-10-11
CPT,1.03,2024-10-17
CSR,0.75,2024-10-10
TRAK,0.0165,2024-11-13
TTC,0.36,2024-10-11
MTR,0.003733319,2024-10-31
CRT,0.10223,2024-10-15
