symbol,close,div,divPer
CHMI,3.76,0.15,0.0398936170212766
YRD,5.07,0.2,0.03944773175542406
TRIN,14.02,0.51,0.03637660485021398
ACRE,7.35,0.25,0.034013605442176874
GHG,3.05,0.1,0.03278688524590164
RC,7.9,0.25,0.03164556962025316
NLY,20.63,0.65,0.031507513330101794
AFCG,10.58,0.33,0.03119092627599244
GSBD,14.44,0.45,0.031163434903047092
LFT,2.6,0.08,0.030769230769230767
NYMT,6.56,0.2,0.030487804878048783
REFI,16.02,0.47,0.02933832709113608
BRSP,5.85,0.16,0.027350427350427354
GHI,13.6,0.37,0.027205882352941177
MSD,8.09,0.22,0.02719406674907293
CGBD,17.55,0.47,0.026780626780626777
ARI,9.4,0.25,0.026595744680851064
EDD,5.17,0.135,0.026112185686653775
BXSL,30.2,0.77,0.025496688741721854
NCDL,17.95,0.45,0.02506963788300836
MSDL,20.02,0.5,0.024975024975024976
KBDC,16.23,0.4,0.024645717806531117
OBDC,15.05,0.37,0.02458471760797342
BCSF,17.14,0.42,0.024504084014002333
MITT,7.79,0.19,0.024390243902439025
OBDE,14.48,0.35,0.02417127071823204
ONL,4.16,0.1,0.02403846153846154
BXMT,19.63,0.47,0.023942944472745798
XRX,10.69,0.25,0.023386342376052388
STWD,20.78,0.48,0.023099133782483156
CIM,16.19,0.37,0.02285361334156887
CCAP,18.95,0.42,0.02216358839050132
KYN,11.24,0.24,0.021352313167259784
BGS,9.37,0.19,0.020277481323372468
KREF,12.55,0.25,0.0199203187250996
LADR,11.93,0.23,0.019279128248114
AMEN,531.0,10.0,0.018832391713747645
LBRDP,24.77,0.4375,0.01766249495357287
BANFP,25.86,0.45,0.01740139211136891
HTLFP,25.48,0.4375,0.01717032967032967
PK,14.96,0.25,0.01671122994652406
FULTP,20.1,0.32025,0.01593283582089552
WAFDP,19.22,0.3046875,0.015852627471383975
PKST,14.22,0.225,0.015822784810126583
RLJ,9.5,0.15,0.015789473684210527
BNL,18.96,0.29,0.015295358649789028
BEN,21.04,0.31,0.01473384030418251
BHR,3.395,0.05,0.014727540500736378
SUNS,14.37,0.21,0.014613778705636743
CMSC,25.15,0.3671875,0.014599900596421472
ORC,8.22,0.12,0.0145985401459854
WPC,63.01,0.875,0.013886684653229647
KRC,39.04,0.54,0.013831967213114756
IIPR,137.59,1.9,0.0138091431063304
ENO,24.93,0.34375,0.013788608102687526
EMP,23.3,0.30625,0.013143776824034335
CMTG,7.71,0.1,0.01297016861219196
LXP,10.2,0.13,0.012745098039215688
SQFTP,15.5,0.19531,0.012600645161290324
DTB,21.77,0.2734375,0.012560289389067524
GPJA,25.17,0.3125,0.012415574096146204
BXP,80.83,0.98,0.012124211307682792
AQN,5.48,0.065,0.011861313868613138
TSI,5.12,0.06,0.01171875
FCPT,29.58,0.345,0.011663286004056795
EARN,6.99,0.08,0.011444921316165951
AGNC,10.52,0.12,0.011406844106463879
CVBF,17.72,0.2,0.011286681715575623
HST,18.24,0.2,0.010964912280701756
USB,45.78,0.5,0.010921799912625601
DEI,17.57,0.19,0.010813887307911212
KW,11.16,0.12,0.01075268817204301
GBLI,32.75,0.35,0.010687022900763359
ARE,122.06,1.3,0.010650499754219236
PLYM,22.91,0.24,0.010475774770842427
CSR,72.01,0.75,0.010415220108318288
RHP,109.09,1.1,0.010083417361811349
