symbol,div,paymentDate
EA,0.19,2024-09-18
ACT,0.185,2024-09-09
HEES,0.275,2024-09-13
PSEC,0.06,2024-09-19
SPNS,0.29,2024-09-12
RBA,0.29,2024-09-18
PH,1.63,2024-09-13
GFF,0.15,2024-09-19
CCS,0.26,2024-09-11
AMUB,0.2794,2024-09-06
AMJB,0.4415,2024-09-06
ATMP,0.334375,2024-09-06
WARFY,0.045147,2024-09-27
HKVTY,0.184523,2024-09-13
MTCPY,0.1292805,2024-10-01
ICHGF,0.532,2024-10-03
AGLXY,0.142138,2024-10-01
HUTCY,0.035078,2024-09-20
WTKWY,0.771196,2024-09-26
INDOY,0.034985,2024-09-27
MAEOY,0.219645,2024-10-08
BLJZY,0.030007,2024-09-27
