symbol,close,div,divPer
DOYU,17.98,9.76,0.5428253615127919
CION,12.33,0.36,0.029197080291970802
WEN,16.99,0.25,0.014714537963507947
CWEN,29.09,0.4171,0.014338260570642834
NTST,16.69,0.21,0.012582384661473935
RF,23.49,0.25,0.010642826734780758
IPG,32.21,0.33,0.010245265445513815
SAFT,88.55,0.9,0.010163749294184078
GCMG,10.89,0.11,0.0101010101010101
ASB,22.88,0.22,0.009615384615384616
PTEN,9.19,0.08,0.008705114254624592
JWN,22.34,0.19,0.008504923903312445
MOFG,29.22,0.2425,0.008299110198494181
SWK,102.36,0.82,0.008010941774130519
MTB,172.11,1.35,0.007843820812271222
PII,84.65,0.66,0.007796810395747194
FPF,18.8,0.1375,0.007313829787234043
K,80.61,0.57,0.007071082992184592
CASS,43.44,0.3,0.006906077348066298
EBC,16.97,0.11,0.00648202710665881
MCD,288.49,1.67,0.005788762175465353
LMT,568.0,3.15,0.0055457746478873235
SF,88.14,0.42,0.004765146358066712
NKE,83.12,0.37,0.004451395572666024
O,62.11,0.263,0.00423442279826115
HIG,116.1,0.47,0.00404823428079242
BERY,68.86,0.275,0.003993610223642173
NOC,523.21,2.06,0.003937233615565452
ADI,234.37,0.92,0.003925417075564278
HLI,155.99,0.57,0.0036540803897685743
SLGN,52.27,0.19,0.0036349722594222304
AIZ,199.04,0.72,0.003617363344051447
BLV,73.73,0.26548,0.0036007052760070523
SSNC,75.09,0.25,0.003329338127580237
BWA,34.07,0.11,0.003228646903434106
BIV,77.45,0.242915,0.0031364105874757907
BALL,63.81,0.2,0.003134304967873374
UI,193.52,0.6,0.0031004547333608927
NVGS,16.81,0.05,0.0029744199881023203
CTVA,57.3,0.17,0.0029668411867364753
BSV,78.24,0.229286,0.0029305470347648264
NIC,98.3,0.28,0.002848423194303154
AIN,94.16,0.26,0.0027612574341546307
VTEB,50.66,0.1314,0.002593762337149625
HPK,16.08,0.04,0.0024875621890547268
ITT,139.22,0.319,0.0022913374515155867
BCC,136.39,0.21,0.0015397023242173181
MLM,534.16,0.79,0.0014789576156956719
TPL,868.89,1.17,0.0013465455926526947
EFX,307.13,0.39,0.0012698205971412757
TW,118.24,0.1,0.0008457374830852505
UHS,237.97,0.2,0.0008404420725301509
LOB,42.99,0.03,0.0006978367062107466
ITUB,6.52,0.0030736,0.00047141104294478535
