symbol,close,div,divPer
FSK,20.1,0.64,0.031840796019900496
GOGL,11.44,0.3,0.026223776223776224
KSS,19.95,0.5,0.025062656641604012
SFL,11.27,0.27,0.023957409050576754
GES,18.95,0.3,0.0158311345646438
SR,65.74,0.755,0.01148463644660785
HPQ,34.19,0.2756,0.008060836501901142
AEE,84.59,0.67,0.007920557985577491
AVT,49.9,0.33,0.0066132264529058125
WGO,56.05,0.34,0.006066012488849242
DOLE,15.68,0.08,0.005102040816326531
G,38.76,0.1525,0.003934468524251806
NWSA,26.6,0.1,0.0037593984962406013
NWS,27.64,0.1,0.0036179450072358903
INSW,49.4,0.12,0.0024291497975708503
