symbol,close,div,divPer
TRTX,8.31,0.24,0.028880866425992777
USEA,2.61,0.075,0.028735632183908046
MFA,12.73,0.35,0.02749410840534171
CIB,31.97,0.845568,0.02644879574601189
PSBD,16.04,0.42,0.026184538653366583
QFIN,29.7,0.6,0.0202020202020202
BTI,36.86,0.743059,0.02015895279435703
MGR,24.83,0.3671875,0.014788058799838905
MGRD,17.89,0.2625,0.014673001676914477
MGRB,20.42,0.296875,0.014538442703232124
NOG,35.17,0.42,0.011941996019334659
NTR,48.25,0.54,0.011191709844559587
NHI,82.99,0.9,0.010844680081937584
IROQ,20.13,0.2,0.009935419771485347
MDT,89.35,0.7,0.00783435926133184
ELS,71.05,0.4775,0.006720619282195637
KDP,37.42,0.23,0.006146445750935329
XRAY,27.05,0.16,0.005914972273567467
FMOO,62.36,0.35,0.005612572161642078
NRC,22.39,0.12,0.005359535506922733
RL,196.91,0.825,0.004189731349347418
FLS,51.56,0.21,0.004072924747866563
VOXR,3.0,0.012,0.004
FERG,201.86,0.79,0.00391360348756564
NUE,150.16,0.54,0.003596164091635589
RRX,167.18,0.35,0.002093551860270367
VMI,289.05,0.6,0.0020757654385054488
REVG,27.21,0.05,0.0018375597206909224
HTLD,12.07,0.02,0.0016570008285004142
PRIM,58.03,0.06,0.001033947957952783
DHR,275.44,0.27,0.0009802497821667152
CTS,48.38,0.04,0.0008267879288962381
VLTO,110.3,0.09,0.0008159564823209429
ESAB,106.51,0.08,0.0007511031827997371
CW,325.65,0.21,0.0006448641179180102
