symbol,div,paymentDate
XRAY,0.16,2024-10-11
HTLD,0.02,2024-10-07
IROQ,0.2,2024-10-18
KDP,0.23,2024-10-11
NRC,0.12,2024-10-11
QFIN,0.6,2024-11-01
SHIP,0.25,2024-10-10
USEA,0.075,2024-10-10
VOXR,0.012,2024-10-11
CTS,0.04,2024-10-25
NUE,0.54,2024-11-08
VMI,0.6,2024-10-15
RRX,0.35,2024-10-11
DHR,0.27,2024-10-25
CW,0.21,2024-10-11
NHI,0.9,2024-11-01
ELS,0.4775,2024-10-11
CIB,0.845568,2024-10-11
RL,0.825,2024-10-11
FLS,0.21,2024-10-11
MFA,0.35,2024-10-31
BTI,0.743059,2024-11-06
NOG,0.42,2024-10-31
PRIM,0.06,2024-10-11
FERG,0.79,2024-11-08
MDT,0.7,2024-10-11
REVG,0.05,2024-10-11
TRTX,0.24,2024-10-25
NTR,0.54,2024-10-18
MGR,0.3671875,2024-09-30
MGRB,0.296875,2024-09-30
MGRD,0.2625,2024-09-30
ESAB,0.08,2024-10-11
VLTO,0.09,2024-10-31
PSBD,0.05,2024-10-14
PSBD,0.42,2024-10-14
WLWHY,0.046484,2024-10-10
DPMLF,0.04,2024-10-15
SOBS,0.43,2024-10-31
BDVSY,0.38179,2024-10-10
PONT,2.55,2024-10-15
BTDPY,0.258239,2024-11-18
RTMVY,0.078108,2024-11-12
SRRTF,0.072,2024-10-15
CMRF,0.0375,2024-10-01
BSRTF,0.0467,2024-10-15
FQVTY,0.061218,2024-11-01
DHTRF,0.085,2024-10-18
PVFPF,0.01,2024-10-31
EQLCF,0.09151,2024-10-07
BZWHF,0.105,2024-10-02
FMOO,0.35,2024-09-30
BMLWF,0.2,2024-10-02
FBTT,0.21,2024-10-25
ALVOF,0.09,2024-10-15
SROYF,0.0125,2024-10-15
MHCUF,0.0492,2024-10-15
DRREF,0.035,2024-10-15
