symbol,close,div,divPer
MFIC,13.89,0.38,0.027357811375089993
TFSL,13.18,0.2825,0.0214339908952959
ZTO,21.57,0.35,0.016226240148354193
BTG,2.6599,0.04,0.015038159329298095
RA,13.38,0.118,0.00881913303437967
PPL,32.07,0.2575,0.008029310882444652
VCTR,51.18,0.41,0.008010941774130519
KTB,72.32,0.5,0.006913716814159292
PTA,20.33,0.134,0.006591244466305953
UTF,25.8,0.155,0.006007751937984496
RQI,13.7,0.08,0.005839416058394161
VSH,18.46,0.1,0.005417118093174431
VFC,17.55,0.09,0.005128205128205128
CNO,32.93,0.16,0.004858791375645309
TRV,234.46,1.05,0.00447837584236117
FIS,81.36,0.36,0.004424778761061947
OXY,52.09,0.22,0.0042234593971971586
UMBF,99.83,0.39,0.003906641290193329
YOU,30.0,0.1,0.0033333333333333335
ELV,542.63,1.63,0.0030038884691226063
ROST,150.53,0.3675,0.0024413738125290637
