symbol,div,paymentDate
ALRS,0.2,2024-10-11
ACGLO,0.340625,2024-09-30
ACGLN,0.284375,2024-09-30
ARCC,0.48,2024-09-30
ADP,1.4,2024-10-01
CFFI,0.44,2024-10-01
CHY,0.1,2024-09-18
CHI,0.095,2024-09-18
CCD,0.195,2024-09-18
CHW,0.05,2024-09-18
CGO,0.08,2024-09-18
CPZ,0.14,2024-09-18
CSQ,0.1025,2024-09-18
CSWC,0.64,2024-09-30
COFS,0.27,2024-09-30
CZFS,0.49,2024-09-27
CTBI,0.47,2024-10-01
CNFRZ,0.609375,2024-09-30
CRWS,0.08,2024-10-04
CSGS,0.3,2024-09-27
EPSN,0.0625,2024-09-30
FMNB,0.17,2024-09-30
FISI,0.3,2024-10-02
FCAP,0.29,2024-09-27
FSFG,0.15,2024-09-30
FUSB,0.05,2024-10-01
GLPI,0.76,2024-09-27
GILD,0.77,2024-09-27
GECCO,0.367187,2024-09-30
GECCM,0.421875,2024-09-30
GECCI,0.53125,2024-09-30
GECCZ,0.546875,2024-09-30
GEGGL,0.45313,2024-09-30
HWBK,0.19,2024-10-01
HNNAZ,0.3046875,2024-09-30
HOFT,0.23,2024-09-30
ICON,0.08,2024-09-30
IPAR,0.75,2024-09-30
IRDM,0.14,2024-09-30
MBIN,0.09,2024-10-01
MBINO,0.375,2024-10-01
MBINN,0.375,2024-10-01
MBINM,0.5156,2024-10-01
NDAQ,0.24,2024-09-27
JSM,0.375,2024-09-16
NFE,0.1,2024-09-27
NTRSO,0.29375,2024-10-01
NWE,0.65,2024-09-30
QQQX,0.42,2024-10-01
OXLCZ,0.3125,2024-09-30
OXLCL,0.421875,2024-09-30
OXLCI,0.4982639,2024-09-30
BPOP,0.62,2024-10-01
BPOPM,0.127604,2024-10-01
PCH,0.45,2024-09-30
PXSAP,0.1615,2024-09-20
QCRH,0.06,2024-10-02
RYAAY,0.962891,2024-09-26
SBCF,0.18,2024-09-30
SAMG,0.2,2024-09-20
SFNC,0.21,2024-10-01
SLRC,0.41,2024-09-27
SHOO,0.21,2024-09-23
SSSSL,0.375,2024-09-30
SWKHL,0.5625,2024-09-30
TROW,1.24,2024-09-27
TBLD,0.10417,2024-09-20
TRINI,0.3883,2024-09-30
TRINZ,0.4922,2024-09-30
TFINP,0.44525,2024-09-30
UBSI,0.37,2024-10-01
VLYPO,0.598871,2024-09-30
VLYPP,0.390625,2024-09-30
VLYPN,0.320833,2024-09-30
VLY,0.11,2024-10-01
VRSK,0.39,2024-09-30
XEL,0.5475,2024-10-20
AE,0.24,2024-09-27
EVV,0.0806,2024-09-20
NEN,0.4,2024-09-30
ERC,0.06588,2024-10-01
EAD,0.05231,2024-10-01
CEV,0.05,2024-09-20
ERH,0.06207,2024-10-01
SACC,0.4296875,2024-09-30
SCCC,0.484375,2024-09-30
SCCD,0.375,2024-09-30
SCCE,0.375,2024-09-30
SCCF,0.4453125,2024-09-30
SCCG,0.5,2024-09-30
RNR,0.39,2024-09-30
CAL,0.07,2024-09-27
M,0.1737,2024-10-01
KO,0.485,2024-10-01
TY,0.2914,2024-09-23
GTN,0.08,2024-09-30
WMB,0.475,2024-09-30
CB,0.91,2024-10-04
TMO,0.39,2024-10-15
WM,0.75,2024-09-27
CBU,0.46,2024-10-10
GPN,0.25,2024-09-27
GFI,0.169181,2024-09-26
PB,0.56,2024-10-01
CCI,1.565,2024-09-30
GRMN,0.75,2024-09-27
ALB,0.405,2024-10-01
NOV,0.075,2024-09-27
MYE,0.135,2024-10-03
SAH,0.3,2024-10-15
CMA,0.71,2024-10-01
GPK,0.1,2024-10-05
CX,0.02067,2024-09-24
BYD,0.17,2024-10-15
AVNT,0.2575,2024-10-09
HUN,0.25,2024-09-30
GATX,0.58,2024-09-30
DVN,0.22,2024-09-30
FRO,0.62,2024-09-30
WOR,0.17,2024-09-27
THG,0.85,2024-09-27
BHP,1.48,2024-10-03
TXT,0.02,2024-10-01
LEG,0.05,2024-10-15
CADE,0.25,2024-10-01
RRC,0.08,2024-09-27
OVV,0.3,2024-09-27
KFRC,0.38,2024-09-27
SEE,0.2,2024-09-27
RVT,0.28,2024-09-23
DRD,0.112567,2024-09-26
WCC,0.4125,2024-09-30
PSA,3.0,2024-09-30
SCI,0.3,2024-09-30
NUV,0.031,2024-10-01
HPF,0.1235,2024-09-30
AVK,0.1172,2024-09-30
JRS,0.17,2024-10-01
PCN,0.1125,2024-10-01
NCZ,0.03,2024-09-26
ZTR,0.05,2024-09-26
EVF,0.054,2024-09-20
PNI,0.0295,2024-10-01
NMI,0.038,2024-10-01
BTO,0.65,2024-09-30
PFL,0.0814,2024-10-01
HPS,0.11,2024-09-30
NNY,0.0295,2024-10-01
NXP,0.052,2024-10-01
PMF,0.042,2024-10-01
JHI,0.3134,2024-09-30
JHS,0.1132,2024-09-30
NCA,0.029,2024-10-01
JMM,0.0275,2024-10-01
PDT,0.0825,2024-09-30
NQP,0.078,2024-10-01
NXC,0.0455,2024-10-01
NXN,0.042,2024-10-01
NIM,0.0275,2024-10-01
NAZ,0.0725,2024-10-01
NMT,0.071,2024-10-01
NPV,0.072,2024-10-01
NOM,0.0675,2024-10-01
EDF,0.06,2024-09-26
PCM,0.08,2024-10-01
RMT,0.18,2024-09-23
RCS,0.051,2024-10-01
EVN,0.0513,2024-09-20
NAC,0.0735,2024-10-01
NAN,0.072,2024-10-01
NAD,0.0755,2024-10-01
NXJ,0.0785,2024-10-01
PCQ,0.036,2024-10-01
PNF,0.0335,2024-10-01
NZF,0.0795,2024-10-01
NVG,0.079,2024-10-01
PCK,0.0215,2024-10-01
PML,0.0395,2024-10-01
HPI,0.1235,2024-09-30
PMX,0.033,2024-10-01
PZC,0.0295,2024-10-01
PYN,0.0248,2024-10-01
NEA,0.073,2024-10-01
NKX,0.076,2024-10-01
NRK,0.069,2024-10-01
PTY,0.1188,2024-10-01
NCV,0.034,2024-09-26
JPC,0.0665,2024-10-01
PHK,0.048,2024-10-01
JQC,0.054,2024-10-01
NMZ,0.0655,2024-10-01
IIIN,0.03,2024-09-27
JFR,0.085,2024-10-01
GTN.A,0.08,2024-09-30
HTD,0.138,2024-09-30
SREA,0.359375,2024-10-01
FHN,0.15,2024-10-01
DPZ,1.51,2024-09-30
BXMX,0.2365,2024-10-01
PFN,0.0718,2024-10-01
DLR,1.22,2024-09-30
NFJ,0.305,2024-09-26
PGP,0.069,2024-10-01
SPXX,0.294,2024-10-01
GJR,0.1242,2024-09-16
GJS,0.1272,2024-09-16
TNL,0.5,2024-09-30
LDOS,0.38,2024-09-27
STEL,0.13,2024-09-30
NIE,0.5,2024-09-26
EOD,0.11568,2024-10-01
JCE,0.32,2024-10-01
