symbol,div,paymentDate
CBSH,0.27,2024-09-23
HWC,0.4,2024-09-16
NRIM,0.62,2024-09-13
ONB,0.14,2024-09-16
PWP,0.07,2024-09-16
PFG,0.72,2024-09-27
QCOM,0.85,2024-09-26
SLM,0.11,2024-09-16
SLMBP,1.8467034,2024-09-16
TER,0.12,2024-09-27
CVR,0.1,2024-09-20
LZB,0.2,2024-09-16
NEM,0.25,2024-09-30
AEG,0.178048,2024-09-26
STE,0.57,2024-09-20
NSP,0.6,2024-09-19
HRB,0.375,2024-10-03
KIM,0.24,2024-09-19
AWF,0.0655,2024-09-20
FNB,0.12,2024-09-15
AFB,0.03589,2024-09-20
AAT,0.335,2024-09-19
MOS,0.21,2024-09-19
RYI,0.1875,2024-09-19
DNB,0.05,2024-09-19
VNT,0.025,2024-09-26
JXN,0.7,2024-09-19
ARIS,0.105,2024-09-19
CPCAY,0.112963,2024-10-21
BKEAY,0.034993,2024-10-24
WOPEF,0.69,2024-10-03
PNGAY,0.215036,2024-10-28
BKKLY,0.213107,2024-10-07
SHKLY,4.086206,2024-12-06
SLNLY,0.763771,2024-10-04
XTEPY,1.931051,2024-11-14
SPKOY,0.44309,2024-10-11
MTPOY,0.348721,2024-10-07
SKLTY,0.169728,2024-10-18
SAXJY,0.102664,2024-09-25
OTCM,0.18,2024-09-19
EUSHY,0.13016,2024-12-06
SHNXY,0.024588,2024-10-11
SKHHY,0.384313,2024-09-30
DELKY,0.19184,2024-10-02
NWOEF,0.06,2024-09-23
