symbol,div,paymentDate
ABIO,1.59,2024-08-28
CATY,0.34,2024-09-09
DHIL,1.5,2024-09-13
TRMD,1.8,2024-09-11
LH,0.72,2024-09-13
HD,2.25,2024-09-12
FBP,0.16,2024-09-13
PIPR,0.65,2024-09-13
FLNG,0.75,2024-09-12
SSTK,0.3,2024-09-12
XYL,0.36,2024-09-26
KNSL,0.15,2024-09-12
ZIM,0.93,2024-09-05
KLG,0.16,2024-09-13
SEBC,0.19,2024-09-05
HOKCY,0.0123164,2024-09-18
LLESY,0.0362729,2024-09-30
OCANF,0.01,2024-10-11
GIGNY,0.707403,2024-10-02
FSRCY,2.606748,2024-09-27
GWAXY,0.171495,2024-09-23
TSRYY,0.037797,2024-10-11
PUTRY,0.081348,2024-09-30
BZWHF,0.105,2024-09-04
CMRF,0.0375,2024-09-01
PLQC,0.75,2024-09-30
TLGPY,0.277805,2024-10-03
