symbol,div,paymentDate
STX,0.7,2024-10-07
SPTN,0.2175,2024-10-04
FAX,0.165,2024-09-30
AEF,0.1,2024-09-30
FCO,0.07,2024-09-30
VFL,0.05,2024-09-30
RWT,0.17,2024-09-30
NJR,0.45,2024-10-01
FFC,0.0897,2024-09-30
PAI,0.0515,2024-10-01
DX,0.13,2024-10-01
WIA,0.05,2024-09-30
FLC,0.0913,2024-09-30
HIX,0.049,2024-10-01
MMU,0.0545,2024-10-01
HYI,0.095,2024-10-01
MHF,0.034,2024-10-01
PFD,0.0594,2024-09-30
SBI,0.042,2024-10-01
PFO,0.0492,2024-09-30
HIO,0.0355,2024-10-01
WEA,0.07,2024-10-01
FMN,0.038,2024-10-01
EHI,0.07,2024-10-01
EMD,0.0845,2024-10-01
EMO,0.33,2024-10-01
SCD,0.113,2024-10-01
WIW,0.0605,2024-09-30
AGD,0.11,2024-09-30
AOD,0.1,2024-09-30
AWP,0.04,2024-09-30
DFP,0.1122,2024-09-30
ES,0.715,2024-09-30
WRB,0.25,2024-09-30
WRB,0.08,2024-09-30
BSL,0.114,2024-09-30
ITUB,0.0485211,2025-05-07
IGI,0.071,2024-10-01
TPZ,0.105,2024-09-30
GDO,0.122,2024-10-01
DMO,0.13,2024-10-01
BGX,0.101,2024-09-30
BWG,0.08,2024-10-01
BGB,0.093,2024-09-30
THQ,0.18,2024-09-30
HIE,0.051,2024-09-30
THW,0.1167,2024-09-30
HFRO,0.0385,2024-09-30
HGLB,0.081,2024-09-30
TEAF,0.09,2024-09-30
WDI,0.1485,2024-10-01
FSCO,0.06,2024-09-30
BABB,0.01,2024-10-11
GEBHY,0.060948,2024-10-21
NDWTY,1.488086,2024-11-15
CIGBF,0.0248,2024-09-27
CEGBF,0.0838,2024-09-27
