symbol,close,div,divPer
GBDC,15.11,0.39,0.02581072137657181
DEC,12.5,0.29,0.0232
ASC,18.73,0.38,0.0202883075280299
AY,22.29,0.445,0.01996410946612831
DEO,133.4,2.5192,0.01888455772113943
SBGI,14.01,0.25,0.017844396859386154
WHR,102.0,1.75,0.01715686274509804
GRNT,6.5,0.11,0.016923076923076923
BRDG,8.32,0.13,0.015625
ORC,8.29,0.12,0.014475271411338964
BEP,25.05,0.355,0.014171656686626745
VGR,15.04,0.2,0.013297872340425534
DOW,53.54,0.7,0.01307433694434068
BIP,32.52,0.405,0.012453874538745387
BEPC,28.72,0.355,0.012360724233983288
AGR,35.95,0.44,0.012239221140472878
D,56.15,0.6675,0.01188780053428317
AGNC,10.3,0.12,0.011650485436893203
KHC,35.41,0.4,0.011296243998870378
METC,12.7,0.1375,0.010826771653543309
PINC,19.85,0.21,0.010579345088161208
BOH,67.04,0.7,0.010441527446300714
BIPC,40.33,0.405,0.010042152243987107
EFC,13.25,0.13,0.009811320754716982
NWL,7.15,0.07,0.009790209790209791
PRGO,29.23,0.276,0.009442353746151216
CPF,27.82,0.26,0.009345794392523366
BAM,41.11,0.38,0.009243493067380199
JACK,48.5,0.44,0.009072164948453608
FFBC,26.58,0.24,0.009029345372460498
LCII,118.5,1.05,0.008860759493670886
PTVE,11.38,0.1,0.008787346221441124
CFR,112.5,0.95,0.008444444444444444
TAP,53.46,0.44,0.00823045267489712
OTEX,32.01,0.2625,0.008200562324273665
VIRT,30.18,0.24,0.007952286282306162
UFCS,20.54,0.16,0.007789678675754625
BAX,37.82,0.29,0.007667900581702802
TSN,65.7,0.49,0.00745814307458143
CRC,52.15,0.3875,0.0074304889741131355
AU,29.93,0.22,0.007350484463748747
EL,91.52,0.66,0.007211538461538462
NBTB,48.67,0.34,0.00698582288884323
TRMK,33.1,0.23,0.006948640483383686
DNP,9.4,0.065,0.006914893617021276
GLW,42.01,0.28,0.0066650797429183535
NUS,9.1,0.06,0.006593406593406593
WY,30.6,0.2,0.006535947712418301
NEE,79.47,0.515,0.006480432867748837
NBHC,43.75,0.28,0.0064
MLKN,29.4,0.1875,0.006377551020408163
SCHL,31.6,0.2,0.006329113924050633
EPR,47.49,0.285,0.0060012634238787105
GS,500.25,3.0,0.005997001499250375
HY,60.27,0.35,0.005807200929152148
PRDO,22.53,0.13,0.005770084332001775
MRX,24.45,0.14,0.00572597137014315
APLE,14.26,0.08,0.005610098176718092
IHG,99.96,0.532,0.005322128851540617
UNP,252.67,1.34,0.005303360113982665
MGEE,85.95,0.45,0.005235602094240838
GOLD,19.93,0.1,0.0050175614651279486
AEM,81.01,0.4,0.004937662017034934
ALL,187.55,0.92,0.004905358571047721
CCAP,18.39,0.09,0.004893964110929853
SCL,77.33,0.375,0.004849346954610112
EBAY,57.59,0.27,0.00468831394339295
HII,280.05,1.3,0.004642028209248348
DD,82.51,0.38,0.004605502363349897
ASH,88.87,0.405,0.004557218408911894
STEP,53.42,0.24,0.004492699363534257
ESNT,63.49,0.28,0.004410143329658214
CBT,103.09,0.43,0.004171112620040741
MCRI,75.56,0.3,0.003970354685018528
OBDC,15.12,0.06,0.003968253968253968
SLG,66.36,0.25,0.0037673297166968055
ZEUS,39.99,0.15,0.003750937734433608
HAYN,60.06,0.22,0.003663003663003663
PX,9.76,0.035,0.0035860655737704923
CSX,33.86,0.12,0.0035440047253396337
TFPM,15.95,0.055,0.003448275862068966
ADC,73.4,0.25,0.003405994550408719
EVR,243.67,0.8,0.0032831288217671445
TMUS,202.15,0.65,0.003215434083601286
HUBB,389.07,1.22,0.0031356825249955022
POWI,63.82,0.2,0.003133813851457224
STAG,40.29,0.123333,0.0030611317944899477
ESI,26.23,0.08,0.0030499428135722455
PRGS,57.82,0.175,0.003026634382566586
CBOE,209.02,0.63,0.0030140656396517077
TNC,95.97,0.28,0.002917578409919767
TSLX,21.04,0.06,0.0028517110266159697
DOV,181.84,0.515,0.002832160140783106
CXT,58.35,0.16,0.0027420736932305054
UFPI,121.02,0.33,0.0027268220128904316
CEIX,98.98,0.25,0.0025257627803596683
ULH,41.64,0.105,0.002521613832853026
FDS,413.26,1.04,0.0025165755214634857
NNI,113.93,0.28,0.0024576494338628984
ULS,54.37,0.125,0.002299061982711054
WTS,193.48,0.43,0.0022224519330163325
ARCH,130.43,0.25,0.0019167369470213906
RLI,152.54,0.29,0.0019011406844106464
KOP,38.72,0.07,0.0018078512396694218
IGIC,18.1,0.025,0.0013812154696132596
CR,154.92,0.205,0.0013232636199328686
MCK,556.7,0.71,0.0012753727321717261
GPI,370.84,0.47,0.0012673929457447956
MLAB,135.73,0.16,0.0011788108745303177
WMS,156.43,0.16,0.0010228217093907817
FCNCA,1978.09,1.64,0.0008290825998817041
BRKR,64.41,0.05,0.000776276975624903
TILE,18.24,0.01,0.0005482456140350878
