symbol,div,paymentDate
TCPC,0.34,2024-09-30
CHSCL,0.46875,2024-09-30
CHSCM,0.421875,2024-09-30
CHSCN,0.44375,2024-09-30
CHSCP,0.5,2024-09-30
CHSCO,0.492188,2024-09-30
EFSC,0.27,2024-09-30
ESSA,0.15,2024-09-30
GWRS,0.02508,2024-09-30
GECC,0.35,2024-09-30
HLNE,0.49,2024-10-04
HRZN,0.11,2024-10-16
JRVR,0.05,2024-09-30
LX,0.072,2024-10-18
LUXHP,0.2708333,2024-09-30
MNSBP,0.46875,2024-09-30
MRTN,0.06,2024-09-30
MBNKP,0.5,2024-10-01
META,0.5,2024-09-26
MEOH,0.185,2024-09-30
MSBIP,0.4844,2024-09-30
MRCC,0.25,2024-09-30
NMFC,0.34,2024-09-30
OCSL,0.55,2024-09-30
OXLCP,0.13020833,2024-09-30
OXLCN,0.1484375,2024-09-30
OXLC,0.09,2024-09-30
OXLCO,0.125,2024-09-30
OXSQ,0.035,2024-09-30
PARAA,0.05,2024-10-01
PARA,0.05,2024-10-01
PECO,0.1025,2024-10-01
RICK,0.07,2024-09-30
RRR,0.25,2024-09-30
FUND,0.1301,2024-09-30
SYBT,0.31,2024-10-01
GROW,0.0075,2024-09-30
OLED,0.4,2024-09-30
BCV,0.32,2024-09-23
CRF,0.1037,2024-09-30
ECF,0.13,2024-09-23
CLM,0.1086,2024-09-30
DMF,0.019,2024-10-01
NHS,0.0905,2024-09-30
NRO,0.0312,2024-09-30
GGN,0.03,2024-09-23
GLU,0.1,2024-09-23
NML,0.0584,2024-09-30
STRW,0.13,2024-09-30
FISK,0.035,2024-09-30
ESBA,0.035,2024-09-30
OGCP,0.035,2024-09-30
HES,0.5,2024-09-30
AME,0.28,2024-09-30
DTE,1.02,2024-10-15
MO,1.02,2024-10-10
UGI,0.375,2024-10-01
CPK,0.64,2024-10-07
STC,0.5,2024-09-30
AIG,0.4,2024-09-30
TDS,0.04,2024-09-30
SBR,0.42131,2024-09-30
UNH,2.1,2024-09-24
HOG,0.1725,2024-09-27
GAB,0.15,2024-09-23
UHT,0.73,2024-09-30
CATO,0.17,2024-09-30
CNMD,0.2,2024-10-04
HYB,0.04,2024-09-30
MTH,0.75,2024-09-30
MVF,0.03,2024-10-01
HMN,0.34,2024-09-30
DTF,0.0325,2024-09-30
MYD,0.0525,2024-10-01
MYN,0.0442,2024-10-01
MYI,0.0555,2024-10-01
RNST,0.22,2024-09-30
MQY,0.058,2024-10-01
MQT,0.049,2024-10-01
MPA,0.066,2024-10-01
MIY,0.0465,2024-10-01
MVT,0.0505,2024-10-01
MUA,0.0555,2024-10-01
MOV,0.35,2024-09-30
AGM.A,1.4,2024-09-30
AGM,1.4,2024-09-30
EMN,0.81,2024-10-07
RYN,0.285,2024-09-30
GGT,0.22,2024-09-23
GCV,0.12,2024-09-23
EG,2.0,2024-09-27
GEF,0.54,2024-10-01
GEF.B,0.81,2024-10-01
MHD,0.0525,2024-10-01
MHN,0.0435,2024-10-01
PLD,0.96,2024-09-30
MUC,0.0485,2024-10-01
MUJ,0.05,2024-10-01
DSU,0.09873,2024-09-30
MUE,0.045,2024-10-01
GUT,0.05,2024-09-23
PKG,1.25,2024-10-15
EVC,0.05,2024-09-30
BFK,0.05,2024-10-01
BHK,0.0746,2024-09-30
UCB,0.24,2024-10-04
BHV,0.0395,2024-10-01
BLE,0.052,2024-10-01
BANC,0.1,2024-10-01
BYM,0.0525,2024-10-01
HYT,0.0779,2024-09-30
BLW,0.1132,2024-09-30
MUI,0.055,2024-10-01
FRA,0.12384,2024-09-30
GDV,0.11,2024-09-23
ENS,0.24,2024-09-30
EXR,1.62,2024-09-30
BGT,0.12028,2024-09-30
BGR,0.0657,2024-09-30
BME,0.213,2024-09-30
BOE,0.063,2024-09-30
BDJ,0.0562,2024-09-30
EGF,0.041,2024-09-30
BTA,0.0435,2024-10-01
WU,0.235,2024-09-30
KBR,0.15,2024-10-15
GDL,0.12,2024-09-23
PNNT,0.08,2024-10-01
BGY,0.0338,2024-09-30
BTZ,0.0839,2024-09-30
CII,0.0995,2024-09-30
FIHL,0.1,2024-09-30
GRX,0.15,2024-09-23
HI,0.2225,2024-09-30
NX,0.08,2024-09-30
LEO,0.019,2024-10-01
BFZ,0.059,2024-10-01
