symbol,div,paymentDate
FFIN,0.18,2024-10-01
NSSC,0.125,2024-10-03
NVDA,0.01,2024-10-03
NXPI,1.014,2024-10-09
REG,0.67,2024-10-03
TCBS,0.04,2024-09-26
NTIP,0.05,2024-09-26
EVBN,0.66,2024-10-10
MDU,0.13,2024-10-01
TSM,0.625999,2024-10-09
BR,0.88,2024-10-03
BN,0.08,2024-09-27
MCY,0.3175,2024-09-26
CTO,0.38,2024-09-30
AGI,0.025,2024-09-26
BDC,0.05,2024-10-08
FNV,0.36,2024-09-26
CIVI,1.02,2024-09-26
ISD,0.105,2024-09-30
GHY,0.105,2024-09-30
DCF,0.035,2024-09-26
PINE,0.28,2024-09-30
SDHY,0.108,2024-09-30
NE,0.5,2024-09-26
AMBP,0.1,2024-09-26
BHPLF,0.74,2024-10-03
SWRAY,0.141158,2024-10-21
SWRBY,0.141207,2024-10-21
PEBC,0.41,2024-09-20
DSFGY,0.303968,2024-10-11
HGKGY,0.0801,2024-10-01
CSPKY,0.125196,2024-12-06
KRYPY,0.206528,2024-10-10
HAITY,0.02962,2024-11-04
SBHMY,0.065379,2024-10-18
BXBLY,0.372242,2024-10-17
IIDDY,0.311443,2024-10-07
MLYBY,0.118148,2024-10-07
KPCPY,0.123621,2024-10-15
