symbol,close,div,divPer
WDS,17.63,0.69,0.039137833238797506
OUT,16.77,0.3,0.017889087656529516
FFIC,14.05,0.22,0.015658362989323844
WSBC,31.75,0.36,0.011338582677165353
AMCR,11.33,0.125,0.011032656663724626
TRST,34.06,0.36,0.010569583088667057
FLO,23.39,0.24,0.0102607952116289
NAVI,16.03,0.16,0.009981285090455396
FRME,37.75,0.35,0.009271523178807946
TGNA,14.15,0.125,0.0088339222614841
NTRS,89.45,0.75,0.008384572386808273
KMB,148.35,1.22,0.008223795079204585
MBWM,44.37,0.36,0.008113590263691683
PUK,16.98,0.1368,0.008056537102473497
PEP,178.51,1.355,0.007590611170242564
AMSF,48.8,0.37,0.007581967213114754
TCBK,44.49,0.33,0.0074173971679029
ORI,35.9,0.265,0.0073816155988857945
GPC,141.2,1.0,0.00708215297450425
BAC,40.56,0.26,0.00641025641025641
STRA,95.0,0.6,0.00631578947368421
CHRW,104.13,0.62,0.005954095841736291
NTES,79.6,0.435,0.0054648241206030155
MAIN,49.5,0.245,0.004949494949494949
LHX,236.5,1.16,0.004904862579281183
AL,43.99,0.21,0.004773812230052284
KRO,11.25,0.05,0.0044444444444444444
GOLF,67.68,0.215,0.0031767139479905435
JKHY,174.09,0.55,0.0031592854270779485
KNX,52.57,0.16,0.003043560966330607
MLI,67.87,0.2,0.002946810078090467
HUBG,45.93,0.125,0.0027215327672545178
EXPO,106.36,0.28,0.0026325686348251227
GM,48.25,0.12,0.002487046632124352
TT,346.53,0.84,0.0024240325512942603
BKNG,3799.21,8.75,0.0023031103834744594
AJG,297.75,0.6,0.0020151133501259445
UNF,185.84,0.33,0.0017757210503659062
NYCB,10.4,0.01,0.0009615384615384615
AAON,88.92,0.08,0.000899685110211426
ICFI,162.8,0.14,0.0008599508599508599
