symbol,div,paymentDate
AUBN,0.27,2024-09-25
BHFAP,0.4125,2024-09-25
BHFAO,0.421875,2024-09-25
BHFAM,0.2890625,2024-09-25
BHFAN,0.3359375,2024-09-25
FATBP,0.171875,2024-09-20
MFIC,0.38,2024-09-26
CASH,0.05,2024-10-01
PWOD,0.32,2024-09-24
ROST,0.3675,2024-09-30
TFSL,0.2825,2024-09-24
UMBF,0.39,2024-10-01
UBCP,0.1775,2024-09-20
VCTR,0.41,2024-09-25
BTG,0.04,2024-09-23
ELV,1.63,2024-09-25
CNO,0.16,2024-09-24
PPL,0.2575,2024-10-01
VSH,0.1,2024-09-26
BRW,0.085,2024-09-30
FIS,0.36,2024-09-24
TRV,1.05,2024-09-30
VFC,0.09,2024-09-18
OXY,0.22,2024-10-15
SABA,0.058,2024-09-30
RQI,0.08,2024-09-30
RNP,0.136,2024-09-30
RFI,0.08,2024-09-30
UTF,0.155,2024-09-30
FOF,0.087,2024-09-30
PSF,0.126,2024-09-30
LDP,0.131,2024-09-30
BWLP,0.58,2024-09-30
ECC,0.02,2024-09-30
ECC,0.14,2024-09-30
ZTO,0.35,2024-10-17
RA,0.118,2024-09-24
EIC,0.2,2024-09-30
KTB,0.5,2024-09-20
PTA,0.134,2024-09-30
ECCC,0.135417,2024-09-30
YOU,0.1,2024-09-17
EICA,0.104167,2024-09-30
ECCF,0.166667,2024-09-30
RLTY,0.11,2024-09-30
EICB,0.161459,2024-09-30
EICC,0.166667,2024-09-30
CNLPL,0.81,2024-10-01
CNTHO,0.66,2024-10-01
FXLG,0.4,2024-09-20
SOCGM,0.375,2024-10-15
SOCGP,0.375,2024-10-15
SOME,0.41,2024-09-20
CIBN,0.1,2024-09-30
YUEIY,0.206525,2024-10-21
ANPDY,3.712182,2024-10-07
PKSGY,0.074504,2024-10-15
HEGIY,0.440212,2024-10-25
KLYCY,0.184263,2024-11-15
CRBJY,0.230713,2024-11-12
AAGIY,0.200903,2024-10-07
BJWTY,0.558226,2024-11-12
SHZHY,0.128227,2024-10-11
BLUMY,0.017986,2024-10-07
GAMI,0.04,2024-09-24
